Run,Sample Name,Bases,cell_line,genotype,genotype_name
SRR32486227,GSM8812534,2.51 G,ABE-corrected hiPSC-SMCs,ABE-corrected,Corrected
SRR32486228,GSM8812533,2.71 G,ABE-corrected hiPSC-SMCs,ABE-corrected,Corrected
SRR32486229,GSM8812532,3.24 G,ABE-corrected hiPSC-SMCs,ABE-corrected,Corrected
SRR32486230,GSM8812531,2.55 G,ACTA2R179H/R179H hiPSC-SMCs,ACTA2R179H/R179H,Homozygous
SRR32486231,GSM8812530,2.88 G,ACTA2R179H/R179H hiPSC-SMCs,ACTA2R179H/R179H,Homozygous
SRR32486232,GSM8812529,2.52 G,ACTA2R179H/R179H hiPSC-SMCs,ACTA2R179H/R179H,Homozygous
SRR32486233,GSM8812528,2.87 G,ACTA2R179H/+ hiPSC-SMCs,ACTA2R179H/+,Heterozygous
SRR32486234,GSM8812527,2.71 G,ACTA2R179H/+ hiPSC-SMCs,ACTA2R179H/+,Heterozygous
SRR32486235,GSM8812526,2.94 G,ACTA2R179H/+ hiPSC-SMCs,ACTA2R179H/+,Heterozygous
SRR32486236,GSM8812525,2.71 G,WT iPSC-SMCs,WT,Wildtype
SRR32486237,GSM8812524,2.73 G,WT iPSC-SMCs,WT,Wildtype
SRR32486238,GSM8812523,2.18 G,WT iPSC-SMCs,WT,Wildtype
