Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol,Entrez Gene ID
ENSG00000198825,2260,-1.4,0.0595,2.04e-123,3.43e-119,INPP5F,22876
ENSG00000058085,2910,1.09,0.0486,1.42e-112,1.19e-108,LAMC2,3918
ENSG00000096696,13100,0.797,0.0365,1.88e-106,1.06e-102,DSP,1832
ENSG00000197614,1280,1.39,0.0778,2.98e-72,1.25e-68,MFAP5,8076
ENSG00000196549,1290,1.24,0.0726,1.77e-66,5.97e-63,MME,4311
ENSG00000214548,9220,-0.996,0.0628,6.01e-58,1.69e-54,MEG3,55384
ENSG00000059804,16500,0.722,0.0468,9.43e-55,2.27e-51,SLC2A3,6515
ENSG00000135480,2250,0.983,0.0671,9.18e-50,1.93e-46,KRT7,3855
ENSG00000135919,22100,0.719,0.0506,3.97e-47,7.42e-44,SERPINE2,5270
ENSG00000120738,709,1.39,0.101,1.05e-44,1.76e-41,EGR1,1958
ENSG00000068489,2170,-0.696,0.0505,2.16e-44,3.3e-41,PRR11,55771
ENSG00000116016,3340,0.714,0.0529,9.93e-43,1.39e-39,EPAS1,2034
ENSG00000240583,598,1.62,0.121,4.54e-42,5.87e-39,AQP1,358
ENSG00000120885,2690,0.71,0.0531,6.41e-42,7.7e-39,CLU,1191
ENSG00000115414,1010000,0.484,0.0363,2.15e-41,2.41e-38,FN1,2335
ENSG00000101057,929,-0.954,0.0725,1.36e-40,1.43e-37,MYBL2,4605
ENSG00000137142,5760,-0.75,0.0571,1.85e-40,1.83e-37,IGFBPL1,347252
ENSG00000276043,1520,-0.751,0.0573,2.35e-40,2.2e-37,UHRF1,29128
ENSG00000065618,809,1.25,0.0957,3.27e-40,2.9e-37,COL17A1,1308
ENSG00000136167,730,1.26,0.0963,3.92e-40,3.3e-37,LCP1,3936
ENSG00000120549,2060,0.631,0.0486,1.32e-39,1.05e-36,KIAA1217,56243
ENSG00000171345,2820,0.866,0.0674,4.84e-39,3.7e-36,KRT19,3880
ENSG00000136478,2250,0.631,0.049,5.11e-39,3.74e-36,TEX2,55852
ENSG00000146477,1310,0.952,0.0742,7.82e-39,5.49e-36,SLC22A3,6581
ENSG00000096433,1020,0.919,0.0722,2.86e-38,1.92e-35,ITPR3,3710
ENSG00000170421,21200,0.729,0.0576,8.8e-38,5.7e-35,KRT8,3856
ENSG00000100234,7720,0.496,0.0398,1.39e-36,8.69e-34,TIMP3,7078
ENSG00000111057,15000,0.777,0.0627,2.5e-36,1.5e-33,KRT18,3875
ENSG00000174080,139,-2.39,0.198,8.6e-35,4.99e-32,CTSF,8722
ENSG00000163638,2280,0.681,0.0567,2.37e-34,1.33e-31,ADAMTS9,56999
ENSG00000184486,1680,-0.642,0.0537,4.4e-34,2.39e-31,POU3F2,5454
ENSG00000164099,396,1.3,0.109,5.97e-34,3.06e-31,PRSS12,8492
ENSG00000184985,1490,-0.731,0.0613,5.99e-34,3.06e-31,SORCS2,57537
ENSG00000293855,78.2,3.41,0.286,9.96e-34,4.93e-31,LOC124909363,124909363
ENSG00000134198,466,1.22,0.103,1.08e-33,5.19e-31,TSPAN2,10100
ENSG00000115221,2680,0.784,0.0666,3.5e-33,1.64e-30,ITGB6,3694
ENSG00000134057,1310,-0.68,0.0596,2.39e-31,1.08e-28,CCNB1,891
ENSG00000138434,9010,0.601,0.0536,5.64e-30,2.5e-27,ITPRID2,6744
ENSG00000168672,3620,0.553,0.0495,7.07e-30,3.05e-27,LRATD2,157638
ENSG00000090530,3140,-0.459,0.0413,9.88e-30,4.16e-27,P3H2,55214
ENSG00000046604,7060,0.542,0.0489,1.83e-29,7.52e-27,DSG2,1829
ENSG00000104738,2080,-0.632,0.0574,2.64e-29,1.06e-26,MCM4,4173
ENSG00000088325,1950,-0.665,0.0604,3.66e-29,1.43e-26,TPX2,22974
ENSG00000123416,18800,-0.529,0.0485,1.2e-28,4.58e-26,TUBA1B,10376
ENSG00000138160,1220,-0.728,0.0672,1.29e-28,4.83e-26,KIF11,3832
ENSG00000158258,5410,0.532,0.0489,1.63e-28,5.93e-26,CLSTN2,64084
ENSG00000118257,7110,-0.432,0.0397,1.66e-28,5.93e-26,NRP2,8828
ENSG00000126803,241,-1.43,0.133,2.19e-28,7.68e-26,HSPA2,3306
ENSG00000164251,3740,0.636,0.0592,5.99e-28,2.06e-25,F2RL1,2150
ENSG00000102755,3690,0.581,0.0541,6.56e-28,2.21e-25,FLT1,2321
ENSG00000119681,6260,0.524,0.0488,6.91e-28,2.28e-25,LTBP2,4053
ENSG00000013810,828,-0.806,0.0755,8.85e-28,2.86e-25,TACC3,10460
ENSG00000167306,737,0.82,0.0773,2.33e-27,7.41e-25,MYO5B,4645
ENSG00000113810,3090,-0.525,0.0501,8.98e-27,2.8e-24,SMC4,10051
ENSG00000152377,4930,-0.561,0.0535,9.73e-27,2.98e-24,SPOCK1,6695
ENSG00000259207,1670,0.727,0.0695,1.35e-26,4.05e-24,ITGB3,3690
ENSG00000127863,3940,0.483,0.0462,1.92e-26,5.67e-24,TNFRSF19,55504
ENSG00000266524,2830,-0.519,0.0501,1.97e-26,5.72e-24,GDF10,2662
ENSG00000088387,2240,0.599,0.0577,3.07e-26,8.75e-24,DOCK9,23348
ENSG00000231806,142,1.6,0.155,3.23e-26,9.05e-24,PCAT7,101928099
ENSG00000119139,1270,0.76,0.0736,3.68e-26,1.01e-23,TJP2,9414
ENSG00000221923,169,-1.73,0.168,3.96e-26,1.07e-23,ZNF880,400713
ENSG00000215808,117,2.02,0.197,6.59e-26,1.76e-23,LINC01139,339535
ENSG00000184216,968,-0.802,0.0782,7.4e-26,1.95e-23,IRAK1,3654
ENSG00000120937,1210,0.844,0.0824,9.68e-26,2.51e-23,NPPB,4879
ENSG00000147883,7410,0.559,0.0545,1.04e-25,2.65e-23,CDKN2B,1030
ENSG00000164032,3620,-0.48,0.0471,2e-25,5.03e-23,H2AZ1,3015
ENSG00000166770,232,-1.26,0.125,3.85e-25,9.52e-23,ZNF667-AS1,100128252
ENSG00000163661,419,-1.17,0.116,5.35e-25,1.31e-22,PTX3,5806
ENSG00000105976,467,0.958,0.0952,5.63e-25,1.35e-22,MET,4233
ENSG00000184564,201,1.67,0.168,1.2e-24,2.84e-22,SLITRK6,84189
ENSG00000013441,1260,-0.744,0.0751,2.94e-24,6.87e-22,CLK1,1195
ENSG00000146072,4280,0.447,0.045,4.34e-24,1e-21,TNFRSF21,27242
ENSG00000168461,7900,-0.409,0.0416,5.22e-24,1.19e-21,RAB31,11031
ENSG00000049540,1120,-0.859,0.0875,7.59e-24,1.7e-21,ELN,2006
ENSG00000183087,2310,0.537,0.0546,7.7e-24,1.7e-21,GAS6,2621
ENSG00000139329,2640,0.635,0.0647,1.02e-23,2.23e-21,LUM,4060
ENSG00000010278,857,0.939,0.0964,1.21e-23,2.62e-21,CD9,928
ENSG00000039068,2710,0.507,0.0519,1.99e-23,4.23e-21,CDH1,999
ENSG00000063660,2270,0.649,0.0671,2.94e-23,6.18e-21,GPC1,2817
ENSG00000117228,531,-1.18,0.123,3.55e-23,7.39e-21,GBP1,2633
ENSG00000131620,365,1.5,0.156,4.21e-23,8.64e-21,ANO1,55107
ENSG00000168646,1780,-0.637,0.0664,6.65e-23,1.35e-20,AXIN2,8313
ENSG00000198300,323,-12.9,3.24,1.03e-22,2.06e-20,PEG3,5178
ENSG00000182481,5070,-0.387,0.0404,1.13e-22,2.24e-20,KPNA2,3838
ENSG00000113361,11000,-0.558,0.0586,1.82e-22,3.56e-20,CDH6,1004
ENSG00000168209,1800,-0.575,0.0606,2.13e-22,4.11e-20,DDIT4,54541
ENSG00000022267,3290,-0.466,0.049,2.53e-22,4.84e-20,FHL1,2273
ENSG00000113657,27600,0.38,0.04,3.78e-22,7.15e-20,DPYSL3,1809
ENSG00000117595,435,0.905,0.0963,3.85e-22,7.19e-20,IRF6,3664
ENSG00000148773,3660,-0.696,0.0741,6.07e-22,1.12e-19,MKI67,4288
ENSG00000011201,1490,0.787,0.0846,9.48e-22,1.73e-19,ANOS1,3730
ENSG00000171848,1380,-0.597,0.0641,9.85e-22,1.78e-19,RRM2,6241
ENSG00000170345,180,1.5,0.162,1.12e-21,2e-19,FOS,2353
ENSG00000114270,1960,-0.483,0.0517,1.31e-21,2.32e-19,COL7A1,1294
ENSG00000149218,1610,0.576,0.0622,1.61e-21,2.83e-19,ENDOD1,23052
ENSG00000175745,1160,-0.604,0.0652,1.71e-21,2.95e-19,NR2F1,7025
ENSG00000204381,1920,0.547,0.0591,1.72e-21,2.95e-19,LAYN,143903
ENSG00000134755,2010,0.674,0.073,2.1e-21,3.56e-19,DSC2,1824
ENSG00000164211,1720,0.836,0.0908,2.16e-21,3.63e-19,STARD4,134429
ENSG00000111799,29800,-0.457,0.0496,2.26e-21,3.77e-19,COL12A1,1303
ENSG00000130176,2930,0.519,0.0562,2.42e-21,4e-19,CNN1,1264
ENSG00000168036,18700,-0.295,0.0316,2.45e-21,4e-19,CTNNB1,1499
ENSG00000132780,3760,-0.493,0.0534,2.48e-21,4e-19,NASP,4678
ENSG00000198833,4460,0.556,0.0602,2.49e-21,4e-19,UBE2J1,51465
ENSG00000038427,32100,0.514,0.0558,3.31e-21,5.25e-19,VCAN,1462
ENSG00000106537,1830,0.685,0.0747,3.69e-21,5.81e-19,TSPAN13,27075
ENSG00000310059,62.3,2.94,0.322,4.33e-21,6.68e-19,LOC124902696,124902696
ENSG00000158769,2430,0.521,0.0568,4.33e-21,6.68e-19,F11R,50848
ENSG00000181195,436,1.2,0.132,4.7e-21,7.2e-19,PENK,5179
ENSG00000135111,603,0.879,0.0967,8.32e-21,1.26e-18,TBX3,6926
ENSG00000089685,717,-0.715,0.079,8.91e-21,1.34e-18,BIRC5,332
ENSG00000094755,68.6,2.87,0.317,9.85e-21,1.47e-18,GABRP,2568
ENSG00000104415,925,1.12,0.124,1.02e-20,1.5e-18,CCN4,8840
ENSG00000161800,741,-0.681,0.0755,1.21e-20,1.77e-18,RACGAP1,29127
ENSG00000076554,437,1.09,0.121,1.4e-20,2.03e-18,TPD52; TPD52-MRPS28,7163; 124188259
ENSG00000174792,169,1.61,0.179,1.51e-20,2.18e-18,ODAPH,152816
ENSG00000185070,4930,0.467,0.052,1.6e-20,2.28e-18,FLRT2,23768
ENSG00000130147,5470,-0.35,0.0383,1.63e-20,2.3e-18,SH3BP4,23677
ENSG00000065923,911,0.688,0.0765,1.81e-20,2.54e-18,SLC9A7,84679
ENSG00000043355,1110,-0.703,0.0787,2.9e-20,4.03e-18,ZIC2,7546
ENSG00000076003,1150,-0.66,0.0744,5.35e-20,7.39e-18,MCM6,4175
ENSG00000107551,1140,0.554,0.0623,6e-20,8.21e-18,RASSF4,83937
ENSG00000164171,3460,0.63,0.0714,8.18e-20,1.11e-17,ITGA2,3673
ENSG00000131747,3910,-0.621,0.0704,9.81e-20,1.32e-17,TOP2A,7153
ENSG00000077274,289,1.28,0.146,1.28e-19,1.71e-17,CAPN6,827
ENSG00000143320,2940,0.516,0.0588,1.72e-19,2.28e-17,CRABP2,1382
ENSG00000166508,1770,-0.608,0.0701,3.44e-19,4.52e-17,MCM7,4176
ENSG00000139629,396,0.91,0.106,4.59e-19,5.99e-17,GALNT6,11226
ENSG00000137804,952,-0.718,0.0833,4.91e-19,6.36e-17,NUSAP1,51203
ENSG00000164104,1320,-0.631,0.0731,5.14e-19,6.61e-17,HMGB2,3148
ENSG00000125968,668,-0.654,0.0758,5.41e-19,6.9e-17,ID1,3397
ENSG00000077238,1440,-0.498,0.0575,5.48e-19,6.93e-17,IL4R,3566
ENSG00000114115,493,0.815,0.0949,5.78e-19,7.26e-17,RBP1,5947
ENSG00000156466,3480,0.497,0.0568,6.09e-19,7.59e-17,GDF6,392255
ENSG00000010292,1860,-0.509,0.0591,6.97e-19,8.62e-17,NCAPD2,9918
ENSG00000254245,27.3,-4.57,0.526,7.03e-19,8.64e-17,PCDHGA3,56112
ENSG00000272398,7510,0.403,0.0469,1.08e-18,1.32e-16,CD24,100133941
ENSG00000104611,485,0.883,0.104,1.29e-18,1.56e-16,SH2D4A,63898
ENSG00000117724,4620,-0.621,0.0731,1.41e-18,1.7e-16,CENPF,1063
ENSG00000157404,986,-0.638,0.0752,1.85e-18,2.21e-16,KIT,3815
ENSG00000062038,1380,0.64,0.0755,1.89e-18,2.24e-16,CDH3,1001
ENSG00000159176,7080,-0.512,0.0602,1.93e-18,2.27e-16,CSRP1,1465
ENSG00000109805,945,-0.621,0.0735,2.24e-18,2.61e-16,NCAPG,64151
ENSG00000092820,4320,0.448,0.0527,2.35e-18,2.73e-16,EZR,7430
ENSG00000163739,213,-1.41,0.167,2.54e-18,2.93e-16,CXCL1,2919
ENSG00000134762,1620,0.628,0.0745,2.64e-18,3.02e-16,DSC3,1825
ENSG00000154380,12700,0.498,0.0588,2.92e-18,3.32e-16,ENAH,55740
ENSG00000066279,1580,-0.55,0.0653,3.21e-18,3.62e-16,ASPM,259266
ENSG00000113140,148000,0.306,0.0367,3.57e-18,4e-16,SPARC,6678
ENSG00000113196,197,1.63,0.195,4.14e-18,4.62e-16,HAND1,9421
ENSG00000156113,1240,0.614,0.0734,4.89e-18,5.42e-16,KCNMA1,3778
ENSG00000167555,68.4,-2.08,0.251,5.49e-18,6.04e-16,ZNF528,84436
ENSG00000196376,750,-0.66,0.0793,6.44e-18,7.04e-16,SLC35F1,222553
ENSG00000145386,761,-0.69,0.0832,6.66e-18,7.23e-16,CCNA2,890
ENSG00000113368,1630,-0.525,0.063,7.93e-18,8.55e-16,LMNB1,4001
ENSG00000164692,174000,0.342,0.0409,1.01e-17,1.08e-15,COL1A2,1278
ENSG00000198478,1240,0.533,0.0645,1.39e-17,1.49e-15,SH3BGRL2,83699
ENSG00000117152,1140,0.758,0.0923,1.52e-17,1.61e-15,RGS4,5999
ENSG00000111206,759,-0.678,0.0826,1.84e-17,1.93e-15,FOXM1,2305
ENSG00000073111,706,-0.633,0.0774,1.92e-17,2.01e-15,MCM2,4171
ENSG00000058668,9160,0.354,0.0427,2.43e-17,2.52e-15,ATP2B4,493
ENSG00000198838,159,1.2,0.148,2.66e-17,2.75e-15,RYR3,6263
ENSG00000171291,142,-1.46,0.18,3.1e-17,3.18e-15,ZNF439,90594
ENSG00000104435,1310,0.515,0.0632,3.7e-17,3.77e-15,STMN2,11075
ENSG00000135636,1430,0.504,0.062,4.69e-17,4.76e-15,DYSF,8291
ENSG00000227124,56.8,-3.12,0.385,5.42e-17,5.47e-15,ZNF717,100131827
ENSG00000146038,194,1.26,0.157,5.66e-17,5.67e-15,DCDC2,51473
