ID,Description,GeneRatio,BgRatio,p-value,adj. p-value
WP2431,Spinal cord injury,43/1363,92/6992,2.46e-09,1.68e-06
WP382,MAPK signaling,72/1363,213/6992,4.07e-07,9.32e-05
WP3896,Dengue 2 interactions with complement and coagu...,21/1363,37/6992,5.46e-07,9.32e-05
WP558,Complement and coagulation cascades,21/1363,37/6992,5.46e-07,9.32e-05
WP5115,Network map of SARS CoV 2 signaling,58/1363,174/6992,8.93e-06,0.00122
WP75,Toll like receptor signaling,29/1363,69/6992,1.36e-05,0.00154
WP2328,Allograft rejection,24/1363,54/6992,2.45e-05,0.00239
WP706,Sudden infant death syndrome SIDS susceptibilit...,44/1363,126/6992,2.99e-05,0.00255
WP4462,Platelet mediated interactions with vascular an...,9/1363,12/6992,4.93e-05,0.00374
WP3945,TYROBP causal network in microglia,23/1363,54/6992,8.15e-05,0.00557
WP5090,Complement system in neuronal development and p...,31/1363,83/6992,0.000107,0.00666
WP3612,Photodynamic therapy induced NFE2L2 NRF2 surviv...,12/1363,21/6992,0.000146,0.00832
WP5491,Transcriptional regulation of memory B cell dif...,16/1363,33/6992,0.00016,0.00839
WP2806,Complement system,24/1363,60/6992,0.000188,0.00917
WP5561,Integrative Analysis of Treg Glial Interactions ,32/1363,90/6992,0.000243,0.00973
WP2877,Vitamin D receptor pathway,39/1363,117/6992,0.000257,0.00973
WP5095,Overview of proinflammatory and profibrotic med...,12/1363,22/6992,0.000265,0.00973
WP5083,Neuroinflammation and glutamatergic signaling,41/1363,125/6992,0.000266,0.00973
WP3611,Photodynamic therapy induced AP 1 survival sign...,19/1363,44/6992,0.000271,0.00973
WP2840,Hair follicle development cytodifferentiation s...,23/1363,58/6992,0.000296,0.0101
WP3937,Microglia pathogen phagocytosis pathway,16/1363,35/6992,0.000374,0.0121
WP5193,Cholesterol synthesis disorders,10/1363,17/6992,0.00039,0.0121
WP477,Cytoplasmic ribosomal proteins,30/1363,86/6992,0.000545,0.0162
WP4136,Fibrin complement receptor 3 signaling,15/1363,33/6992,0.000613,0.0173
WP197,Cholesterol biosynthesis pathway,9/1363,15/6992,0.000634,0.0173
WP722,Serotonin HTR1 group and FOS pathway,16/1363,37/6992,0.000801,0.021
WP176,Folate metabolism,18/1363,44/6992,0.000856,0.0216
WP5473,Cytokine cytokine receptor interaction,34/1363,105/6992,0.00111,0.027
WP3591,Sleep regulation,12/1363,25/6992,0.00119,0.027
WP5284,Cell interactions in pancreatic cancer microenv...,9/1363,16/6992,0.0012,0.027
WP5198,Inflammatory bowel disease signaling,11/1363,22/6992,0.00125,0.027
