,GSM3673216,GSM3673217,GSM3673218,GSM3673219,GSM3673220,GSM3673221,GSM3673222,GSM3673223
WASH7P,6.89481956318052,7.20729748901078,6.7286024188842,7.09549841898882,7.33677703984018,7.02192733586958,6.58603204712432,7.08762997204418
LOC100996442,4.80147478155879,3.9409950518068,4.32912513906826,4.58637804203385,3.30085832980782,3.94702957840894,3.39329532483877,3.9271554691637
LOC729737,3.85230401756259,3.9409950518068,2.16115605237614,4.20681111533686,4.91145455689145,5.12668072930147,3.86607707376708,2.05598111151098
WASH9P,7.00796936785102,7.42383329264862,6.6181868601261,7.07015169192143,7.24350995898992,7.09537275836437,6.68456624406694,7.14509370556194
MIR12136,12.0892176117765,14.4454939680102,12.670504985313,12.4292863042779,13.8183886864151,12.3958916237427,13.56395342719,13.2365917335446
LOC100133331,3.77570571824785,3.78276411547263,2.99013117518934,3.69027604291005,3.89869462529185,4.52725812252753,3.99455794929769,2.30679567656911
LINC01409,3.9250396379488,3.16625263536256,4.05548117213059,4.00759032899437,3.30085832980782,3.48298732009415,4.5902857760836,3.15310136351788
LINC01128,9.60999871671557,8.30057457422635,9.22265383855065,9.42237889499324,7.52689314677655,8.61828081636883,8.83712879152175,8.8765233919999
SAMD11,5.87052258039184,7.09393021715509,5.94889971939776,5.95725346616457,7.70362949392225,6.27348010676073,5.67953409146536,6.55717673928597
NOC2L,9.83429283254329,9.60652899748012,9.82832566287862,9.86582174040762,9.81444901374622,9.73465610178592,9.3295937747312,10.0103650169678
KLHL17,5.54092679237338,3.78276411547263,5.01143215399117,5.67289764719086,4.97085630327279,4.89948435834395,4.81573930775878,4.00015784625766
HES4,6.91281535852335,7.50209908054733,7.27303424037483,7.43695918035564,6.52481863482521,6.49320584060298,6.31783363692551,5.39428854467795
ISG15,7.22516346988198,7.79937182845736,8.13659665069913,7.69639814172169,7.23141592517886,7.53881936019929,7.74302420012332,6.59301703470169
AGRN,10.9942567763674,10.5952255888645,10.4677461002197,10.6148845586312,9.45493942672068,9.77433283918428,9.37161090266656,9.83937197302648
LOC100288175,3.082083253248,3.9409950518068,4.50491080119773,4.92480712189872,2.87283112217781,3.24553084030645,4.74443232855447,3.38884940126985
LOC105378948,3.42073475057111,4.33235615463751,4.50491080119773,4.38182991563149,3.10266054901577,3.24553084030645,4.22157392165191,3.01900662427627
