GeneID,meanExpr,log2FC,log2FC SE,p-value,adj. p-value
INF2,1103.15588808135,-1.69175057667841,0.197165499919905,5.11183996777018e-19,8.69830688915775e-15
PDE1C,566.895936476288,-1.46872864805813,0.232835243304749,1.4848124621138e-11,1.26327844276642e-07
CNTNAP4,734.29905604665,-1.09400959380865,0.182019560686818,1.13436202786371e-10,6.43410142204298e-07
C8orf34,166.165297952069,-1.24736133050763,0.210645379675398,1.80509065565179e-10,7.6788556491427e-07
FCHO1,192.287979804649,-1.09565338015034,0.192849436987013,8.46842791061388e-10,2.88197538654011e-06
E2F1,120.053185652235,-1.7253132401234,0.311502914189412,1.565624194254e-09,4.44011021490434e-06
VIM-AS1,843.024055222742,2.34045464023823,0.433867124174859,3.0080838736462e-09,7.31222217056624e-06
TMPRSS3,84.947651137993,3.04902152290194,0.584763754311291,7.66966717942849e-09,1.60126080920062e-05
DUSP6,608.439869116483,-1.58792822942301,0.303749010042299,8.46929200917115e-09,1.60126080920062e-05
TMEM179,938.164646562102,-1.3224339705644,0.260050033753338,1.94505356625115e-08,3.30970314833296e-05
GMPR,224.439233752284,2.70017056132758,0.553419167813316,4.06560244448866e-08,6.28911738140173e-05
FKBP5,491.716935719137,2.68130788739768,0.549751946379549,4.50028676556022e-08,6.38140663356439e-05
TGFB2,597.167897843056,1.49031794389722,0.30854326391232,6.75372432355453e-08,8.84010562227722e-05
SPATA9,63.4642021179555,1.73956646406704,0.364750696542094,7.90160014511761e-08,9.60383057638009e-05
HLA-DPB1,180.118150356052,1.34941430759394,0.286344152976739,1.30786036930832e-07,0.00014276667544838
RIMS1,2059.69486289198,-1.14057117886192,0.241857491864247,1.34242290031387e-07,0.00014276667544838
FABP3,1082.58809121705,-0.865860464843671,0.182631178561455,1.47085118454829e-07,0.000144497932322999
RPH3A,4312.92564726084,-1.64559376983791,0.353964835069939,1.52853948155499e-07,0.000144497932322999
KNCN,40.7766954857364,-1.65021994474895,0.353989064880962,1.68599843860689e-07,0.000150994470691236
ARL4D,216.340276223275,-1.01525793665641,0.218578104717567,2.01425649319555e-07,0.000171372942441078
PDLIM4,167.456787057749,1.88384774770266,0.415921565198199,2.50623278316673e-07,0.000203076462087453
AGRN,1214.90290497375,-0.978014896947205,0.213178723852841,2.76869344035362e-07,0.000214145852641169
LIPH,32.298692335289,-2.33569517997177,0.519436464252462,2.9166184695424e-07,0.000215779042946667
MS4A6A,32.8394180294148,2.57654333013445,0.58642437586351,3.64659810499146e-07,0.000254907481257404
TNFRSF11B,67.6052328471517,3.37506918664338,0.767269272763516,3.74511461649924e-07,0.000254907481257404
ARHGEF2,1526.88848884706,-0.868555591828868,0.194104298208025,5.12887122167691e-07,0.000335664895030978
HIF3A,145.612147607409,2.07561607924155,0.483586227552439,6.85209165058789e-07,0.000431834042690383
COL19A1,66.5916842136644,-1.59126919597007,0.367289418827435,7.29688548839997e-07,0.000443442155252192
OR14I1,30.6318953884601,-2.9077671552085,0.686473940525297,1.0113055541562e-06,0.000593392252052477
DGCR5,944.293884069546,-1.1205521021667,0.264599662100656,1.22892631071689e-06,0.000697047003438618
KCNH5,429.806618034976,-1.27936247388401,0.304416041816978,1.33697726177459e-06,0.000733871131817951
SEC14L5,361.970731580148,-1.52318023047243,0.364600443376152,1.38310436005107e-06,0.000735465743457159
VIM,5441.19711724486,2.00644161803012,0.485828643091014,1.68758501856957e-06,0.000870180202302417
