,GSM3673208,GSM3673209,GSM3673210,GSM3673211,GSM3673212,GSM3673213,GSM3673214,GSM3673215,GSM3673216,GSM3673217,GSM3673218,GSM3673219,GSM3673220,GSM3673221,GSM3673222,GSM3673223
DDX11L1,1,2,0,1,0,1,0,0,1,1,0,1,1,1,0,0
WASH7P,138,96,127,131,82,113,136,167,158,92,121,171,127,152,70,171
MIR6859-1,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1
MIR1302-2HG,1,0,0,1,0,0,0,1,1,0,1,1,0,0,2,1
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100996442,45,9,7,21,4,23,10,17,36,9,22,29,7,17,7,18
LOC729737,21,12,13,15,4,33,8,7,18,9,4,22,23,40,10,4
DDX11L17,3,2,0,1,0,1,0,0,2,0,0,2,0,3,0,0
WASH9P,165,102,128,158,77,142,143,166,171,107,112,168,119,160,75,178
MIR6859-2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
LOC107985721,4,1,3,5,0,3,1,4,5,1,4,5,1,2,1,4
LOC112268260,12,5,5,12,1,8,4,7,14,4,15,14,6,9,4,6
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132287,16,13,11,8,5,22,8,9,13,8,5,14,8,19,5,7
LOC105378947,1,0,0,1,0,2,1,0,1,0,1,2,2,2,1,1
LOC101928626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MIR12136,4314,16723,9514,3660,11080,4398,12649,9167,5833,13984,7508,6946,11419,6351,8916,12223
OR4F16,1,2,0,0,1,0,0,0,1,0,1,1,1,0,1,1
LOC100133331,20,13,12,12,8,23,10,14,17,8,8,15,11,26,11,5
LOC107984841,2,1,2,1,0,2,1,1,4,1,1,2,2,1,0,1
LOC107984847,4,0,1,3,1,5,0,2,6,1,2,2,0,4,1,1
LOC107984849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288069,9,1,3,8,1,9,2,1,13,3,5,9,4,5,3,4
LINC01409,14,3,7,12,8,15,10,14,19,5,18,19,7,12,17,10
FAM87B,3,2,2,1,1,12,3,3,6,5,5,4,3,5,4,3
LINC00115,2,0,5,3,4,4,12,3,7,1,4,2,7,7,8,5
LINC01128,1012,195,197,754,80,562,267,445,1045,197,687,863,145,462,336,594
LOC107984850,3,1,3,9,0,7,3,1,6,0,8,2,5,4,4,4
FAM41C,3,0,0,1,0,3,2,2,3,0,3,0,2,2,2,1
LOC284600,6,2,3,10,1,1,4,7,6,1,2,3,10,3,1,4
LINC02593,5,3,3,3,3,0,0,5,5,3,2,3,2,1,1,2
LOC107985728,5,1,2,0,6,2,1,6,0,5,3,2,21,0,1,4
SAMD11,69,109,73,63,84,60,115,106,77,85,70,77,164,90,37,118
NOC2L,1273,412,434,994,348,875,602,1221,1221,488,1046,1174,711,1003,473,1305
KLHL17,50,28,30,59,23,43,38,31,61,8,36,63,24,34,20,19
PLEKHN1,0,0,0,2,2,1,1,1,0,1,0,1,2,0,0,0
PERM1,2,0,1,4,1,2,2,2,0,2,1,3,1,2,0,2
HES4,184,140,165,138,24,89,97,79,160,113,177,217,72,105,58,52
ISG15,126,129,184,92,117,106,183,111,199,139,323,260,118,218,157,121
AGRN,1923,1106,1000,1287,229,839,748,1198,2730,969,1630,1974,554,1031,487,1159
LOC100288175,12,7,7,47,2,5,28,6,10,9,25,37,5,10,19,12
LOC112267874,3,3,0,3,1,2,5,3,2,3,6,3,3,2,3,4
LOC105378948,11,7,8,29,3,6,28,7,13,12,25,25,6,10,13,9
RNF223,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
C1orf159,110,94,110,70,47,68,71,78,116,76,88,96,117,86,43,66
LINC01342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,0
TNFRSF18,31,11,15,25,1,2,4,7,11,6,11,23,4,7,2,4
TNFRSF4,4,3,1,3,0,1,2,4,10,0,1,9,1,2,3,1
SDF4,961,562,586,657,730,966,1018,1112,963,556,945,847,1159,1155,540,1210
B3GALT6,409,221,228,359,118,235,228,454,519,247,440,618,272,301,181,484
C1QTNF12,1,2,3,1,3,3,11,6,4,8,3,5,3,3,10,7
UBE2J2,488,274,340,390,271,355,560,495,534,264,522,572,372,434,287,555
LINC01786,11,7,6,9,2,8,4,10,14,2,5,12,4,2,5,5
SCNN1D,30,30,32,32,23,20,27,29,45,18,15,47,18,30,21,25
ACAP3,1525,823,1093,1373,454,1060,705,1139,1903,695,1495,2022,995,1244,622,1355
MIR6726,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
SNORD167,3,2,1,2,1,2,1,1,3,1,2,2,1,4,0,0
PUSL1,89,57,64,81,65,52,94,121,110,59,83,122,102,77,54,114
INTS11,630,277,276,510,295,533,419,613,671,279,579,655,455,546,298,669
MIR6727,1,2,1,2,1,2,1,0,0,1,1,1,0,1,0,0
