GeneID	GSM5994301	GSM5994302	GSM5994303	GSM5994304	GSM5994305	GSM5994306	GSM5994307	GSM5994308	GSM5994309	GSM5994310	GSM5994311	GSM5994312	GSM5994313	GSM5994314	GSM5994315	GSM5994316	GSM5994317	GSM5994318	GSM5994319	GSM5994320	GSM5994321
100287102	0	0	2	2	0	0	0	0	0	0	11	3	5	4	2	1	8	4	3	6	4
653635	445	237	391	356	465	278	356	351	292	341	592	842	1118	865	532	649	1012	500	622	937	558
102466751	23	7	12	10	8	11	6	9	6	15	23	36	57	38	25	34	52	16	18	33	21
107985730	0	0	0	0	0	1	1	0	1	0	0	0	1	4	0	1	1	0	1	7	1
100302278	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	1	1	2	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	56	25	14	46	6	15	25	46	33	37	174	109	47	55	143	55	46	61	51	59	19
729737	562	448	283	449	174	230	1069	1510	317	157	314	2295	507	151	629	190	731	256	327	318	297
102725121	0	0	1	2	1	0	0	0	1	1	17	2	0	3	2	0	4	13	1	3	2
102723897	511	302	500	321	560	325	427	441	274	380	699	764	1036	849	713	928	1002	559	633	795	927
102465909	12	3	7	8	7	7	6	5	3	12	18	12	23	14	19	19	16	14	12	17	11
107985721	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	3	3	2
112268260	35	13	11	8	10	8	31	8	17	6	73	42	21	42	13	32	16	9	30	40	26
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
100132287	334	217	195	196	154	97	489	508	134	137	313	918	413	206	585	361	416	363	245	300	267
105378947	3	3	4	2	1	4	3	1	2	0	1	3	2	2	2	4	1	3	4	2	1
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
113219467	1026	609	1506	798	1300	721	1113	1327	830	989	837	572	874	691	1359	637	1018	1485	1281	1346	2481
81399	3	1	3	4	4	3	6	4	1	4	7	12	2	5	6	5	5	4	3	9	3
100133331	294	176	203	152	155	110	309	373	111	160	355	724	502	183	623	477	426	370	231	323	283
107984841	65	41	24	38	25	47	39	57	17	40	81	216	201	30	121	165	117	89	58	56	87
107984847	121	46	17	47	27	77	47	115	16	47	118	389	257	34	160	193	128	60	65	52	159
107984849	38	25	1	18	10	13	20	52	8	13	34	143	54	3	53	35	60	22	25	7	30
100288069	42	36	5	39	18	34	36	44	11	50	66	110	106	32	199	87	74	60	50	41	30
105378580	54	18	18	19	20	34	12	23	10	20	22	51	57	64	44	49	38	39	32	38	54
400728	53	35	53	24	28	26	25	58	26	43	32	48	36	23	34	33	23	25	22	15	22
79854	29	21	25	14	22	19	17	31	27	22	22	26	72	27	28	69	34	29	23	26	38
643837	457	335	745	336	408	565	301	508	503	455	772	701	514	407	879	588	515	1043	321	427	476
107984850	0	0	1	0	1	3	0	0	2	0	0	0	1	0	1	0	0	0	3	3	1
284593	2	0	0	2	1	0	1	0	1	0	1	10	22	1	3	2	1	0	14	15	15
284600	19	1	11	3	1	54	6	15	30	18	0	190	186	6	0	5	1	0	7	29	281
100130417	21	1	13	3	3	16	8	8	34	20	14	20	17	23	2	55	21	24	21	35	25
107985728	9	0	5	9	2	6	3	12	23	6	8	8	28	11	0	52	13	9	1	14	1
148398	250	113	383	112	151	159	261	369	325	172	101	98	149	109	66	151	158	99	116	215	182
26155	2020	1231	1787	947	1247	1428	1489	2183	2203	1763	981	1191	1431	936	868	1240	1520	1027	1129	1396	924
339451	321	115	215	133	238	92	211	252	298	281	139	231	319	237	136	251	314	185	196	280	189
84069	25	16	68	20	46	52	53	43	83	41	8	461	1340	100	23	221	1035	10	437	395	408
84808	2	2	23	0	14	9	11	7	11	7	2	79	231	31	31	34	206	4	96	83	131
57801	455	144	566	110	430	222	380	1380	470	240	136	430	344	348	220	439	530	245	346	353	302
9636	1246	480	1456	503	1110	1271	784	4525	725	658	575	696	363	543	260	582	369	286	243	976	317
375790	4798	2261	4572	1815	6458	4907	5281	4046	4218	5718	1194	1936	2434	2218	1144	3448	2156	1362	2427	2242	1579
100288175	8	0	5	4	10	4	7	18	9	8	4	22	18	2	1	5	34	2	17	21	11
112267874	3	2	3	0	2	3	3	4	4	3	1	24	11	3	1	6	36	0	11	17	13
105378948	8	1	5	2	20	9	6	12	9	10	4	34	38	9	1	17	58	3	44	44	45
401934	0	0	0	0	0	0	0	0	0	0	0	37	41	6	0	6	107	0	32	24	25
54991	401	163	304	116	211	170	251	278	260	295	275	370	402	337	231	439	322	270	340	431	273
254099	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	5	0
406984	0	0	0	0	0	0	0	0	0	0	0	6	23	3	0	1	18	0	9	5	3
406983	0	0	0	0	0	0	0	0	0	0	0	7	17	0	0	1	54	0	16	3	8
554210	0	0	0	0	0	0	0	0	0	0	0	7	35	4	0	3	41	0	18	12	9
100506376	0	3	0	14	0	0	3	0	0	1	22	2	2	10	37	13	4	26	2	1	0
254173	6	9	2	20	4	0	4	1	0	4	48	18	26	16	70	38	56	46	29	27	17
8784	48	67	77	16	142	133	28	64	35	53	29	275	521	70	34	71	188	24	181	254	181
7293	285	218	326	174	343	142	299	301	91	123	120	128	52	114	177	86	107	135	68	139	80
51150	5700	4159	6550	3402	5094	5432	5410	7112	7384	6498	3947	4019	3652	4297	2927	4369	2989	3714	2933	4447	2513
126792	918	478	1367	385	983	790	786	1220	1199	930	278	243	371	420	273	428	256	299	281	523	304
388581	28	10	4	16	6	4	5	12	9	5	20	38	77	26	13	14	50	22	75	71	52
118424	1532	1088	1777	734	1351	1304	1366	1785	1518	1357	901	1046	1138	1003	871	1010	997	984	937	1121	900
101928895	19	9	7	9	12	6	19	8	8	21	66	54	64	56	62	88	46	76	86	42	5
6339	56	14	13	21	32	14	20	12	15	45	175	180	127	239	126	234	156	149	183	166	53
116983	1930	581	905	706	1200	882	873	1012	1169	1544	1149	2283	3658	1782	1095	3163	4094	1111	2331	2194	1477
102465434	0	1	1	0	0	0	0	0	1	0	0	1	3	0	1	2	3	2	0	3	1
109623456	13	3	1	5	2	3	3	5	3	2	5	5	28	9	11	27	28	8	19	15	1
126789	323	133	390	132	272	238	274	367	342	310	106	151	233	175	117	171	218	120	151	249	226
54973	1692	1159	1516	1164	1470	1242	1563	2187	1823	1686	1252	1594	1793	1657	1379	2119	1763	1418	1511	1809	1360
102465435	7	3	0	2	3	3	4	5	6	6	11	6	11	8	6	15	10	8	7	6	4
80772	530	280	609	356	570	546	532	659	621	679	471	313	663	390	461	545	325	494	599	662	669
83756	9	7	3	6	37	11	9	7	16	33	11	14	19	22	16	29	12	16	25	60	24
1855	1353	699	1132	757	1106	950	845	1356	1862	1523	1416	1426	1824	1364	1330	1810	1705	1555	1566	1652	1405
102466740	6	3	1	4	5	1	3	1	3	6	2	8	8	12	2	13	14	4	5	5	4
