Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol
55771,452,3.24,0.134,2.96e-129,5.55e-125,PRR11
6790,248,3.25,0.183,1.09e-71,1.02e-67,AURKA
1111,270,2.36,0.137,5.59e-67,3.5e-63,CHEK1
63967,221,3.57,0.21,1.53e-65,7.18e-62,CLSPN
5798,516,9.39,0.556,6.72e-65,2.52e-61,PTPRN
9319,289,3.13,0.191,1.91e-61,5.98e-58,TRIP13
10376,22500,1.95,0.118,2.34e-61,6.27e-58,TUBA1B
399888,308,-7.8,0.479,2.93e-61,6.87e-58,FAM180B
4322,6700,9.81,0.615,3.15e-58,6.57e-55,MMP13
4247,954,1.26,0.0793,5.92e-57,1.02e-53,MGAT2
890,433,2.7,0.171,5.98e-57,1.02e-53,CCNA2
9601,3680,2.11,0.133,6.87e-57,1.07e-53,PDIA4
79709,5000,1.85,0.119,3.12e-55,4.51e-52,COLGALT1
8091,71.5,5.1,0.332,4.61e-54,6.19e-51,HMGA2
4175,967,1.6,0.104,5.77e-54,7.23e-51,MCM6
4312,8490,9.46,0.62,1.04e-53,1.22e-50,MMP1
11117,6950,2.82,0.185,3.32e-53,3.66e-50,EMILIN1
5888,184,2.92,0.195,7.74e-52,8.08e-49,RAD51
4605,539,4.32,0.289,8.64e-52,8.54e-49,MYBL2
51754,404,-1.95,0.13,1.72e-51,1.61e-48,TMEM8B
51512,336,3.41,0.229,3.25e-51,2.91e-48,GTSE1
494514,77.5,3.56,0.241,2.06e-50,1.76e-47,NA
100288077,1820,9.07,0.619,9.73e-50,7.8e-47,WTAPP1
7146,1130,-5.21,0.357,9.96e-50,7.8e-47,NA
2237,580,2.09,0.142,1.05e-49,7.92e-47,FEN1
25886,154,2.25,0.153,1.63e-49,1.18e-46,POC1A
90874,447,1.84,0.125,1.95e-49,1.36e-46,ZNF697
1590,168,-4.88,0.338,1.1e-48,7.4e-46,NA
6374,5370,9.71,0.672,1.43e-48,9.24e-46,CXCL5
891,690,3.18,0.22,2.42e-48,1.52e-45,CCNB1
29128,725,4.22,0.295,1.19e-47,7.23e-45,UHRF1
8607,1050,1.43,0.0992,1.76e-47,1.03e-44,RUVBL1
1589,139,-5.02,0.354,5.26e-47,2.99e-44,CYP21A2
23193,6650,1.2,0.0846,2.78e-46,1.53e-43,GANAB
3131,439,-5.02,0.358,4.5e-46,2.41e-43,HLF
7433,542,-5.44,0.391,1.35e-45,7.05e-43,VIPR1
11178,709,2.56,0.183,2.93e-45,1.49e-42,LZTS1
9156,114,3.57,0.256,3.29e-45,1.63e-42,EXO1
1063,482,3.45,0.248,4.17e-45,2.01e-42,CENPF
11279,791,-2.88,0.207,6.11e-45,2.87e-42,KLF8
1650,4870,1.26,0.09,6.28e-45,2.88e-42,DDOST
280,333,-2.86,0.207,2e-44,8.95e-42,AMY2B
4998,110,2.79,0.202,2.24e-44,9.8e-42,ORC1
6185,5100,1.45,0.105,1.51e-43,6.46e-41,RPN2
6372,873,8.98,0.659,1.72e-43,7.16e-41,CXCL6
2166,166,-2.71,0.199,3.5e-43,1.43e-40,FAAH
8862,1760,4.94,0.364,4.14e-43,1.65e-40,APLN
55165,300,3.81,0.281,4.98e-43,1.95e-40,CEP55
4085,305,2.9,0.215,2.46e-42,9.43e-40,MAD2L1
10525,2580,1.8,0.133,2.66e-42,1e-39,HYOU1
9824,294,2.64,0.196,2.85e-42,1.05e-39,ARHGAP11A
84820,406,-0.753,0.0555,3.86e-42,1.39e-39,POLR2J4; RASA4CP
23353,3920,-1.55,0.115,6.15e-42,2.18e-39,SUN1
6747,2630,1.46,0.109,1.7e-41,5.92e-39,SSR3
23636,1400,1.13,0.084,1.76e-41,6.02e-39,NUP62
54732,4430,1.54,0.115,2.44e-41,8.19e-39,TMED9
10635,131,2.13,0.16,2.56e-41,8.43e-39,RAD51AP1
81563,1260,-1.8,0.135,2.72e-41,8.8e-39,C1orf21
2305,639,2.98,0.224,3.4e-41,1.08e-38,FOXM1
84296,169,2.51,0.189,6.13e-41,1.92e-38,GINS4
3912,10300,2.24,0.169,6.48e-41,1.99e-38,LAMB1
169792,354,2.87,0.217,7.48e-41,2.27e-38,GLIS3
64856,2680,2.25,0.171,1.31e-40,3.91e-38,VWA1
3678,8370,2.55,0.194,1.58e-40,4.65e-38,ITGA5
8643,318,-4.26,0.325,2.88e-40,8.31e-38,PTCH2
1786,1600,1.33,0.101,3.47e-40,9.86e-38,DNMT1
6092,112,-6.58,0.505,3.71e-40,1.04e-37,ROBO2
