GeneID	GSM7796306	GSM7796307	GSM7796308	GSM7796309	GSM7796310	GSM7796311
100287102	4	2	5	3	3	3
653635	522	337	277	293	368	205
102466751	29	18	17	17	19	10
107985730	2	1	0	0	1	0
100302278	1	0	0	0	1	1
645520	0	0	0	1	0	0
79501	0	1	0	0	0	0
100996442	46	31	35	30	48	38
729737	39	21	18	17	24	13
102725121	2	1	3	2	2	2
102723897	514	327	299	311	374	207
102465909	24	17	17	17	21	11
107985721	3	2	0	4	2	2
112268260	4	3	5	2	3	3
729759	0	0	0	0	1	1
100132287	123	68	52	55	76	44
105378947	1	1	1	0	1	1
101928626	0	0	0	0	0	0
113219467	875	1076	1199	1992	1165	2236
81399	3	0	2	1	4	3
100133331	182	124	92	129	148	87
107984841	111	82	59	61	90	49
107984847	150	108	71	102	134	75
107984849	26	16	10	21	20	10
100288069	212	142	135	144	155	121
105378580	192	170	157	208	277	192
400728	50	25	25	35	40	27
79854	122	97	93	96	100	100
643837	2114	1422	1609	1536	1821	1381
107984850	0	0	0	1	2	0
284593	6	3	4	3	5	6
284600	24	17	19	22	13	11
100130417	4	6	2	2	3	0
107985728	0	0	0	0	0	0
148398	158	103	78	98	118	77
26155	5184	3426	2736	2777	3306	2104
339451	240	161	112	84	144	54
84069	0	0	0	1	0	0
84808	0	1	0	0	0	0
57801	102	58	38	56	58	35
9636	53	23	14	11	21	15
375790	5139	3034	2313	2494	2891	1639
100288175	4	5	2	10	12	7
112267874	1	3	1	2	2	1
105378948	5	5	1	9	10	7
401934	0	0	0	0	0	0
54991	258	160	133	121	142	77
254099	5	2	0	3	6	1
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	1	0	0	0	0	0
254173	0	1	1	4	3	1
8784	1	0	0	1	1	0
7293	1	0	1	0	2	0
51150	3984	2498	1810	1858	2387	1301
126792	2722	2040	1843	1821	2036	1461
388581	6	2	0	0	3	1
118424	1999	1493	1303	1399	1640	1133
101928895	139	67	71	76	100	48
6339	232	117	128	114	107	77
116983	4030	2346	1845	1899	2205	1257
102465434	2	2	1	1	2	1
109623456	43	18	13	18	21	9
126789	342	215	126	149	204	122
54973	2378	1468	1267	1133	1328	796
102465435	1	0	0	0	1	0
80772	293	189	150	168	181	111
83756	34	32	17	30	28	15
1855	1238	775	539	505	610	311
102466740	0	0	0	0	0	0
54587	249	119	119	101	104	68
54998	1448	936	699	696	811	433
81669	11194	7617	7952	8375	10255	7718
148413	1548	1115	970	993	1197	787
55052	3732	3151	2720	2732	3076	2331
107984868	8	6	13	16	25	17
441869	14	7	11	32	42	29
105378585	6	7	6	10	15	18
643965	1	0	0	0	0	0
102724312	10	11	11	14	14	11
107985729	8	11	8	7	18	8
64856	227	149	123	123	113	81
219293	62	39	50	39	43	29
83858	1304	753	606	679	796	467
55210	1600	971	737	756	930	529
339453	3	3	4	2	0	2
29101	6602	5078	4655	3961	4427	3551
643988	200	138	63	60	92	38
105378586	4	9	14	10	5	6
142678	847	569	445	505	602	362
8510	83	58	50	57	59	40
984	4562	3072	2906	3322	3678	2888
728661	12757	8566	8823	8581	10141	7413
8511	3	3	2	6	1	2
728642	2796	1941	1860	2084	2375	1901
9906	5590	3775	3982	4026	4901	3619
112268218	244	183	152	163	178	127
65220	5649	3840	3343	3700	4288	2959
2782	49066	37480	37212	35284	39343	31132
105378949	12	8	8	9	4	3
163688	19	12	9	26	28	14
339456	7	7	3	7	6	7
85452	1	0	0	0	0	0
107984872	0	0	0	1	0	0
105378589	0	0	0	0	1	0
2563	0	0	0	0	0	0
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	222	138	138	125	138	88
100506504	39	26	26	24	26	15
199990	601	399	350	386	435	271
112268219	217	145	133	140	148	109
105378593	1	1	0	0	1	1
6497	5188	3831	3874	4195	4750	3953
79906	244	135	120	179	229	126
100129534	77	50	56	86	78	79
11079	8247	6290	6111	6364	7088	5439
5192	1334	990	935	911	1028	723
9651	2	0	0	0	1	2
55229	1778	1238	1025	1069	1246	885
388585	1	0	2	4	4	5
115110	9	4	3	0	1	0
8764	39	18	14	15	18	9
100996583	2	1	2	2	1	2
127281	1557	1109	978	872	983	639
79258	177	129	120	112	112	72
105378597	1	3	4	5	1	1
100287898	38	23	27	25	25	21
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	1	0	2	1	0
63976	1	6	1	1	0	0
100422968	0	0	0	0	0	0
105378606	2	0	0	1	0	0
107984909	0	0	0	0	0	0
105378605	0	1	4	0	1	1
105378604	0	0	0	0	0	0
27237	7	7	2	13	14	4
1953	7	7	5	8	11	3
105378608	0	0	0	0	0	0
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
