"n_universe","n_full_pathway","coverage","n_obs_pathway","de_fraction","n_de","signal_frac","n_signal","replicate","stability"
5000,200,0.05,10,0.1,500,0.3,3,1,0.165
5000,200,0.05,10,0.1,500,0.3,3,2,0.21
5000,200,0.05,10,0.1,500,0.3,3,3,0.21
5000,200,0.05,10,0.1,500,0.3,3,4,0.195
5000,200,0.05,10,0.1,500,0.3,3,5,0.195
5000,200,0.05,10,0.1,500,0.3,3,6,0.185
5000,200,0.05,10,0.1,500,0.3,3,7,0.195
5000,200,0.05,10,0.1,500,0.3,3,8,0.235
5000,200,0.05,10,0.1,500,0.3,3,9,0.145
5000,200,0.05,10,0.1,500,0.3,3,10,0.24
5000,200,0.05,10,0.1,500,0.3,3,11,0.195
5000,200,0.05,10,0.1,500,0.3,3,12,0.235
5000,200,0.05,10,0.1,500,0.3,3,13,0.24
5000,200,0.05,10,0.1,500,0.3,3,14,0.205
5000,200,0.05,10,0.1,500,0.3,3,15,0.255
5000,200,0.05,10,0.1,500,0.3,3,16,0.215
5000,200,0.05,10,0.1,500,0.3,3,17,0.16
5000,200,0.05,10,0.1,500,0.3,3,18,0.22
5000,200,0.05,10,0.1,500,0.3,3,19,0.215
5000,200,0.05,10,0.1,500,0.3,3,20,0.18
5000,200,0.1,20,0.1,500,0.3,6,1,0.755
5000,200,0.1,20,0.1,500,0.3,6,2,0.83
5000,200,0.1,20,0.1,500,0.3,6,3,0.795
5000,200,0.1,20,0.1,500,0.3,6,4,0.785
5000,200,0.1,20,0.1,500,0.3,6,5,0.79
5000,200,0.1,20,0.1,500,0.3,6,6,0.795
5000,200,0.1,20,0.1,500,0.3,6,7,0.84
5000,200,0.1,20,0.1,500,0.3,6,8,0.78
5000,200,0.1,20,0.1,500,0.3,6,9,0.775
5000,200,0.1,20,0.1,500,0.3,6,10,0.78
5000,200,0.1,20,0.1,500,0.3,6,11,0.845
5000,200,0.1,20,0.1,500,0.3,6,12,0.84
5000,200,0.1,20,0.1,500,0.3,6,13,0.805
5000,200,0.1,20,0.1,500,0.3,6,14,0.83
5000,200,0.1,20,0.1,500,0.3,6,15,0.8
5000,200,0.1,20,0.1,500,0.3,6,16,0.835
5000,200,0.1,20,0.1,500,0.3,6,17,0.76
5000,200,0.1,20,0.1,500,0.3,6,18,0.815
5000,200,0.1,20,0.1,500,0.3,6,19,0.815
5000,200,0.1,20,0.1,500,0.3,6,20,0.79
5000,200,0.15,30,0.1,500,0.3,9,1,0.99
5000,200,0.15,30,0.1,500,0.3,9,2,0.97
5000,200,0.15,30,0.1,500,0.3,9,3,0.995
5000,200,0.15,30,0.1,500,0.3,9,4,0.96
5000,200,0.15,30,0.1,500,0.3,9,5,0.985
5000,200,0.15,30,0.1,500,0.3,9,6,0.98
5000,200,0.15,30,0.1,500,0.3,9,7,0.96
5000,200,0.15,30,0.1,500,0.3,9,8,0.97
5000,200,0.15,30,0.1,500,0.3,9,9,0.975
5000,200,0.15,30,0.1,500,0.3,9,10,0.985
5000,200,0.15,30,0.1,500,0.3,9,11,0.985
5000,200,0.15,30,0.1,500,0.3,9,12,0.96
5000,200,0.15,30,0.1,500,0.3,9,13,0.95
5000,200,0.15,30,0.1,500,0.3,9,14,0.965
5000,200,0.15,30,0.1,500,0.3,9,15,0.965
5000,200,0.15,30,0.1,500,0.3,9,16,0.96
5000,200,0.15,30,0.1,500,0.3,9,17,0.985
5000,200,0.15,30,0.1,500,0.3,9,18,0.98
5000,200,0.15,30,0.1,500,0.3,9,19,0.96
