"n_universe","de_fraction","n_de","n_pathway","signal_frac","n_signal","replicate","stability"
5000,0.05,250,50,0.1,5,1,0.085
5000,0.05,250,50,0.1,5,2,0.06
5000,0.05,250,50,0.1,5,3,0.08
5000,0.05,250,50,0.1,5,4,0.075
5000,0.05,250,50,0.1,5,5,0.08
5000,0.05,250,50,0.1,5,6,0.07
5000,0.05,250,50,0.1,5,7,0.06
5000,0.05,250,50,0.1,5,8,0.065
5000,0.05,250,50,0.1,5,9,0.035
5000,0.05,250,50,0.1,5,10,0.07
5000,0.05,250,50,0.1,5,11,0.07
5000,0.05,250,50,0.1,5,12,0.075
5000,0.05,250,50,0.1,5,13,0.055
5000,0.05,250,50,0.1,5,14,0.07
5000,0.05,250,50,0.1,5,15,0.065
5000,0.05,250,50,0.1,5,16,0.09
5000,0.05,250,50,0.1,5,17,0.08
5000,0.05,250,50,0.1,5,18,0.065
5000,0.05,250,50,0.1,5,19,0.055
5000,0.05,250,50,0.1,5,20,0.075
5000,0.05,250,50,0.2,10,1,0.995
5000,0.05,250,50,0.2,10,2,1
5000,0.05,250,50,0.2,10,3,1
5000,0.05,250,50,0.2,10,4,0.995
5000,0.05,250,50,0.2,10,5,0.99
5000,0.05,250,50,0.2,10,6,1
5000,0.05,250,50,0.2,10,7,1
5000,0.05,250,50,0.2,10,8,0.995
5000,0.05,250,50,0.2,10,9,0.995
5000,0.05,250,50,0.2,10,10,1
5000,0.05,250,50,0.2,10,11,0.995
5000,0.05,250,50,0.2,10,12,1
5000,0.05,250,50,0.2,10,13,0.995
5000,0.05,250,50,0.2,10,14,0.995
5000,0.05,250,50,0.2,10,15,0.995
5000,0.05,250,50,0.2,10,16,0.995
5000,0.05,250,50,0.2,10,17,0.995
5000,0.05,250,50,0.2,10,18,1
5000,0.05,250,50,0.2,10,19,0.995
5000,0.05,250,50,0.2,10,20,1
5000,0.05,250,50,0.3,15,1,1
5000,0.05,250,50,0.3,15,2,1
5000,0.05,250,50,0.3,15,3,1
5000,0.05,250,50,0.3,15,4,1
5000,0.05,250,50,0.3,15,5,1
5000,0.05,250,50,0.3,15,6,1
5000,0.05,250,50,0.3,15,7,1
5000,0.05,250,50,0.3,15,8,1
5000,0.05,250,50,0.3,15,9,1
5000,0.05,250,50,0.3,15,10,1
5000,0.05,250,50,0.3,15,11,1
5000,0.05,250,50,0.3,15,12,1
5000,0.05,250,50,0.3,15,13,1
5000,0.05,250,50,0.3,15,14,1
5000,0.05,250,50,0.3,15,15,1
5000,0.05,250,50,0.3,15,16,1
5000,0.05,250,50,0.3,15,17,1
5000,0.05,250,50,0.3,15,18,1
5000,0.05,250,50,0.3,15,19,1
5000,0.05,250,50,0.3,15,20,1
5000,0.05,250,50,0.4,20,1,1
5000,0.05,250,50,0.4,20,2,1
5000,0.05,250,50,0.4,20,3,1
5000,0.05,250,50,0.4,20,4,1
5000,0.05,250,50,0.4,20,5,1
5000,0.05,250,50,0.4,20,6,1
5000,0.05,250,50,0.4,20,7,1
5000,0.05,250,50,0.4,20,8,1
5000,0.05,250,50,0.4,20,9,1
5000,0.05,250,50,0.4,20,10,1
5000,0.05,250,50,0.4,20,11,1
5000,0.05,250,50,0.4,20,12,1
5000,0.05,250,50,0.4,20,13,1
5000,0.05,250,50,0.4,20,14,1
5000,0.05,250,50,0.4,20,15,1
5000,0.05,250,50,0.4,20,16,1
5000,0.05,250,50,0.4,20,17,1
5000,0.05,250,50,0.4,20,18,1
5000,0.05,250,50,0.4,20,19,1
5000,0.05,250,50,0.4,20,20,1
5000,0.08,400,50,0.1,5,1,0
5000,0.08,400,50,0.1,5,2,0
5000,0.08,400,50,0.1,5,3,0
5000,0.08,400,50,0.1,5,4,0
5000,0.08,400,50,0.1,5,5,0
5000,0.08,400,50,0.1,5,6,0
5000,0.08,400,50,0.1,5,7,0
5000,0.08,400,50,0.1,5,8,0
5000,0.08,400,50,0.1,5,9,0
5000,0.08,400,50,0.1,5,10,0
5000,0.08,400,50,0.1,5,11,0
5000,0.08,400,50,0.1,5,12,0
5000,0.08,400,50,0.1,5,13,0
5000,0.08,400,50,0.1,5,14,0
5000,0.08,400,50,0.1,5,15,0
5000,0.08,400,50,0.1,5,16,0
5000,0.08,400,50,0.1,5,17,0
5000,0.08,400,50,0.1,5,18,0
5000,0.08,400,50,0.1,5,19,0
5000,0.08,400,50,0.1,5,20,0
5000,0.08,400,50,0.2,10,1,0.905
5000,0.08,400,50,0.2,10,2,0.88
5000,0.08,400,50,0.2,10,3,0.93
5000,0.08,400,50,0.2,10,4,0.925
5000,0.08,400,50,0.2,10,5,0.945
5000,0.08,400,50,0.2,10,6,0.94
5000,0.08,400,50,0.2,10,7,0.915
5000,0.08,400,50,0.2,10,8,0.92
5000,0.08,400,50,0.2,10,9,0.895
5000,0.08,400,50,0.2,10,10,0.935
5000,0.08,400,50,0.2,10,11,0.925
5000,0.08,400,50,0.2,10,12,0.925
5000,0.08,400,50,0.2,10,13,0.905
5000,0.08,400,50,0.2,10,14,0.905
5000,0.08,400,50,0.2,10,15,0.905
5000,0.08,400,50,0.2,10,16,0.925
5000,0.08,400,50,0.2,10,17,0.93
5000,0.08,400,50,0.2,10,18,0.91
5000,0.08,400,50,0.2,10,19,0.895
5000,0.08,400,50,0.2,10,20,0.91
5000,0.08,400,50,0.3,15,1,1
5000,0.08,400,50,0.3,15,2,1
5000,0.08,400,50,0.3,15,3,1
5000,0.08,400,50,0.3,15,4,1
5000,0.08,400,50,0.3,15,5,1
5000,0.08,400,50,0.3,15,6,1
5000,0.08,400,50,0.3,15,7,1
5000,0.08,400,50,0.3,15,8,1
5000,0.08,400,50,0.3,15,9,1
5000,0.08,400,50,0.3,15,10,1
5000,0.08,400,50,0.3,15,11,1
5000,0.08,400,50,0.3,15,12,1
5000,0.08,400,50,0.3,15,13,1
5000,0.08,400,50,0.3,15,14,1
5000,0.08,400,50,0.3,15,15,1
5000,0.08,400,50,0.3,15,16,1
5000,0.08,400,50,0.3,15,17,1
5000,0.08,400,50,0.3,15,18,1
5000,0.08,400,50,0.3,15,19,1
5000,0.08,400,50,0.3,15,20,1
5000,0.08,400,50,0.4,20,1,1
5000,0.08,400,50,0.4,20,2,1
5000,0.08,400,50,0.4,20,3,1
5000,0.08,400,50,0.4,20,4,1
5000,0.08,400,50,0.4,20,5,1
5000,0.08,400,50,0.4,20,6,1
5000,0.08,400,50,0.4,20,7,1
5000,0.08,400,50,0.4,20,8,1
5000,0.08,400,50,0.4,20,9,1
5000,0.08,400,50,0.4,20,10,1
5000,0.08,400,50,0.4,20,11,1
5000,0.08,400,50,0.4,20,12,1
5000,0.08,400,50,0.4,20,13,1
5000,0.08,400,50,0.4,20,14,1
5000,0.08,400,50,0.4,20,15,1
5000,0.08,400,50,0.4,20,16,1
5000,0.08,400,50,0.4,20,17,1
5000,0.08,400,50,0.4,20,18,1
5000,0.08,400,50,0.4,20,19,1
5000,0.08,400,50,0.4,20,20,1
5000,0.1,500,50,0.1,5,1,0
5000,0.1,500,50,0.1,5,2,0
5000,0.1,500,50,0.1,5,3,0
5000,0.1,500,50,0.1,5,4,0
5000,0.1,500,50,0.1,5,5,0
5000,0.1,500,50,0.1,5,6,0
5000,0.1,500,50,0.1,5,7,0
5000,0.1,500,50,0.1,5,8,0
5000,0.1,500,50,0.1,5,9,0
5000,0.1,500,50,0.1,5,10,0
5000,0.1,500,50,0.1,5,11,0
5000,0.1,500,50,0.1,5,12,0
5000,0.1,500,50,0.1,5,13,0
5000,0.1,500,50,0.1,5,14,0
5000,0.1,500,50,0.1,5,15,0
5000,0.1,500,50,0.1,5,16,0
5000,0.1,500,50,0.1,5,17,0
5000,0.1,500,50,0.1,5,18,0
5000,0.1,500,50,0.1,5,19,0
5000,0.1,500,50,0.1,5,20,0
5000,0.1,500,50,0.2,10,1,0.66
5000,0.1,500,50,0.2,10,2,0.68
5000,0.1,500,50,0.2,10,3,0.69
5000,0.1,500,50,0.2,10,4,0.68
5000,0.1,500,50,0.2,10,5,0.735
5000,0.1,500,50,0.2,10,6,0.665
5000,0.1,500,50,0.2,10,7,0.65
5000,0.1,500,50,0.2,10,8,0.605
5000,0.1,500,50,0.2,10,9,0.69
5000,0.1,500,50,0.2,10,10,0.68
5000,0.1,500,50,0.2,10,11,0.68
5000,0.1,500,50,0.2,10,12,0.59
5000,0.1,500,50,0.2,10,13,0.66
5000,0.1,500,50,0.2,10,14,0.695
5000,0.1,500,50,0.2,10,15,0.63
5000,0.1,500,50,0.2,10,16,0.63
5000,0.1,500,50,0.2,10,17,0.61
5000,0.1,500,50,0.2,10,18,0.68
5000,0.1,500,50,0.2,10,19,0.675
5000,0.1,500,50,0.2,10,20,0.64
5000,0.1,500,50,0.3,15,1,0.995
5000,0.1,500,50,0.3,15,2,1
5000,0.1,500,50,0.3,15,3,0.995
5000,0.1,500,50,0.3,15,4,1
5000,0.1,500,50,0.3,15,5,1
5000,0.1,500,50,0.3,15,6,0.995
5000,0.1,500,50,0.3,15,7,1
5000,0.1,500,50,0.3,15,8,1
5000,0.1,500,50,0.3,15,9,1
5000,0.1,500,50,0.3,15,10,1
5000,0.1,500,50,0.3,15,11,1
5000,0.1,500,50,0.3,15,12,1
5000,0.1,500,50,0.3,15,13,1
5000,0.1,500,50,0.3,15,14,1
5000,0.1,500,50,0.3,15,15,1
5000,0.1,500,50,0.3,15,16,1
5000,0.1,500,50,0.3,15,17,0.995
5000,0.1,500,50,0.3,15,18,1
5000,0.1,500,50,0.3,15,19,1
5000,0.1,500,50,0.3,15,20,1
5000,0.1,500,50,0.4,20,1,1
5000,0.1,500,50,0.4,20,2,1
5000,0.1,500,50,0.4,20,3,1
5000,0.1,500,50,0.4,20,4,1
5000,0.1,500,50,0.4,20,5,1
5000,0.1,500,50,0.4,20,6,1
5000,0.1,500,50,0.4,20,7,1
5000,0.1,500,50,0.4,20,8,1
5000,0.1,500,50,0.4,20,9,1
5000,0.1,500,50,0.4,20,10,1
5000,0.1,500,50,0.4,20,11,1
5000,0.1,500,50,0.4,20,12,1
5000,0.1,500,50,0.4,20,13,1
5000,0.1,500,50,0.4,20,14,1
5000,0.1,500,50,0.4,20,15,1
5000,0.1,500,50,0.4,20,16,1
5000,0.1,500,50,0.4,20,17,1
5000,0.1,500,50,0.4,20,18,1
5000,0.1,500,50,0.4,20,19,1
5000,0.1,500,50,0.4,20,20,1
5000,0.15,750,50,0.1,5,1,0
5000,0.15,750,50,0.1,5,2,0
5000,0.15,750,50,0.1,5,3,0
5000,0.15,750,50,0.1,5,4,0
5000,0.15,750,50,0.1,5,5,0
5000,0.15,750,50,0.1,5,6,0
5000,0.15,750,50,0.1,5,7,0
5000,0.15,750,50,0.1,5,8,0
5000,0.15,750,50,0.1,5,9,0
5000,0.15,750,50,0.1,5,10,0
5000,0.15,750,50,0.1,5,11,0
5000,0.15,750,50,0.1,5,12,0
5000,0.15,750,50,0.1,5,13,0
5000,0.15,750,50,0.1,5,14,0
5000,0.15,750,50,0.1,5,15,0
5000,0.15,750,50,0.1,5,16,0
5000,0.15,750,50,0.1,5,17,0
5000,0.15,750,50,0.1,5,18,0
5000,0.15,750,50,0.1,5,19,0
5000,0.15,750,50,0.1,5,20,0
5000,0.15,750,50,0.2,10,1,0.01
5000,0.15,750,50,0.2,10,2,0
5000,0.15,750,50,0.2,10,3,0.005
5000,0.15,750,50,0.2,10,4,0
5000,0.15,750,50,0.2,10,5,0
5000,0.15,750,50,0.2,10,6,0.01
5000,0.15,750,50,0.2,10,7,0
5000,0.15,750,50,0.2,10,8,0.005
5000,0.15,750,50,0.2,10,9,0
5000,0.15,750,50,0.2,10,10,0
5000,0.15,750,50,0.2,10,11,0
5000,0.15,750,50,0.2,10,12,0
5000,0.15,750,50,0.2,10,13,0
5000,0.15,750,50,0.2,10,14,0
5000,0.15,750,50,0.2,10,15,0.005
5000,0.15,750,50,0.2,10,16,0
5000,0.15,750,50,0.2,10,17,0
5000,0.15,750,50,0.2,10,18,0
5000,0.15,750,50,0.2,10,19,0
5000,0.15,750,50,0.2,10,20,0
5000,0.15,750,50,0.3,15,1,0.95
5000,0.15,750,50,0.3,15,2,0.935
5000,0.15,750,50,0.3,15,3,0.94
5000,0.15,750,50,0.3,15,4,0.91
5000,0.15,750,50,0.3,15,5,0.955
5000,0.15,750,50,0.3,15,6,0.93
5000,0.15,750,50,0.3,15,7,0.925
5000,0.15,750,50,0.3,15,8,0.97
5000,0.15,750,50,0.3,15,9,0.93
5000,0.15,750,50,0.3,15,10,0.94
5000,0.15,750,50,0.3,15,11,0.91
5000,0.15,750,50,0.3,15,12,0.945
5000,0.15,750,50,0.3,15,13,0.965
5000,0.15,750,50,0.3,15,14,0.925
5000,0.15,750,50,0.3,15,15,0.925
5000,0.15,750,50,0.3,15,16,0.94
5000,0.15,750,50,0.3,15,17,0.955
5000,0.15,750,50,0.3,15,18,0.97
5000,0.15,750,50,0.3,15,19,0.925
5000,0.15,750,50,0.3,15,20,0.95
5000,0.15,750,50,0.4,20,1,1
5000,0.15,750,50,0.4,20,2,1
5000,0.15,750,50,0.4,20,3,1
5000,0.15,750,50,0.4,20,4,1
5000,0.15,750,50,0.4,20,5,1
5000,0.15,750,50,0.4,20,6,1
5000,0.15,750,50,0.4,20,7,1
5000,0.15,750,50,0.4,20,8,1
5000,0.15,750,50,0.4,20,9,1
5000,0.15,750,50,0.4,20,10,1
5000,0.15,750,50,0.4,20,11,1
5000,0.15,750,50,0.4,20,12,1
5000,0.15,750,50,0.4,20,13,1
5000,0.15,750,50,0.4,20,14,1
5000,0.15,750,50,0.4,20,15,1
5000,0.15,750,50,0.4,20,16,1
5000,0.15,750,50,0.4,20,17,1
5000,0.15,750,50,0.4,20,18,1
5000,0.15,750,50,0.4,20,19,1
5000,0.15,750,50,0.4,20,20,1
5000,0.2,1000,50,0.1,5,1,0
5000,0.2,1000,50,0.1,5,2,0
5000,0.2,1000,50,0.1,5,3,0
5000,0.2,1000,50,0.1,5,4,0
5000,0.2,1000,50,0.1,5,5,0
5000,0.2,1000,50,0.1,5,6,0
5000,0.2,1000,50,0.1,5,7,0
5000,0.2,1000,50,0.1,5,8,0
5000,0.2,1000,50,0.1,5,9,0
5000,0.2,1000,50,0.1,5,10,0
5000,0.2,1000,50,0.1,5,11,0
5000,0.2,1000,50,0.1,5,12,0
5000,0.2,1000,50,0.1,5,13,0
5000,0.2,1000,50,0.1,5,14,0
5000,0.2,1000,50,0.1,5,15,0
5000,0.2,1000,50,0.1,5,16,0
5000,0.2,1000,50,0.1,5,17,0
5000,0.2,1000,50,0.1,5,18,0
5000,0.2,1000,50,0.1,5,19,0
5000,0.2,1000,50,0.1,5,20,0
5000,0.2,1000,50,0.2,10,1,0
5000,0.2,1000,50,0.2,10,2,0
5000,0.2,1000,50,0.2,10,3,0
5000,0.2,1000,50,0.2,10,4,0
5000,0.2,1000,50,0.2,10,5,0
5000,0.2,1000,50,0.2,10,6,0
5000,0.2,1000,50,0.2,10,7,0
5000,0.2,1000,50,0.2,10,8,0
5000,0.2,1000,50,0.2,10,9,0
5000,0.2,1000,50,0.2,10,10,0
5000,0.2,1000,50,0.2,10,11,0
5000,0.2,1000,50,0.2,10,12,0
5000,0.2,1000,50,0.2,10,13,0
5000,0.2,1000,50,0.2,10,14,0
5000,0.2,1000,50,0.2,10,15,0
5000,0.2,1000,50,0.2,10,16,0
5000,0.2,1000,50,0.2,10,17,0
5000,0.2,1000,50,0.2,10,18,0
5000,0.2,1000,50,0.2,10,19,0
5000,0.2,1000,50,0.2,10,20,0
5000,0.2,1000,50,0.3,15,1,0.315
5000,0.2,1000,50,0.3,15,2,0.325
5000,0.2,1000,50,0.3,15,3,0.355
5000,0.2,1000,50,0.3,15,4,0.275
5000,0.2,1000,50,0.3,15,5,0.285
5000,0.2,1000,50,0.3,15,6,0.31
5000,0.2,1000,50,0.3,15,7,0.33
5000,0.2,1000,50,0.3,15,8,0.295
5000,0.2,1000,50,0.3,15,9,0.385
5000,0.2,1000,50,0.3,15,10,0.24
5000,0.2,1000,50,0.3,15,11,0.35
5000,0.2,1000,50,0.3,15,12,0.265
5000,0.2,1000,50,0.3,15,13,0.33
