"de_fraction","signal_frac","n_reps","stability_mean","stability_sd","frac_passes_tau70","frac_passes_tau50"
0.05,0.1,20,0.069,0.0124,0,0
0.05,0.2,20,0.9968,0.0029,1,1
0.05,0.3,20,1,0,1,1
0.05,0.4,20,1,0,1,1
0.08,0.1,20,0,0,0,0
0.08,0.2,20,0.9162,0.0166,1,1
0.08,0.3,20,1,0,1,1
0.08,0.4,20,1,0,1,1
0.1,0.1,20,0,0,0,0
0.1,0.2,20,0.6612,0.0352,0.05,1
0.1,0.3,20,0.999,0.0021,1,1
0.1,0.4,20,1,0,1,1
0.15,0.1,20,0,0,0,0
0.15,0.2,20,0.0018,0.0034,0,0
0.15,0.3,20,0.9398,0.0178,1,1
0.15,0.4,20,1,0,1,1
0.2,0.1,20,0,0,0,0
0.2,0.2,20,0,0,0,0
0.2,0.3,20,0.3035,0.0411,0,0
0.2,0.4,20,0.9968,0.0047,1,1
0.25,0.1,20,0,0,0,0
0.25,0.2,20,0,0,0,0
0.25,0.3,20,0.0015,0.0029,0,0
0.25,0.4,20,0.8315,0.0281,1,1
