"dataset","run_dir","tau_stability","cons_jaccard_min","cons_k_min","n_go_reps","n_wp_reps","n_go_stable","n_wp_stable","n_tier1","n_tier2","n_consensus_pairs","n_final","final_source"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.5,0.1,5,53,32,24,32,19,37,15,19,"tier1"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.5,0.15,5,53,32,24,32,12,44,7,12,"tier1"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.5,0.2,5,53,32,24,32,8,48,5,8,"tier1"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.6,0.1,5,53,32,23,32,19,36,15,19,"tier1"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.6,0.15,5,53,32,23,32,12,43,7,12,"tier1"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.6,0.2,5,53,32,23,32,8,47,5,8,"tier1"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.7,0.1,5,53,32,20,32,18,34,15,18,"tier1"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.7,0.15,5,53,32,20,32,11,41,7,11,"tier1"
"dataset_0","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",0.7,0.2,5,53,32,20,32,8,44,5,8,"tier1"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.5,0.1,5,49,9,14,9,0,23,0,23,"tier2"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.5,0.15,5,49,9,14,9,0,23,0,23,"tier2"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.5,0.2,5,49,9,14,9,0,23,0,23,"tier2"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.6,0.1,5,49,9,11,9,0,20,0,20,"tier2"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.6,0.15,5,49,9,11,9,0,20,0,20,"tier2"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.6,0.2,5,49,9,11,9,0,20,0,20,"tier2"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.7,0.1,5,49,9,11,9,0,20,0,20,"tier2"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.7,0.15,5,49,9,11,9,0,20,0,20,"tier2"
"dataset_1","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",0.7,0.2,5,49,9,11,9,0,20,0,20,"tier2"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.5,0.1,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.5,0.15,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.5,0.2,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.6,0.1,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.6,0.15,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.6,0.2,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.7,0.1,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.7,0.15,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_2","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",0.7,0.2,5,17,0,0,0,0,0,0,17,"candidates"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.5,0.1,5,31,17,10,17,8,19,5,8,"tier1"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.5,0.15,5,31,17,10,17,2,25,1,25,"tier2"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.5,0.2,5,31,17,10,17,2,25,1,25,"tier2"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.6,0.1,5,31,17,9,17,8,18,5,8,"tier1"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.6,0.15,5,31,17,9,17,2,24,1,24,"tier2"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.6,0.2,5,31,17,9,17,2,24,1,24,"tier2"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.7,0.1,5,31,17,7,17,8,16,5,8,"tier1"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.7,0.15,5,31,17,7,17,2,22,1,22,"tier2"
"dataset_3","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",0.7,0.2,5,31,17,7,17,2,22,1,22,"tier2"
