ID,Description,k,K,GeneRatio,BgRatio,Ek,enr_ratio,pvalue,p.adjust,Count,n_in_table,N_in_table,RichFactor,FoldEnrichment,zScore,qvalue,geneID
GO:0000070,mitotic sister chromatid segregation,31,106,31/441,106/6937,6.7018387553041014,4.6255962179730705,1.8896239527951398e-13,7.518378851431714e-10,31,441,6937,0.29245283018867924,4.600329439952081,9.7320394455758,6.550248309499781e-10,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDCA5/CDK1/CDT1/CENPF/DLGAP5/ESPL1/KIF15/KIF22/KIF23/KIF2C/KIF4A/MAD2L1/MYBL2/NCAPG2/NCAPH/NEK2/PLK1/PSRC1/RACGAP1/SMC4/TPX2/TRIP13/TTK/UBE2C/UHRF1
GO:0098813,nuclear chromosome segregation,40,172,40/441,172/6937,10.874681753889675,3.6782685604286978,2.4331323143791954e-13,7.518378851431714e-10,40,441,6937,0.23255813953488372,3.6581764488741233,9.197397524822987,6.550248309499781e-10,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC6/CDCA5/CDK1/CDT1/CENPF/DLGAP5/ESPL1/FANCD2/KIF15/KIF22/KIF23/KIF2C/KIF4A/MAD2L1/MYBL2/NCAPG2/NCAPH/NEK2/PLK1/PSRC1/PTTG1/RACGAP1/REC8/SMC4/TACC3/TOP2A/TPX2/TRIP13/TTK/UBE2C/UHRF1
GO:0048513,animal organ development,175,1726,175/441,1726/6937,109.12616690240452,1.6036483729563125,9.758208852366261e-13,2.0101910235874497e-9,175,441,6937,0.10139049826187717,1.5948886313892108,7.429273683002591,1.7513416940299447e-9,ACTA1/ACTC1/ADAMTS2/ADAMTS9/AGT/AKAP6/ANXA3/APLNR/APOA1/AQP1/ATP8B1/AURKA/AXIN2/BMP5/BRINP1/CALB1/CASQ1/CCL2/CCNA2/CCNB2/CDH1/CDH17/CDH3/CDK1/CDKN2B/CENPF/CLDN4/CYP1B1/CYP26A1/DACT2/DCN/DDIT4/DSG2/DSP/E2F1/EGR1/EGR2/ELN/ENG/EPAS1/ERBB3/FANCA/FANCD2/FGF18/FHL2/FLT1/FOS/FOXA1/FOXQ1/GABRB2/GAS6/GATA3/GATA6/GBX2/GDF10/GDF5/GFRA1/GJB2/GPC1/GREB1L/GRHL2/GRIA1/H2AX/HAND1/HAND2/HMGB2/HNF1B/HOXB8/HPGD/HSPB7/IGF2/IL7R/IQGAP3/IRF6/IRX4/ISL1/ITGA2/ITGB3/ITGB4/ITGB6/KCNK3/KIT/KLF5/KRT17/KRT19/KRT7/KRT8/LAMC3/LDB3/LMX1A/MAOB/MB/MBP/MCM2/MET/MFAP5/MME/MMP9/MYH11/MYH6/MYL3/NKX3-1/NPPA/NPPB/NR5A2/NRXN1/NTRK3/ONECUT1/OXTR/PAX3/PAX6/PDGFA/PER2/PERP/PITX2/PKHD1/PKP2/PLK4/PLN/POLE/POU3F2/PPARA/PROX1/PTGER4/PTGS2/PTHLH/PTK2B/PTX3/REC8/RELN/RGS4/RIPK4/RUNX2/S100A4/SCEL/SEMA3E/SEMA6D/SERPINE2/SFN/SGMS2/SHH/SLC6A17/SPP1/STC1/TACC3/TBX2/TBX20/TBX3/TBX5/TCAP/TFAP2A/TFAP2C/TGFA/THRB/TIMELESS/TLR3/TMEM176B/TMOD1/TNNC1/TNNI1/TNNI3/USP2/VCAM1/VTN/WDR62/WNT10A/WNT11/WNT2/WNT3A/WNT6/WNT7A/WNT7B/ZIC1/ZIC2/ZIC3
GO:0140014,mitotic nuclear division,37,158,37/441,158/6937,9.98953323903819,3.7038767592671253,1.6086794344086714e-12,2.4854097261613975e-9,37,441,6937,0.23417721518987342,3.683644765923247,8.890405768129085,2.165367186052725e-9,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDC25C/CDCA5/CDK1/CDT1/CENPF/DLGAP5/ESPL1/IGF2/KIF15/KIF22/KIF23/KIF2C/KIF4A/MAD2L1/MKI67/MYBL2/NCAPG2/NCAPH/NEK2/PKMYT1/PLK1/PSRC1/RACGAP1/SMC4/TGFA/TPX2/TRIP13/TTK/UBE2C/UHRF1
GO:0000819,sister chromatid segregation,34,137,34/441,137/6937,8.661810466760961,3.9252763761655154,2.3084086839422024e-12,2.853193133352562e-9,34,441,6937,0.24817518248175183,3.9038350133240645,8.943934160838003,2.485791667024077e-9,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDC6/CDCA5/CDK1/CDT1/CENPF/DLGAP5/ESPL1/KIF15/KIF22/KIF23/KIF2C/KIF4A/MAD2L1/MYBL2/NCAPG2/NCAPH/NEK2/PLK1/PSRC1/RACGAP1/SMC4/TACC3/TOP2A/TPX2/TRIP13/TTK/UBE2C/UHRF1
GO:0000280,nuclear division,45,232,45/441,232/6937,14.668175388967468,3.067866234667901,6.868021627264784e-12,6.479383975362983e-9,45,441,6937,0.1939655172413793,3.0511083743842367,8.279117341776882,5.645043269286604e-9,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC25C/CDCA5/CDK1/CDT1/CENPF/DLGAP5/ESPL1/FANCA/FANCD2/HSPA2/IGF2/KIF15/KIF22/KIF23/KIF2C/KIF4A/MAD2L1/MKI67/MYBL2/NCAPG2/NCAPH/NEK2/PKMYT1/PLK1/PSRC1/PTTG1/RACGAP1/REC8/SMC4/TGFA/TOP2A/TPX2/TRIP13/TTK/UBE2C/UHRF1
GO:0009653,anatomical structure morphogenesis,159,1547,159/441,1547/6937,97.80891089108911,1.6256187555042667,7.33910806270888e-12,6.479383975362983e-9,159,441,6937,0.10277957336780866,1.616739003293625,7.169733574470933,5.645043269286604e-9,ACTA1/ACTC1/ADAMTS9/AGT/ANGPTL4/ANO1/ANOS1/ANXA3/APLNR/APOA1/APOLD1/AQP1/ARHGEF26/ARHGEF28/ATP8B1/AURKA/AXIN2/BMP5/C3/CA2/CACNG7/CALB1/CASQ1/CCL2/CD9/CDH1/CDH17/CDH3/CDH6/CLDN4/CLU/CRABP2/CSRP1/CYP1B1/DACT2/DCDC2/DCN/DOCK2/DPYSL5/DSP/E2F2/EGR2/ELN/ENG/EPAS1/F11R/F3/FANCD2/FAP/FGD4/FGF18/FHL2/FLT1/FOXA1/FOXQ1/GAP43/GATA3/GATA6/GBX2/GDF5/GPC1/GREB1L/GRHL2/HAND1/HAND2/HHEX/HMOX1/HNF1B/HNF4A/HOXB8/HPGD/ID1/IGF2/IL7R/IRX4/ISL1/ITGA2/ITGB3/ITGB4/ITGB6/KIF5C/KIT/KLF5/KRT17/KRT18/KRT19/KRT8/LAMB3/LAMC3/LDB3/LMX1A/MBP/MET/MFAP5/MMP9/MPZL2/MYH11/MYH6/MYL3/NKX3-1/NPPA/NPPB/NR5A2/NRXN1/ONECUT1/PAX3/PAX6/PDGFA/PERP/PGM5/PITX2/PKHD1/PKP2/PLN/POSTN/POU3F2/PPARA/PROX1/PTGS2/PTK2B/PTPRZ1/RAB25/RELN/RIPK4/RUNX2/SEMA3E/SEMA6D/SERPINE2/SHH/SLC1A3/SPP1/STC1/TBX2/TBX20/TBX3/TBX5/TCAP/TFAP2A/TGFA/THRB/TIMELESS/TLR3/TMEM176B/TMOD1/TNFSF14/TNNC1/TNNI1/TNNI3/VIL1/VTN/WNT10A/WNT11/WNT2/WNT3A/WNT6/WNT7A/WNT7B/ZIC1/ZIC3
GO:0009888,tissue development,130,1180,130/441,1180/6937,74.6053748231966,1.7425018010844426,1.3319365660623777e-11,1.0289209972831868e-8,130,441,6937,0.11016949152542373,1.7329835889157923,7.200919715663064,8.96428359922245e-9,ACTA1/ACTC1/ADAMTS9/AGT/AKAP6/APLNR/APOLD1/AQP1/ARHGEF26/AXIN2/BMP5/BNC1/C3/CA2/CALB1/CASQ1/CDH3/CDK1/CDKN2B/CENPF/CLDN4/CRABP2/CSRP1/CYP1B1/DACT2/DSG2/DSP/EGR1/EGR2/ELN/ENG/EPAS1/ERBB3/F11R/F2RL1/FGF18/FHL2/FOS/FOXA1/FOXQ1/GAS6/GATA3/GATA6/GBX2/GDF5/GJB2/GPC1/GREB1L/GRHL2/HAND1/HAND2/HNF1B/ICAM1/IGF2/IQGAP3/IRF6/ISL1/ITGA2/ITGB3/ITGB4/ITGB6/KLF5/KRT17/KRT19/KRT7/LAMB3/LAMC2/MET/MMP9/MYH11/MYH6/MYL3/NKX3-1/NPPA/NPPB/NR5A2/ONECUT1/PAX6/PDGFA/PERP/PGM5/PITX2/PKHD1/PKP2/PLK4/PLN/POSTN/POU3F2/PPARA/PROX1/PTGS2/PTHLH/PTK2B/RAB25/RGS4/RIPK4/RUNX2/S100A4/SCEL/SEMA3E/SEMA6D/SERPINE2/SFN/SGMS2/SHH/SPP1/STC1/TBX2/TBX20/TBX3/TBX5/TCAP/TFAP2A/THRB/TIMELESS/TJP2/TMOD1/TNNC1/TNNI1/TNNI3/VIL1/VTN/WNT10A/WNT11/WNT2/WNT3A/WNT6/WNT7A/WNT7B/ZIC3
GO:0032501,multicellular organismal process,291,3541,291/441,3541/6937,223.87934936350777,1.2998072436216972,4.168009718416168e-11,2.862033339979102e-8,291,441,6937,0.08218017509178198,1.2927071986659673,6.485797049157393,2.4934935332980934e-8,ACTA1/ACTC1/ADAMTS2/ADAMTS9/ADRA2A/AGT/AKAP6/AKR1D1/ALDH1A1/AMBP/ANGPTL4/ANO1/ANOS1/ANXA3/APLNR/APOA1/APOLD1/AQP1/ARHGEF28/ATP8B1/AURKA/AXIN2/BIRC5/BMP5/BRINP1/BSCL2/C3/C6/CACNG7/CALB1/CASQ1/CCL2/CCNB1/CCNB2/CD9/CDC20/CDH1/CDH17/CDH3/CDK1/CDKN2B/CENPF/CLDN4/CLU/CNN1/CORIN/CRABP2/CSRP1/CTNNA3/CXCL1/CXCL6/CYP1B1/CYP24A1/CYP26A1/DACT2/DCDC2/DCN/DDIT4/DHFR/DIO2/DOCK2/DPYSL5/DSC2/DSC3/DSG2/DSP/DTX1/E2F1/E2F2/EGR1/EGR2/ELN/ENG/EPAS1/ERBB3/EXO1/F11R/F13A1/F2RL1/F3/FANCA/FANCD2/FAP/FBXO32/FEN1/FGA/FGB/FGF18/FGFR4/FGG/FHL2/FLT1/FOS/FOXA1/FOXQ1/GABRA3/GABRB2/GAP43/GAS6/GATA3/GATA6/GATM/GBP1/GBX2/GCH1/GDF10/GDF5/GFRA1/GJA3/GJB2/GPC1/GREB1L/GRHL2/GRIA1/H2AX/HAND1/HAND2/HHEX/HMGB2/HMOX1/HNF1B/HNF4A/HNMT/HOXB8/HPGD/HRH1/HSPB7/HTR1B/HTR1D/ICAM1/ID1/IGF2/IL11/IL21R/IL7R/IQGAP3/IRAK1/IRF1/IRF6/IRX4/ISL1/ITGA2/ITGB3/ITGB4/ITGB6/ITPR3/KCNH2/KCNK3/KCNMA1/KIF5C/KIFC3/KIT/KLF5/KLK6/KRT17/KRT19/KRT7/KRT8/LAMB3/LAMC3/LDB3/LEFTY2/LIPG/LMX1A/LOXL1/MAOB/MAP3K8/MB/MBP/MET/MFAP5/MME/MMP9/MYH11/MYH6/MYL3/MYO5B/NCAPG2/NEK2/NKX3-1/NPPA/NPPB/NR2F1/NR5A2/NREP/NRXN1/NTRK3/OCLN/ONECUT1/OXTR/PAX3/PAX6/PDGFA/PER2/PERP/PITX2/PKHD1/PKP2/PLK4/PLN/POLE/POSTN/POU3F2/PPARA/PREX1/PROX1/PTGER4/PTGES/PTGS2/PTHLH/PTK2B/PTPRT/PTPRZ1/PTX3/RAB25/RACGAP1/RASGRP1/RASSF5/REC8/RELN/RGS16/RGS4/RRM2/RUNX2/RYR3/S1PR5/SCEL/SEMA3E/SEMA6D/SEPTIN5/SERPINA1/SERPINA3/SERPINE2/SFN/SGMS2/SHH/SLC1A3/SLC22A3/SLC2A3/SLC4A4/SLC6A17/SPINK1/SPOCK1/SPP1/ST6GALNAC1/STC1/STMN2/STXBP2/TACC3/TBX2/TBX20/TBX3/TBX5/TCAP/TF/TFAP2A/TFAP2C/TGFA/THRB/TIMELESS/TJP2/TLR3/TMEM176B/TMOD1/TNFSF14/TNFSF9/TNNC1/TNNI1/TNNI3/TOP2A/TRDN/TRH/UBE2J1/USP2/VCAM1/VCAN/VIL1/VTCN1/VTN/WDR62/WNT10A/WNT11/WNT2/WNT3A/WNT6/WNT7A/WNT7B/ZIC1/ZIC2/ZIC3/ZIC5
GO:0003008,system process,115,1030,115/441,1030/6937,65.12164073550213,1.7659260224582436,1.4439057170993423e-10,8.923337331673935e-8,115,441,6937,0.11165048543689321,1.756279858221606,6.852806829788659,7.774292361013828e-8,ACTA1/ACTC1/ADRA2A/AGT/AKAP6/ANO1/APOA1/AQP1/ATP8B1/BIRC5/BRINP1/CACNG7/CALB1/CASQ1/CCL2/CDH3/CLDN4/CNN1/CORIN/CTNNA3/DCDC2/DSC2/DSG2/DSP/EGR2/ELN/ENG/EPAS1/F11R/F2RL1/FBXO32/FEN1/FGA/FGB/FGG/FOS/GAS6/GATA3/GATA6/GATM/GCH1/GJA3/GJB2/GRIA1/HAND2/HMOX1/HOXB8/HRH1/HSPB7/HTR1B/HTR1D/ISL1/ITGA2/ITPR3/KCNH2/KCNK3/KCNMA1/KIFC3/KIT/LAMC3/LMX1A/MBP/MET/MME/MYH11/MYH6/MYL3/MYO5B/NKX3-1/NPPA/NPPB/NRXN1/OCLN/OXTR/PAX3/PAX6/PER2/PKP2/PLN/POSTN/PPARA/PTGES/PTGS2/PTK2B/PTPRZ1/RELN/RGS16/RGS4/RYR3/SERPINA3/SERPINE2/SLC1A3/SLC22A3/SLC2A3/SLC4A4/SLC6A17/SPINK1/SPP1/STC1/TBX2/TBX20/TBX3/TBX5/TCAP/TFAP2A/THRB/TJP2/TMOD1/TNNC1/TNNI1/TNNI3/TRDN/VIL1/WNT7A/ZIC2
