ID,Description,k,K,GeneRatio,BgRatio,Ek,enr_ratio,pvalue,p.adjust,Count,n_in_table,N_in_table,RichFactor,FoldEnrichment,zScore,qvalue,geneID
WP2446,Retinoblastoma gene in cancer,23,87,23/447,87/7070,5.5005657708628,4.181388053176991,2.198888021460432e-9,1.1478195472023455e-6,23,447,7070,0.26436781609195403,4.181388053176991,7.756407650090271,1.039263917511299e-6,CCNA2/CCNB1/CCNB2/CCNE2/CDC45/CDK1/CDT1/DHFR/E2F1/E2F2/HMGB2/KIF4A/MCM4/MCM6/MCM7/ORC1/PLK4/POLE/RBP1/RFC3/RRM2/TOP2A/TTK
WP179,Cell cycle,26,117,26/447,117/7070,7.3973125884016975,3.5147899577429778,1.087303256924371e-8,2.8378615005726083e-6,26,447,7070,0.2222222222222222,3.5147899577429778,7.125476440457568,2.5694692755739086e-6,BUB1/CCNA2/CCNB1/CCNB2/CCNE2/CDC20/CDC25C/CDC45/CDC6/CDK1/CDKN2B/DBF4/E2F1/E2F2/ESPL1/MCM2/MCM4/MCM5/MCM6/MCM7/ORC1/PKMYT1/PLK1/PTTG1/SFN/TTK
WP2806,Complement system,18,68,18/447,68/7070,4.299292786421499,4.186735096723253,1.2376007296228776e-7,2.153425269543807e-5,18,447,7070,0.2647058823529412,4.186735096723253,6.859536027753997,1.9497639564935862e-5,ALB/APOA1/C3/C6/CFH/CFI/DCN/F13A1/FGA/FGB/FGG/ICAM1/ITGA2/ITGB3/PTX3/SELE/SPP1/VTN
WP3624,Lung fibrosis,13,42,13/447,42/7070,2.6554455445544556,4.895600298284862,1.0192235163571136e-6,1.3300866888460333e-4,13,447,7070,0.30952380952380953,4.8956002982848625,6.577919193355851,1.204293049590379e-4,CCL2/CXCL2/CYSLTR2/DSP/ELN/HMOX1/MMP9/MT2A/PDGFA/PTX3/SERPINA1/SPP1/TGFA
WP466,DNA replication,12,41,12/447,41/7070,2.5922206506364924,4.629235554100507,5.15937007214199e-6,5.386382355316237e-4,12,447,7070,0.2926829268292683,4.629235554100507,6.054324413837028,4.876962447140534e-4,CDC45/CDC6/CDT1/DBF4/MCM2/MCM4/MCM5/MCM6/MCM7/ORC1/POLE/RFC3
WP45,G1 to S cell cycle control,14,62,14/447,62/7070,3.91994342291372,3.5714801183517357,2.332919121589035e-5,0.0020296396357824603,14,447,7070,0.22580645161290322,3.5714801183517357,5.283081907461981,0.0018376854133218892,CCNB1/CCNE2/CDC45/CDK1/CDKN2B/E2F1/E2F2/MCM2/MCM4/MCM5/MCM6/MCM7/ORC1/POLE
WP5115,Network map of SARS CoV 2 signaling,28,194,28/447,194/7070,12.265629420084865,2.282801725132037,3.00122253734919e-5,0.0022380545207089674,28,447,7070,0.14432989690721648,2.282801725132037,4.7064975953485835,0.002026389352285393,AGT/ALB/APOA1/BIRC5/CCL2/CCNB1/CCNB2/CDK1/CFH/CFI/CXCL1/CXCL2/CXCL3/CXCL5/CXCL6/DDIT4/EGR1/FGA/FGB/FGG/FOS/GTSE1/IRAK1/PTGS2/RRM2/SERPINA5/STEAP3/TF
WP5390,Pancreatic cancer subtypes,8,22,8/447,22/7070,1.390947666195191,5.751474476306691,3.4847031528966436e-5,0.00227376880726506,8,447,7070,0.36363636363636365,5.751474476306691,5.798453360232999,0.002058725941645517,ANXA8L1/CDH17/GPR87/KRT17/KRT7/SCEL/ST6GALNAC1/TNS4
WP1591,Heart development,11,42,11/447,42/7070,2.6554455445544556,4.142431021625653,4.0743556015443525e-5,0.0023631262488957245,11,447,7070,0.2619047619047619,4.142431021625653,5.306154571363238,0.002139632356834403,ERBB3/GATA6/HAND1/HAND2/IRX4/ISL1/PITX2/SHH/TBX2/TBX20/TBX5
WP383,Striated muscle contraction pathway,9,30,9/447,30/7070,1.8967468175388968,4.74496644295302,6.447098012620471e-5,0.003365385162587886,9,447,7070,0.3,4.74496644295302,5.339832117677127,0.0030471021133332546,ACTA1/ACTC1/MYH6/MYL3/TCAP/TMOD1/TNNC1/TNNI1/TNNI3
WP4240,Regulation of sister chromatid separation at the metaphase anaphase transition,6,14,6/447,14/7070,0.8851485148514852,6.778523489932886,1.1990591890350797e-4,0.00569008087887556,6,447,7070,0.42857142857142855,6.778523489932886,5.622209047342262,0.005151938525136371,BUB1/BUB1B/CDC20/ESPL1/MAD2L1/PTTG1
