original_term_id,kept_term_id,pair_similarity
GO:0140014,GO:0000070,0.775
GO:0000819,GO:0000070,0.72
GO:0010965,GO:0000070,0.716
GO:0051306,GO:0000070,0.895
GO:0033048,GO:0000070,0.627
GO:0033047,GO:0000070,0.737
GO:0007091,GO:0000070,0.613
GO:0007080,GO:0000070,0.779
GO:0007062,GO:0000070,0.668
GO:1901970,GO:0000070,0.649
GO:0007059,GO:0098813,0.63
GO:0051304,GO:0098813,0.731
GO:0044770,GO:0098813,0.6
GO:0051310,GO:0098813,0.61
GO:0008608,GO:0098813,0.874
GO:0051988,GO:0098813,0.621
GO:0048285,GO:0000280,0.833
GO:0051783,GO:0000280,0.661
GO:0045839,GO:0007088,0.784
GO:0045840,GO:0007088,0.807
GO:0007052,GO:1902850,0.863
GO:0090307,GO:1902850,0.644
GO:0007051,GO:1902850,0.722
GO:0000226,GO:1902850,0.708
GO:0051983,GO:1905818,0.65
GO:1905819,GO:1905818,0.762
GO:1905820,GO:1905818,0.812
GO:1901987,GO:1905818,0.605
GO:1903522,GO:0044057,0.759
GO:0008016,GO:0044057,0.619
GO:0090257,GO:0044057,0.803
GO:0006937,GO:0044057,0.677
GO:0098801,GO:0044057,0.803
GO:0060537,GO:0014706,0.825
GO:0048738,GO:0014706,0.604
GO:0003205,GO:0003206,0.75
GO:0003208,GO:0003206,0.869
GO:0003007,GO:0003206,0.86
GO:0003231,GO:0003206,0.649
GO:0055010,GO:0003206,0.617
GO:0003209,GO:0003206,0.869
GO:0003230,GO:0003206,0.649
GO:0060411,GO:0003206,0.875
GO:0042476,GO:0003206,0.614
GO:0003215,GO:0003206,0.818
GO:0003279,GO:0003206,0.663
GO:0003013,GO:0008015,0.812
GO:0060047,GO:0008015,0.735
GO:0003015,GO:0008015,0.639
GO:0003073,GO:0008015,0.627
GO:0003018,GO:0008015,0.639
GO:0008217,GO:0008015,0.691
GO:0090068,GO:0045787,0.8
GO:0045786,GO:0045787,0.602
GO:0007346,GO:0045787,0.613
GO:0045931,GO:0045787,0.796
