ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0000070,mitotic sister chromatid segregation,7.518378851431714e-10,31,106,4.6255962179730705,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDCA5/CDK1/CDT1/CENPF/DLGAP5/ESPL1/KIF15/KIF22/KIF23/KIF2C/KIF4A/MAD2L1/MYBL2/NCAPG2/NCAPH/NEK2/PLK1/PSRC1/RACGAP1/SMC4/TPX2/TRIP13/TTK/UBE2C/UHRF1
GO:0098813,nuclear chromosome segregation,7.518378851431714e-10,40,172,3.6782685604286978,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC6/CDCA5/CDK1/CDT1/CENPF/DLGAP5/ESPL1/FANCD2/KIF15/KIF22/KIF23/KIF2C/KIF4A/MAD2L1/MYBL2/NCAPG2/NCAPH/NEK2/PLK1/PSRC1/PTTG1/RACGAP1/REC8/SMC4/TACC3/TOP2A/TPX2/TRIP13/TTK/UBE2C/UHRF1
GO:0000280,nuclear division,6.4793839753629834e-9,45,232,3.067866234667901,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC25C/CDCA5/CDK1/CDT1/CENPF/DLGAP5/ESPL1/FANCA/FANCD2/HSPA2/IGF2/KIF15/KIF22/KIF23/KIF2C/KIF4A/MAD2L1/MKI67/MYBL2/NCAPG2/NCAPH/NEK2/PKMYT1/PLK1/PSRC1/PTTG1/RACGAP1/REC8/SMC4/TGFA/TOP2A/TPX2/TRIP13/TTK/UBE2C/UHRF1
GO:0007088,regulation of mitotic nuclear division,3.747576591652182e-7,21,70,4.74496644295302,AURKA/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDC25C/CENPF/DLGAP5/ESPL1/IGF2/MAD2L1/MKI67/NEK2/PKMYT1/PLK1/TGFA/TRIP13/TTK/UBE2C
GO:1902850,microtubule cytoskeleton organization involved in mitosis,3.747576591652182e-7,25,97,4.076431652021495,AURKA/AURKB/BIRC5/CCNB1/CDC20/CDK1/CENPA/DLGAP5/ESPL1/KIF15/KIF23/KIF4A/MAD2L1/MYBL2/NEK2/PAX6/PKHD1/PLK1/PSRC1/RACGAP1/TACC3/TPX2/TTK/UHRF1/WDR62
GO:1905818,regulation of chromosome separation,3.8183664719700625e-7,17,46,5.845248516681257,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CENPF/DLGAP5/ESPL1/MAD2L1/NCAPG2/NCAPH/PLK1/SMC4/TRIP13/TTK/UBE2C
GO:0044057,regulation of system process,4.430301442964584e-7,55,369,2.357481069217851,ADRA2A/AGT/AKAP6/APOA1/AQP1/CASQ1/CNN1/CORIN/CTNNA3/DSC2/DSG2/DSP/EGR2/EPAS1/F2RL1/FBXO32/FGA/FGB/FGG/GAS6/GCH1/GRIA1/HAND2/HRH1/HSPB7/ISL1/ITGA2/KCNH2/KIT/MYH6/MYL3/NKX3-1/NPPA/NPPB/NRXN1/OXTR/PER2/PKP2/PLN/PPARA/PTGS2/PTK2B/RELN/RGS4/SPINK1/SPP1/STC1/TBX2/TBX5/THRB/TNNC1/TNNI1/TNNI3/TRDN/WNT7A
GO:0014706,striated muscle tissue development,1.3110971265838911e-6,46,290,2.508832831906194,ACTA1/ACTC1/ADAMTS9/AKAP6/BMP5/CASQ1/CDK1/CENPF/DSG2/DSP/EGR1/EGR2/ELN/ENG/ERBB3/FHL2/FOS/GATA6/GPC1/HAND1/IGF2/ISL1/KLF5/MYH11/MYH6/MYL3/NPPA/NPPB/PGM5/PKP2/PLN/PPARA/PROX1/RGS4/SHH/TBX2/TBX20/TBX3/TBX5/TCAP/TNNC1/TNNI1/TNNI3/WNT2/WNT3A/ZIC3
GO:0003206,cardiac chamber morphogenesis,4.668539688740115e-6,24,104,3.649974186886938,APLNR/BMP5/DSP/ENG/FHL2/GATA3/GATA6/GRHL2/HAND1/HAND2/ISL1/MYH6/MYL3/PKP2/PROX1/TBX2/TBX20/TBX3/TBX5/TNNC1/TNNI1/TNNI3/WNT11/WNT2
GO:0008015,blood circulation,4.668539688740115e-6,50,345,2.2922543202671597,ACTC1/ADRA2A/AGT/CORIN/CTNNA3/DSC2/DSG2/DSP/ELN/ENG/EPAS1/F2RL1/FGA/FGB/FGG/GAS6/GATA6/GCH1/HRH1/HSPB7/HTR1B/HTR1D/ISL1/KCNH2/KCNK3/KCNMA1/MYH6/MYL3/NPPA/NPPB/OCLN/OXTR/PER2/PKP2/PLN/POSTN/PPARA/PTGS2/RGS4/STC1/TBX2/TBX20/TBX5/TCAP/THRB/TJP2/TNNC1/TNNI1/TNNI3/TRDN
GO:0045787,positive regulation of cell cycle,1.2085985748357917e-5,35,208,2.661439511271726,AURKA/AURKB/BIRC5/BUB1/CCNB1/CCNE2/CDC20/CDC25C/CDC6/CDCA5/CDK1/DBF4/DLGAP5/ESPL1/FEN1/FOXA1/HSPA2/IGF2/KIF23/MAD2L1/NCAPG2/NCAPH/NKX3-1/PLK4/PROX1/PSRC1/RACGAP1/RRM2/SMC4/TBX2/TBX20/TBX3/TGFA/UBE2C/USP2
