ID,Description,p.adjust,k,cluster,rank_in_cluster,cluster_size
GO:0000070,mitotic sister chromatid segregation,7.518378851431714e-10,31,1,1,1
GO:0098813,nuclear chromosome segregation,7.518378851431714e-10,40,2,1,1
GO:0000280,nuclear division,6.479383975362983e-9,45,3,1,1
GO:0007088,regulation of mitotic nuclear division,3.747576591652182e-7,21,4,1,1
GO:1902850,microtubule cytoskeleton organization involved in mitosis,3.747576591652182e-7,25,5,1,1
GO:1905818,regulation of chromosome separation,3.8183664719700625e-7,17,6,1,1
GO:0044057,regulation of system process,4.430301442964584e-7,55,7,1,1
GO:0014706,striated muscle tissue development,1.3110971265838911e-6,46,8,1,1
GO:0003206,cardiac chamber morphogenesis,4.668539688740115e-6,24,9,1,1
GO:0008015,blood circulation,4.668539688740115e-6,50,10,1,1
GO:0045787,positive regulation of cell cycle,1.2085985748357917e-5,35,11,1,1
GO:0051276,chromosome organization,1.2085985748357917e-5,48,12,1,1
GO:0007094,mitotic spindle assembly checkpoint signaling,1.6090004511094267e-5,11,13,1,1
GO:0031577,spindle checkpoint signaling,1.6090004511094267e-5,11,14,1,1
GO:0033046,negative regulation of sister chromatid segregation,2.2834309648690456e-5,11,15,1,1
GO:0034113,heterotypic cell-cell adhesion,3.2060304431733614e-5,13,16,1,1
GO:0051985,negative regulation of chromosome segregation,3.355563420707683e-5,11,17,1,1
GO:0055008,cardiac muscle tissue morphogenesis,4.3789819335761086e-5,15,18,1,1
GO:0003228,atrial cardiac muscle tissue development,4.38831544227898e-5,9,19,1,1
GO:0051301,cell division,7.952218065721419e-5,49,20,1,1
GO:0003229,ventricular cardiac muscle tissue development,8.782886287764644e-5,15,21,1,1
GO:0003012,muscle system process,9.280360167848615e-5,41,22,1,1
GO:0140694,membraneless organelle assembly,1.3834632389873148e-4,35,23,1,1
GO:1901988,negative regulation of cell cycle phase transition,2.48320231996952e-4,26,24,1,1
GO:0045132,meiotic chromosome segregation,2.7439137808211945e-4,12,25,1,1
GO:0051784,negative regulation of nuclear division,2.966369631717534e-4,11,26,1,1
GO:0010927,cellular component assembly involved in morphogenesis,3.4013251306540824e-4,17,27,1,1
GO:0055002,striated muscle cell development,4.454855724875265e-4,21,28,1,1
GO:0006270,DNA replication initiation,5.134484528118593e-4,10,29,1,1
GO:0009612,response to mechanical stimulus,5.540011746686861e-4,25,30,1,1
GO:0044772,mitotic cell cycle phase transition,8.009710776371721e-4,37,31,1,1
GO:0009611,response to wounding,8.163047319182455e-4,45,32,1,1
GO:0050000,chromosome localization,9.968367666564506e-4,14,33,1,1
GO:0035136,forelimb morphogenesis,0.00162033110068199,8,34,1,1
GO:0061982,meiosis I cell cycle process,0.00162033110068199,14,35,1,1
GO:0007389,pattern specification process,0.00197004168662924,36,36,1,1
GO:0051225,spindle assembly,0.00216126041908407,14,37,1,1
GO:0090329,regulation of DNA-templated DNA replication,0.00216243663267415,8,38,1,1
GO:0007517,muscle organ development,0.00291244734882755,30,39,1,1
GO:2000352,negative regulation of endothelial cell apoptotic process,0.00294736682849331,8,40,1,1
GO:0007596,blood coagulation,0.00370969944830456,23,41,1,1
GO:0045216,cell-cell junction organization,0.00400938877209918,23,42,1,1
GO:0044839,cell cycle G2/M phase transition,0.00405584149597198,17,43,1,1
GO:0050817,coagulation,0.00432726809626705,23,44,1,1
GO:0043271,negative regulation of monoatomic ion transport,0.00434256123949896,14,45,1,1
GO:0055013,cardiac muscle cell development,0.00457756484486026,13,46,1,1
GO:0006959,humoral immune response,0.00473829682280454,18,47,1,1
GO:0007599,hemostasis,0.00502154138589469,23,48,1,1
GO:0002064,epithelial cell development,0.00551432580281352,22,49,1,1
GO:0050673,epithelial cell proliferation,0.00555093842922025,36,50,1,1
GO:0031032,actomyosin structure organization,0.00602360362165095,22,51,1,1
GO:1901992,positive regulation of mitotic cell cycle phase transition,0.0068862136082094,13,52,1,1
GO:0007565,female pregnancy,0.00694686503075144,18,53,1,1
GO:0060420,regulation of heart growth,0.00730066258944,11,54,1,1
GO:0045103,intermediate filament-based process,0.00766856709853549,8,55,1,1
GO:0045104,intermediate filament cytoskeleton organization,0.00766856709853549,8,56,1,1
GO:0002009,morphogenesis of an epithelium,0.00852887118105075,40,57,1,1
GO:0033260,nuclear DNA replication,0.0093251145838019,8,58,1,1
GO:0048146,positive regulation of fibroblast proliferation,0.00937228509359091,10,59,1,1
GO:0040017,positive regulation of locomotion,0.00937651202746598,43,60,1,1
GO:0002027,regulation of heart rate,0.01029046015293678,13,61,1,1
GO:0072132,mesenchyme morphogenesis,0.01047640845455606,11,62,1,1
GO:0072577,endothelial cell apoptotic process,0.01065070728091498,10,63,1,1
GO:2000147,positive regulation of cell motility,0.01155219847783865,42,64,1,1
GO:0030198,extracellular matrix organization,0.01181314500552307,23,65,1,1
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,0.01310027752999793,7,66,1,1
GO:0046622,positive regulation of organ growth,0.01439809247988228,9,67,1,1
GO:0001709,cell fate determination,0.0165792895349236,7,68,1,1
GO:0051968,"positive regulation of synaptic transmission, glutamatergic",0.0165792895349236,7,69,1,1
GO:0035296,regulation of tube diameter,0.01661464981436957,16,70,1,1
GO:0097746,blood vessel diameter maintenance,0.01661464981436957,16,71,1,1
GO:0006935,chemotaxis,0.01696470000965827,31,72,1,1
GO:1903115,regulation of actin filament-based movement,0.01888729426570919,8,73,1,1
GO:0001947,heart looping,0.01888729426570919,10,74,1,1
GO:1900024,regulation of substrate adhesion-dependent cell spreading,0.01942846577074012,9,75,1,1
GO:0007600,sensory perception,0.01951086763146161,28,76,1,1
GO:0030195,negative regulation of blood coagulation,0.02145965304012413,8,77,1,1
GO:0006942,regulation of striated muscle contraction,0.02145965304012413,12,78,1,1
GO:0061041,regulation of wound healing,0.0217435177882032,14,79,1,1
GO:0032526,response to retinoic acid,0.0229076990698714,13,80,1,1
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.0229076990698714,18,81,1,1
GO:0061371,determination of heart left/right asymmetry,0.02333290888315405,10,82,1,1
GO:0071496,cellular response to external stimulus,0.02714012015542372,11,83,1,1
GO:0043583,ear development,0.02738000787045355,19,84,1,1
GO:0010817,regulation of hormone levels,0.02752351431583559,35,85,1,1
GO:0086004,regulation of cardiac muscle cell contraction,0.02812558806821109,7,86,1,1
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,0.02840330028986975,9,87,1,1
GO:0003197,endocardial cushion development,0.02840330028986975,9,88,1,1
GO:0008544,epidermis development,0.02840330028986975,24,89,1,1
GO:0048562,embryonic organ morphogenesis,0.02887843425485237,23,90,1,1
GO:0050766,positive regulation of phagocytosis,0.02908978710939225,8,91,1,1
GO:0050819,negative regulation of coagulation,0.02908978710939225,8,92,1,1
GO:0071385,cellular response to glucocorticoid stimulus,0.03217447897215891,9,93,1,1
GO:0060706,cell differentiation involved in embryonic placenta development,0.03231562889427814,5,94,1,1
GO:0001525,angiogenesis,0.03440676950419871,38,95,1,1
GO:0001763,morphogenesis of a branching structure,0.03492606927437294,20,96,1,1
GO:0051781,positive regulation of cell division,0.04142506952583007,10,97,1,1
GO:0051338,regulation of transferase activity,0.04142506952583007,33,98,1,1
GO:0030324,lung development,0.04151700003700425,19,99,1,1
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,0.04584881904069977,10,100,1,1
