bootstrap,WP2446,WP2806,WP3624,WP466,WP5390,WP1591,WP383,WP2361,WP2406,WP3617,WP1533,WP2848,WP2431,WP5117,WP4136,WP558,WP2064,WP4016,WP5095,WP5055
b1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
b5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
b9,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
b10,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1
b11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
b12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b15,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1
b16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
b18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
b19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
b24,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
b25,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
b26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b27,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
b28,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
b29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
b31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
b32,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
b33,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
b34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
b35,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
b36,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
b37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
