ID,Description,p.adjust,k,stability,selected,collection,consensus,keep_final,tier
GO:0006270,DNA replication initiation,5.134484528118593e-4,10,0.86,TRUE,GO,TRUE,TRUE,Tier 1 (stable + consensus)
WP466,DNA replication,5.386382355316237e-4,12,0.995,TRUE,WP,TRUE,TRUE,Tier 1 (stable + consensus)
WP5095,Overview of proinflammatory and profibrotic mediators,0.02798339154073102,9,0.94,TRUE,WP,TRUE,TRUE,Tier 1 (stable + consensus)
WP558,Complement and coagulation cascades,0.02312478054758086,9,0.9,TRUE,WP,TRUE,TRUE,Tier 1 (stable + consensus)
GO:0051301,cell division,7.952218065721419e-5,49,0.99,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:0007094,mitotic spindle assembly checkpoint signaling,1.6090004511094267e-5,11,0.985,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:2000352,negative regulation of endothelial cell apoptotic process,0.00294736682849331,8,0.95,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:0008544,epidermis development,0.02840330028986975,24,0.84,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:0051968,"positive regulation of synaptic transmission, glutamatergic",0.0165792895349236,7,0.835,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:0007565,female pregnancy,0.00694686503075144,18,0.83,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:0048146,positive regulation of fibroblast proliferation,0.00937228509359091,10,0.82,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,0.01310027752999793,7,0.815,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:0001947,heart looping,0.01888729426570919,10,0.75,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.0229076990698714,18,0.725,TRUE,GO,FALSE,FALSE,Tier 2 (stable only)
WP2446,Retinoblastoma gene in cancer,1.1478195472023457e-6,23,1,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP2806,Complement system,2.153425269543807e-5,18,1,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP3624,Lung fibrosis,1.3300866888460333e-4,13,1,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP383,Striated muscle contraction pathway,0.00336538516258788,9,0.995,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
WP5390,Pancreatic cancer subtypes,0.00227376880726506,8,0.985,TRUE,WP,FALSE,FALSE,Tier 2 (stable only)
