ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0006493,protein O-linked glycosylation,0.5217535098046661,4,4,4.649717514124293,B3GALT2/B3GALT6/DPM3/POMGNT1
GO:0046620,regulation of organ growth,0.5217535098046661,4,4,4.649717514124293,PROX1/RGS2/TGFBR3/TP73
GO:0021542,dentate gyrus development,0.5217535098046661,3,3,4.649717514124293,BTG2/POMGNT1/PROX1
GO:0035767,endothelial cell chemotaxis,0.5217535098046661,3,3,4.649717514124293,PLEKHG5/RAB13/TMSB4X
GO:0035864,response to potassium ion,0.5217535098046661,3,3,4.649717514124293,ATP1A2/KCNJ10/NEK7
GO:0055010,ventricular cardiac muscle tissue morphogenesis,0.5217535098046661,3,3,4.649717514124293,PROX1/TGFB2/TGFBR3
GO:0060998,regulation of dendritic spine development,0.5217535098046661,6,7,3.98547215496368,DISC1/DNM3/EFNA1/EPHB2/FOXO6/SLC30A1
GO:0060419,heart growth,0.5217535098046661,5,6,3.874764595103578,PROX1/RGS2/TGFB2/TGFBR3/TP73
GO:0003229,ventricular cardiac muscle tissue development,0.5217535098046661,4,5,3.719774011299435,ID2/PROX1/TGFB2/TGFBR3
GO:0089718,amino acid import across plasma membrane,0.5217535098046661,4,5,3.719774011299435,ATP1A2/KCNJ10/RGS2/SLC6A9
GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,0.5217535098046661,5,8,2.9060734463276834,ADORA1/GPR37L1/GRIK3/OPRD1/RGS2
GO:0051147,regulation of muscle cell differentiation,0.5217535098046661,5,8,2.9060734463276834,CTH/ID2/LAMC1/PROX1/RGS2
GO:0010594,regulation of endothelial cell migration,0.5217535098046661,8,17,2.1881023595879032,EFNA1/EPHA2/GADD45A/GLUL/PIK3CD/PROX1/TGFBR3/TMSB4X
GO:0021915,neural tube development,0.5217535098046661,8,17,2.1881023595879032,BCL10/EPHA2/GPR161/PHGDH/PROX1/RPS7/TGFB2/VANGL2
GO:0048568,embryonic organ development,0.5217535098046661,11,24,2.131120527306968,ARNT/CCN1/EFNA1/EPHA2/EPHB2/HS6ST1/ID2/PBX1/PROX1/TGFB2/VANGL2
GO:0045765,regulation of angiogenesis,0.5217535098046661,13,29,2.084356127021235,AGO1/DDAH1/EFNA1/EPHA2/GADD45A/GLUL/JAK1/NAXE/NPR1/PIK3CD/SHC1/TGFB2/TNN
GO:0034765,regulation of monoatomic ion transmembrane transport,0.5217535098046661,10,23,2.0216163104888234,ATP1A2/EPHB2/GSTM2/KCNAB2/KCNJ10/NOS1AP/PDE4B/SLC30A1/SLC6A9/TMSB4X
GO:0060537,muscle tissue development,0.5217535098046661,12,30,1.8598870056497177,BCL9/BTG2/CENPF/CSRP1/ID2/IGSF8/PROX1/RGS2/TGFB2/TGFBR3/TNN/TP73
GO:0030001,metal ion transport,0.5217535098046661,14,36,1.8082234777150032,ADORA1/ATP1A2/GSTM2/KCNA2/KCNAB2/KCNJ10/KCNN3/NOS1AP/OPRD1/PDE4B/SCNN1D/SLC30A1/SLC5A9/SLC6A9
GO:0022603,regulation of anatomical structure morphogenesis,0.5217535098046661,21,55,1.775346687211094,AGO1/CRABP2/CSF1/DDAH1/DISC1/DNM3/EFNA1/EPHA2/EPHB2/F11R/GADD45A/GLUL/JAK1/NAXE/NPR1/PIK3CD/SEMA6C/SHC1/SLC30A1/TGFB2/TNN
GO:0051093,negative regulation of developmental process,0.5217535098046661,24,65,1.7168187744458931,AGO1/BTG2/CTSK/DNM3/EFNA1/EPHA2/EPHB2/GADD45A/GPR37L1/HDAC1/ID2/NAXE/NPR1/PBX1/PIAS3/PROX1/RGS2/SEMA6C/SHC1/TGFB2/TMSB4X/TNN/TP73/ZBTB7B
GO:0098655,monoatomic cation transmembrane transport,0.5217535098046661,17,47,1.6818127178747446,ATP13A2/ATP1A2/ATP6V0B/GSTM2/KCNA2/KCNAB2/KCNJ10/KCNN3/MT-ND1/NDUFS5/NOS1AP/PDE4B/SCNN1D/SLC30A1/SLC5A9/SLC6A9/TMSB4X
GO:0035239,tube morphogenesis,0.5217535098046661,24,67,1.6655704528206423,AGO1/BCL10/CCN1/CSF1/DDAH1/EFNA1/EPHA2/EPHB2/GADD45A/GLUL/HS6ST1/ID2/JAK1/NAXE/NPR1/PBX1/PIK3CD/PROX1/RPS7/SHC1/TGFB2/TGFBR3/TNN/VANGL2
GO:0001568,blood vessel development,0.5217535098046661,18,51,1.6410767696909272,AGO1/CCN1/DDAH1/EFNA1/EPHA2/EPHB2/GADD45A/GLUL/HS6ST1/JAK1/NAXE/NPR1/PIK3CD/PROX1/SHC1/TGFB2/TGFBR3/TNN
GO:0007167,enzyme-linked receptor protein signaling pathway,0.5217535098046661,18,52,1.6095176010430248,ANGPTL1/ARNT/CCN1/CSF1/EFNA1/EPHA2/EPHB2/HDAC1/JAK1/JUN/NFIA/NPR1/PIK3CD/SHC1/TGFB2/TGFBR3/TXNIP/ZBTB7B
