ID,Description,p.adjust,k,supported_by_hierarchy,K,cluster,hit_frac,rank_in_cluster,cluster_size
GO:0006493,protein O-linked glycosylation,0.5217535098046661,4,NA,NA,1,NA,1,1
GO:0046620,regulation of organ growth,0.5217535098046661,4,NA,NA,2,NA,1,1
GO:0021542,dentate gyrus development,0.5217535098046661,3,NA,NA,3,NA,1,1
GO:0035767,endothelial cell chemotaxis,0.5217535098046661,3,NA,NA,4,NA,1,1
GO:0035864,response to potassium ion,0.5217535098046661,3,NA,NA,5,NA,1,1
GO:0055010,ventricular cardiac muscle tissue morphogenesis,0.5217535098046661,3,NA,NA,6,NA,1,1
GO:0060998,regulation of dendritic spine development,0.5217535098046661,6,NA,NA,7,NA,1,1
GO:0060419,heart growth,0.5217535098046661,5,NA,NA,8,NA,1,1
GO:0003229,ventricular cardiac muscle tissue development,0.5217535098046661,4,NA,NA,9,NA,1,1
GO:0089718,amino acid import across plasma membrane,0.5217535098046661,4,NA,NA,10,NA,1,1
GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,0.5217535098046661,5,NA,NA,11,NA,1,1
GO:0051147,regulation of muscle cell differentiation,0.5217535098046661,5,NA,NA,12,NA,1,1
GO:0010594,regulation of endothelial cell migration,0.5217535098046661,8,NA,NA,13,NA,1,1
GO:0021915,neural tube development,0.5217535098046661,8,NA,NA,14,NA,1,1
GO:0048568,embryonic organ development,0.5217535098046661,11,NA,NA,15,NA,1,1
GO:0045765,regulation of angiogenesis,0.5217535098046661,13,NA,NA,16,NA,1,1
GO:0034765,regulation of monoatomic ion transmembrane transport,0.5217535098046661,10,NA,NA,17,NA,1,1
GO:0060537,muscle tissue development,0.5217535098046661,12,NA,NA,18,NA,1,1
GO:0030001,metal ion transport,0.5217535098046661,14,NA,NA,19,NA,1,1
GO:0022603,regulation of anatomical structure morphogenesis,0.5217535098046661,21,NA,NA,20,NA,1,1
GO:0051093,negative regulation of developmental process,0.5217535098046661,24,NA,NA,21,NA,1,1
GO:0098655,monoatomic cation transmembrane transport,0.5217535098046661,17,NA,NA,22,NA,1,1
GO:0035239,tube morphogenesis,0.5217535098046661,24,NA,NA,23,NA,1,1
GO:0001568,blood vessel development,0.5217535098046661,18,NA,NA,24,NA,1,1
GO:0007167,enzyme-linked receptor protein signaling pathway,0.5217535098046661,18,NA,NA,25,NA,1,1
GO:2000026,regulation of multicellular organismal development,0.5217535098046661,33,NA,NA,26,NA,1,1
GO:0051241,negative regulation of multicellular organismal process,0.5217535098046661,24,NA,NA,27,NA,1,1
GO:1901135,carbohydrate derivative metabolic process,0.5217535098046661,26,NA,NA,28,NA,1,1
GO:0016477,cell migration,0.5217535098046661,30,NA,NA,29,NA,1,1
