bootstrap,GO:0006493,GO:0021542,GO:0035767,GO:0035864,GO:0055010,GO:0060998,GO:0003229,GO:0007193,GO:0010594,GO:0021915,GO:0048568,GO:0045765,GO:0034765,GO:0060537,GO:0098655,GO:0001568,GO:0016477
b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
