ID,Description,p.adjust,k,K,cluster,hit_frac,rank_in_cluster,cluster_size
WP4963,p53 transcriptional gene network,6.997388458606433e-10,31,81,1,0.38271604938271603,1,1
WP2446,Retinoblastoma gene in cancer,3.179054783617201e-9,31,87,2,0.3563218390804598,1,2
WP466,DNA replication,1.2082088657032216e-7,19,41,3,0.4634146341463415,1,1
WP707,DNA damage response,9.255996684905993e-6,22,67,4,0.3283582089552239,1,3
WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,5.959875010947866e-4,13,35,5,0.37142857142857144,1,1
WP2361,Gastric cancer network 1,8.515701303348957e-4,11,27,6,0.4074074074074074,1,1
WP619,Type II interferon signaling,8.515701303348957e-4,11,27,7,0.4074074074074074,1,1
WP58,Monoamine GPCRs,0.0044652023356707,8,18,8,0.4444444444444444,1,1
WP4016,DNA IR damage and cellular response via ATR,0.0044652023356707,19,81,9,0.2345679012345679,1,1
WP1971,Integrated cancer pathway,0.0044652023356707,13,44,10,0.29545454545454547,1,1
WP3391,Senescence associated secretory phenotype SASP,0.0044652023356707,18,75,11,0.24,1,1
WP4197,Immune response to tuberculosis,0.00794342199385081,8,20,12,0.4,1,1
WP5117,Cohesin complex Cornelia de Lange syndrome,0.01753231579977654,10,33,13,0.30303030303030304,1,1
WP455,GPCRs class A rhodopsin like,0.01855220810171735,19,92,14,0.20652173913043478,1,1
WP5055,Burn wound healing,0.02424427430235911,14,60,15,0.23333333333333334,1,1
WP5491,Transcriptional regulation of memory B cell differentiation,0.02424427430235911,10,35,16,0.2857142857142857,1,1
WP3982,miRNA regulation of p53 pathway in prostate cancer,0.02483542524889078,8,24,17,0.3333333333333333,1,1
