ID,Description,k,K,GeneRatio,BgRatio,Ek,enr_ratio,pvalue,p.adjust,Count,n_in_table,N_in_table,RichFactor,FoldEnrichment,zScore,qvalue,geneID
GO:0032496,response to lipopolysaccharide,80,214,80/1340,214/6849,41.71653318077803,1.9177048977996587,5.553181739192337e-10,1.2861168907969452e-7,80,1340,6849,0.37383177570093457,1.9107267401311199,6.675324772163353,1.1242270294633328e-7,AKAP12/ARID5A/C2/CAPN2/CASP1/CASP7/CCL2/CCL28/CD14/CD40/CD68/CEBPB/CITED1/CLDN1/CNR1/COL6A1/CPS1/CSF2RB/CX3CL1/CXCL5/CYP1A1/E2F1/EPHB2/F2R/FOS/GJB2/GJB6/GPX1/GSTP1/HCK/HMGB2/HSF1/IL12RB2/IL18/IL1B/IRAK4/LGALS9/LY96/LYN/MAOB/MAP2K3/MAPK8/MAPKAPK2/MGST2/MTDH/MYD88/NFKB2/NOS2/NOS3/NQO1/NR1D1/NR4A1/PCK2/PLSCR4/PRKCE/PTPN6/RELA/RPL13A/RPS6KB1/SERPINE1/SMAD6/SOD2/TAB2/THBD/TICAM1/TICAM2/TLR2/TLR4/TLR5/TLR9/TNFAIP3/TNFRSF1B/TNIP2/TNIP3/TREM2/TRIM5/TSPO/VCAM1/VIM/XBP1
GO:0002237,response to molecule of bacterial origin,82,223,82/1340,223/6849,43.47096681922197,1.8863164544051796,8.540121104556661e-10,1.7980836798321115e-7,82,1340,6849,0.36771300448430494,1.8794525132186601,6.584715248106349,1.5717500396496268e-7,AKAP12/ARID5A/C2/C4B/CAPN2/CASP1/CASP7/CCL2/CCL28/CD14/CD40/CD68/CEBPB/CITED1/CLDN1/CNR1/COL6A1/CPS1/CSF2RB/CX3CL1/CXCL5/CYP1A1/E2F1/EPHB2/F2R/FOS/GJB2/GJB6/GPX1/GSTP1/HCK/HMGB2/HSF1/IL12RB2/IL18/IL1B/IRAK4/IRF5/LGALS9/LY96/LYN/MAOB/MAP2K3/MAPK8/MAPKAPK2/MGST2/MTDH/MYD88/NFKB2/NOS2/NOS3/NQO1/NR1D1/NR4A1/PCK2/PLSCR4/PRKCE/PTPN6/RELA/RPL13A/RPS6KB1/SERPINE1/SMAD6/SOD2/TAB2/THBD/TICAM1/TICAM2/TLR2/TLR4/TLR5/TLR9/TNFAIP3/TNFRSF1B/TNIP2/TNIP3/TREM2/TRIM5/TSPO/VCAM1/VIM/XBP1
GO:0002274,myeloid leukocyte activation,59,145,59/1340,145/6849,28.26587528604119,2.0873225896222833,2.7260777664155646e-9,5.050876885614758e-7,59,1340,6849,0.4068965517241379,2.079727225939269,6.480804782201299,4.415098159375777e-7,AIF1/C1QA/CAMK4/CD300A/CD74/CD93/CLU/CNR1/CSF1/CTSC/CX3CL1/F2RL1/FCER1G/FCGR3A/FGR/GRP/HAMP/HSPD1/IL16/IL18/IL4R/ITGB2/ITGB8/KARS1/LAT2/LGALS9/LRRK2/LTBR/LYN/MFHAS1/MT1G/MYD88/NECTIN2/NMI/NOTCH2/NR1D1/PLA2G4A/PLSCR1/PRKCD/PRKCE/PTPN6/RAC2/RASGRP1/SPI1/STXBP2/SYT11/TGFB1/TICAM1/TLR2/TLR3/TLR4/TLR9/TNIP2/TRAF3IP2/TREM2/TYROBP/VAMP2/VAMP8/VSIG4
GO:0042060,wound healing,89,257,89/1340,257/6849,50.098827231121284,1.7764886908313373,5.271264134298161e-9,9.213771875497766e-7,89,1340,6849,0.3463035019455253,1.770024391660375,6.205265005622937,8.053989073516535e-7,ADRA2A/ANGPT1/ANGPTL1/ANGPTL4/ANO6/ANXA2/ANXA5/CASP7/CCN1/CD40/CD44/CD59/CDKN1A/CLASP2/CLDN1/CLIC1/CNN2/CX3CL1/CYP4F11/DDR2/DUOX1/ENG/EPHB2/ERBB2/EXT1/F2R/F2RL1/F3/F7/FCER1G/FERMT2/FERMT3/FGF2/FLNA/FZD7/GNA12/GNA13/GPR4/GPX1/HBB/HIF1A/HMOX1/HTR2A/IL6ST/ITGA5/ITPR3/KANK1/LMAN1/LYN/MERTK/MYOF/NFATC1/NFE2L2/NOS3/NOTCH2/PAK1/PLA2G4A/PLAUR/PLEC/PLEK/PLSCR1/PPP3CA/PRKCD/PRKCE/PRKCQ/PTPN6/RAB27A/RHOC/S100A10/SCRIB/SERPINA1/SERPINE1/SERPING1/SLC12A2/SLC7A11/SYT11/SYTL4/TGFB1/TGFB2/THBD/TIMP1/TLN1/TLR4/TNFAIP3/TYRO3/VAV3/WAS/XBP1/YAP1
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,69,183,69/1340,183/6849,35.673483981693366,1.9342097350348195,5.809320223178515e-9,9.966211582875141e-7,69,1340,6849,0.3770491803278688,1.9271715194519206,6.269759204238587,8.7117154925755e-7,ARID5A/BCL3/BCL6/C1QA/C1QB/C1QC/C1R/C1S/C2/C4A/C4B/CD4/CD40/CD74/CFI/CLU/CSF2RB/CTSC/EBI3/EPHB2/FCER1G/FCGR1A/FCGR2A/FCGR3A/HLA-A/HLA-B/HLA-C/HLA-DRA/HLA-DRB1/HSPD1/ICAM1/IL18/IL18R1/IL1B/IL1R1/IL4R/IL6ST/IRF7/LIG4/MICA/MR1/MYD88/NECTIN2/NFKB2/OPA1/PKN1/PLA2G4A/PPP3CB/PRKCD/PRKCQ/PTPN6/RAB27A/RIF1/SEMA4A/SERPING1/SOCS3/STAT3/STAT5A/TCIRG1/TGFB1/TLR4/TNFAIP3/TNFRSF1B/TNFSF13/TRAF3IP2/TREM2/UNC93B1/UNG/WAS
GO:0002250,adaptive immune response,85,244,85/1340,244/6849,47.56464530892448,1.7870416030213008,8.579577444818549e-9,1.4193072401571256e-6,85,1340,6849,0.3483606557377049,1.7805389038414483,6.122812288955965,1.2406520541915245e-6,ARID5A/BCL3/BCL6/C1QA/C1QB/C1QC/C1R/C1S/C2/C4A/C4B/CAMK4/CD244/CD4/CD40/CD74/CFI/CLU/CSF2RB/CTSC/EBI3/EPHB2/FCER1G/FCGR1A/FCGR2A/FCGR3A/FYN/HLA-A/HLA-B/HLA-C/HLA-DMA/HLA-DPA1/HLA-DPB1/HLA-DRA/HLA-DRB1/HLA-DRB5/HSPD1/ICAM1/IL18/IL18R1/IL1B/IL1R1/IL4R/IL6ST/IRF1/IRF7/LAT2/LIG4/LYN/MICA/MICB/MR1/MYD88/NECTIN2/NFKB2/OPA1/PKN1/PLA2G4A/PPP3CB/PRKCB/PRKCD/PRKCQ/PRKD2/PTPN6/RAB27A/RAP1GAP/RIF1/SEMA4A/SERPING1/SOCS3/STAT3/STAT5A/TAP1/TCIRG1/TFE3/TGFB1/TLR4/TNFAIP3/TNFRSF1B/TNFSF13/TRAF3IP2/TREM2/UNC93B1/UNG/WAS
GO:0002443,leukocyte mediated immunity,79,225,79/1340,225/6849,43.8608409610984,1.801151055677835,1.968814791934302e-8,2.8950952749967257e-6,79,1340,6849,0.3511111111111111,1.794597014925373,5.976898974998261,2.530675387527249e-6,ARID5A/BCL3/BCL6/BST2/C1QA/C1QB/C1QC/C1R/C1S/C2/C4A/C4B/CD300A/CD40/CD74/CFI/CLU/CSF2RB/CTSC/DHX36/F2RL1/FCER1G/FCGR1A/FCGR2A/FCGR3A/FGR/GRP/HLA-A/HLA-B/HLA-C/HLA-DRA/HLA-DRB1/HSPD1/ICAM1/IL18/IL18R1/IL1B/IL1R1/IL4R/IRAK4/IRF7/ITGB2/LAT2/LGALS9/LIG4/LYN/MICA/MR1/MYD88/NDST2/NECTIN2/NOS2/PPP3CB/PRKCD/PTPN6/RAB27A/RAC2/RASGRP1/RIF1/SERPING1/SPI1/STXBP2/TCIRG1/TGFB1/TICAM1/TLR3/TLR4/TLR9/TNFRSF1B/TNFSF13/TRAF3IP2/TREM2/TYROBP/UNC93B1/UNG/VAMP2/VAMP8/WAS/WDR1
GO:0002768,immune response-regulating cell surface receptor signaling pathway,70,193,70/1340,193/6849,37.62285469107552,1.8605712026579588,2.9057450221654696e-8,4.0177346097523755e-6,70,1340,6849,0.3626943005181347,1.8538009434691824,5.933712732192558,3.512002585313269e-6,C3AR1/CACNB3/CACNB4/CD14/CD22/CD2AP/CD300A/CD40/CD47/CYBA/DUSP3/EZR/F2RL1/FCER1G/FCGR1A/FCGR2A/FCGR3A/FGR/FPR1/FYN/GBP1/HCK/HLA-A/HLA-DPB1/HLA-DRB1/IRAK4/ITPRIPL1/KCNN4/LAT2/LGALS3/LY96/LYN/MAP2K4/MAPK8/MFHAS1/MICB/MYD88/NECTIN2/NFATC2/NMI/NOS2/NR1D1/PAK1/PAK3/PIK3AP1/PLSCR1/PRKCB/PRKCD/PRKCE/PRKCQ/PRKD2/PTPN6/RELA/RPS3/SH2B2/SLC39A10/SQSTM1/TBK1/THY1/TICAM1/TICAM2/TLR2/TLR4/TLR5/TNFAIP3/TNIP2/TNIP3/TREM2/TYROBP/VAV3
GO:0042742,defense response to bacterium,47,114,47/1340,114/6849,22.222826086956523,2.114942528735632,7.042341364509108e-8,8.372545827289275e-6,47,1340,6849,0.41228070175438597,2.1072466614296936,5.879303691276906,7.318652287216661e-6,ADAMTS5/ADGRB1/BCL3/CASP1/CASP4/CASP7/CD4/CEBPB/CYBA/F2RL1/FAU/FCER1G/FCGR1A/FGR/GBP1/GSDMD/H2BC21/HAMP/HLA-A/HMGB2/HP/IL18/IL1B/KLK5/LYZ/MICA/MMRN2/MR1/MYD88/NOS2/NOTCH2/PRKCD/RPS19/S100A9/SEH1L/SERPINE1/SHC1/SYT11/TAB2/TBK1/TLR2/TLR3/TLR4/TLR9/TNFRSF1A/TREM2/VIP
GO:0042330,taxis,85,254,85/1340,254/6849,49.514016018306634,1.716685634398415,7.049423300178793e-8,8.372545827289275e-6,85,1340,6849,0.3346456692913386,1.710438946997297,5.690286183893236,7.318652287216661e-6,ABCC1/ACKR3/AIF1/ALKBH1/AMOT/ANGPT1/ANO6/ATOH7/C3AR1/CCL2/CCL28/CCN1/CCR1/CD74/CH25H/CSF1/CSF3R/CX3CL1/CXADR/CXCL16/CXCL5/DUSP3/EGR3/ENG/ENPP2/F2RL1/F3/F7/FCER1G/FGF2/FGFR1/FPR1/HGF/HMGB2/HSD3B7/IL16/IL1B/ITGA9/ITGB2/LGALS3/LGALS9/LGMN/LYN/MAP2K1/MDK/MET/MSMP/MYCBP2/NR4A1/NRP1/PARVA/PERP/PIK3C2G/PLAUR/PLEC/PRKCD/PRKCQ/PRKD2/RAB13/RAC2/RHO/ROBO2/ROBO3/RPL13A/RPS19/S100A9/SCRIB/SEMA3F/SEMA4A/SEMA4D/SEMA5B/SEMA7A/SERPINE1/SLC12A2/SLIT1/STX3/TGFB1/TGFB2/TMSB4X/TREM2/TRPM2/TUBB2B/TYMP/VAV3/VCAM1
