ID,Description,k,K,GeneRatio,BgRatio,Ek,enr_ratio,pvalue,p.adjust,Count,n_in_table,N_in_table,RichFactor,FoldEnrichment,zScore,qvalue,geneID
WP2431,Spinal cord injury,43,92,43/1363,92/6992,17.93421052631579,2.3976522377109317,2.4577011657013797e-9,1.6786098961740424e-6,43,1363,6992,0.4673913043478261,2.3976522377109317,6.6400362012459935,1.402183191379103e-6,AIF1/AQP4/BDNF/BTG2/C1QB/CCL2/CCNG1/CD47/CDK1/CDK2/CHST11/COL4A1/E2F1/EGFR/EGR1/EPHA4/FCGR2A/FOS/GADD45A/GJA1/ICAM1/IL1B/IL1R1/LGALS3/MAG/NOS2/NR4A1/PLXNA2/PPP3CA/PTPRZ1/RHOC/ROCK2/ROS1/RTN4/RTN4R/SLIT1/SOX9/TGFB1/TLR4/TNFSF13/TP53/VIM/XYLT1
WP3896,Dengue 2 interactions with complement and coagulation cascades,21,37,21/1363,37/6992,7.212671624713959,2.9115425036188056,5.455353669519752e-7,9.315016390704977e-5,21,1363,6992,0.5675675675675675,2.9115425036188056,5.736383905351896,7.781057075999226e-5,C1QA/C1QB/C1QC/C1R/C1S/C2/C3AR1/C4B/CFB/CFH/CFI/CLU/F2R/F3/F7/LMAN1/PLAUR/SERPINA1/SERPINE1/SERPING1/THBD
WP558,Complement and coagulation cascades,21,37,21/1363,37/6992,7.212671624713959,2.9115425036188056,5.455353669519752e-7,9.315016390704977e-5,21,1363,6992,0.5675675675675675,2.9115425036188056,5.736383905351896,7.781057075999226e-5,C1QA/C1QB/C1QC/C1R/C1S/C2/C3AR1/C4B/CFB/CFH/CFI/CLU/F2R/F3/F7/LMAN1/PLAUR/SERPINA1/SERPINE1/SERPING1/THBD
WP75,Toll like receptor signaling,29,69,29/1363,69/6992,13.450657894736842,2.1560283687943262,1.3560617859737183e-5,0.0015436503330334159,29,1363,6992,0.42028985507246375,2.1560283687943262,4.7484057909775,0.0012894482245574654,CD14/CD40/FOS/IFNAR2/IL1B/IRAK4/IRF5/IRF7/JUN/LY96/MAP2K1/MAP2K3/MAP2K4/MAP2K6/MAPK11/MAPK13/MAPK8/MYD88/RELA/SPP1/TAB2/TBK1/TICAM1/TICAM2/TLR2/TLR3/TLR4/TLR5/TLR9
WP2328,Allograft rejection,24,54,24/1363,54/6992,10.526601830663616,2.279938045161816,2.4472700455965917e-5,0.0023878363444892457,24,1363,6992,0.4444444444444444,2.279938045161816,4.645908317131305,0.0019946170897945158,BHMT2/C1QA/C1QB/C1QC/C2/C4A/C4B/CASP7/CD40/FAS/HLA-A/HLA-B/HLA-C/HLA-DMA/HLA-DPA1/HLA-DPB1/HLA-DRA/HLA-DRB1/HLA-DRB5/IL1B/LRRK2/MICA/TGFB1/VIM
WP3945,TYROBP causal network in microglia,23,54,23/1363,54/6992,10.526601830663616,2.184940626613407,8.151641163747406e-5,0.0055675709148394785,23,1363,6992,0.42592592592592593,2.184940626613407,4.301087488804212,0.004650725800790625,ABCC4/C1QC/CAPG/CD37/CD4/CXCL16/DPYD/GPX1/HCLS1/IL13RA1/IL18/ITGB2/LHFPL2/PLEK/PPP1R18/RBM47/SLC1A5/SPP1/STAT5A/TCIRG1/TNFRSF1B/TYROBP/ZFP36L2
WP5090,Complement system in neuronal development and plasticity,31,83,31/1363,83/6992,16.179776887871853,1.9159720319281528,1.0721008532652933e-4,0.00665677166163814,31,1363,6992,0.37349397590361444,1.9159720319281526,4.130623559155211,0.005560561363347262,C1QA/C1QB/C1QC/C1R/C1S/C2/C3AR1/C4A/C4B/CASP7/CD59/CFB/CFH/CFI/CLU/CRB1/CSMD1/CX3CL1/FAS/ITGB2/MARK1/MARK2/MERTK/PARD3/PLSCR1/PLSCR4/SCRIB/SERPING1/TGFB1/TGFB2/TYRO3
WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,12,21,12/1363,21/6992,4.093678489702517,2.931348915208049,1.4619128244796516e-4,0.00832072049266335,12,1363,6992,0.5714285714285714,2.931348915208049,4.361388766519014,0.006950497814631326,ABCC4/CES1/EPHX1/FOS/GSTP1/HMOX1/JUN/MAPK11/MAPK13/MAPK8/NFE2L2/NQO1
WP5491,Transcriptional regulation of memory B cell differentiation,16,33,16/1363,33/6992,6.432923340961098,2.4872051401765267,1.5966823307435608e-4,0.00838872332229117,16,1363,6992,0.48484848484848486,2.4872051401765267,4.213629871129782,0.007007302212655952,BCL6/CCND3/CD40/CDKN1A/E2F1/ID3/IL4R/LYN/SPI1/STAT3/TCF3/TLR2/TLR3/TLR4/TLR5/TLR9
WP2806,Complement system,24,60,24/1363,60/6992,11.696224256292906,2.0519442406456347,1.8790728408051184e-4,0.009167191073356399,24,1363,6992,0.4,2.0519442406456347,4.02662349277368,0.00765757503546146,C1S/C2/C3AR1/C4A/CD40/CD59/CD93/CFB/CFH/CFI/FCGR3A/FPR1/GNAI2/GNAI3/ICAM1/LAMC1/PLAUR/RPS19/SELL/SERPING1/SPP1/TLR2/VSIG4/WAS
