ID,Description,p.adjust,k,K,cluster,hit_frac,rank_in_cluster,cluster_size
WP2431,Spinal cord injury,1.6786098961740424e-6,43,92,1,0.4673913043478261,1,1
WP558,Complement and coagulation cascades,9.315016390704976e-5,21,37,2,0.5675675675675675,1,3
WP75,Toll like receptor signaling,0.00154365033303341,29,69,3,0.42028985507246375,1,4
WP2328,Allograft rejection,0.00238783634448924,24,54,4,0.4444444444444444,1,1
WP3945,TYROBP causal network in microglia,0.00556757091483947,23,54,5,0.42592592592592593,1,1
WP5090,Complement system in neuronal development and plasticity,0.00665677166163814,31,83,6,0.37349397590361444,1,1
WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,0.00832072049266335,12,21,7,0.5714285714285714,1,1
WP5491,Transcriptional regulation of memory B cell differentiation,0.00838872332229117,16,33,8,0.48484848484848486,1,1
WP2806,Complement system,0.00916719107335639,24,60,9,0.4,1,1
WP5561,Integrative Analysis of Treg Glial Interactions,0.00972542443948605,32,90,10,0.35555555555555557,1,1
WP5095,Overview of proinflammatory and profibrotic mediators,0.00972542443948605,12,22,11,0.5454545454545454,1,1
WP3611,Photodynamic therapy induced AP 1 survival signaling,0.00972542443948605,19,44,12,0.4318181818181818,1,1
WP2840,Hair follicle development cytodifferentiation stage 3 of 3,0.0101038903561157,23,58,13,0.39655172413793105,1,1
WP3937,Microglia pathogen phagocytosis pathway,0.01209245727172539,16,35,14,0.45714285714285713,1,1
WP5193,Cholesterol synthesis disorders,0.01209245727172539,10,17,15,0.5882352941176471,1,4
WP477,Cytoplasmic ribosomal proteins,0.01617857367476309,30,86,16,0.3488372093023256,1,1
WP722,Serotonin HTR1 group and FOS pathway,0.02103007102628553,16,37,17,0.43243243243243246,1,1
WP176,Folate metabolism,0.02164101778362147,18,44,18,0.4090909090909091,1,1
WP5473,Cytokine cytokine receptor interaction,0.02695965993946908,34,105,19,0.3238095238095238,1,1
WP3591,Sleep regulation,0.02695965993946908,12,25,20,0.48,1,1
WP5284,Cell interactions in pancreatic cancer microenvironment,0.02695965993946908,9,16,21,0.5625,1,1
WP5198,Inflammatory bowel disease signaling,0.02695965993946908,11,22,22,0.5,1,1
WP2865,IL1 and megakaryocytes in obesity,0.02695965993946908,10,19,23,0.5263157894736842,1,1
WP5130,Th17 cell differentiation pathway,0.03265033211953775,18,46,24,0.391304347826087,1,1
WP5477,Molecular pathway for oxidative stress,0.03613335406337133,17,43,25,0.3953488372093023,1,1
WP1528,Physiological and pathological hypertrophy of the heart,0.03681239653271216,11,23,26,0.4782608695652174,1,1
WP3941,Oxidative damage response,0.04020204513153988,15,37,27,0.40540540540540543,1,1
WP5265,Neurogenesis regulation in the olfactory epithelium,0.04556473401112624,19,52,28,0.36538461538461536,1,1
WP5272,LDL influence on CD14 and TLR4,0.04897618560476502,10,21,29,0.47619047619047616,1,1
WP2324,AGE RAGE pathway,0.0492817571141797,21,60,30,0.35,1,1
WP3947,Serotonin and anxiety,0.04945937034694876,9,18,31,0.5,1,1
WP5560,Lupus therapies,0.04945937034694876,8,15,32,0.5333333333333333,1,1
