ID,Description,p.adjust,k,stability,selected,collection,consensus,keep_final
WP558,Complement and coagulation cascades,9.315016390704976e-5,21,1,TRUE,WP,TRUE,TRUE
WP75,Toll like receptor signaling,0.00154365033303341,29,1,TRUE,WP,TRUE,TRUE
WP2328,Allograft rejection,0.00238783634448924,24,1,TRUE,WP,TRUE,TRUE
WP5095,Overview of proinflammatory and profibrotic mediators,0.00972542443948605,12,0.97,TRUE,WP,TRUE,TRUE
WP477,Cytoplasmic ribosomal proteins,0.01617857367476309,30,0.965,TRUE,WP,TRUE,TRUE
GO:0002181,cytoplasmic translation,0.04510421091392166,41,0.95,TRUE,GO,TRUE,TRUE
WP5560,Lupus therapies,0.04945937034694876,8,0.885,TRUE,WP,TRUE,TRUE
GO:0034142,toll-like receptor 4 signaling pathway,0.00341860215520587,20,0.88,TRUE,GO,TRUE,TRUE
GO:0006956,complement activation,2.74635302985528e-4,17,0.845,TRUE,GO,TRUE,TRUE
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,0.03950488280015925,10,0.835,TRUE,GO,TRUE,TRUE
GO:0007596,blood coagulation,0.00130470257580258,48,0.77,TRUE,GO,TRUE,TRUE
GO:0032496,response to lipopolysaccharide,1.2861168907969452e-7,80,1,TRUE,GO,FALSE,FALSE
WP2431,Spinal cord injury,1.6786098961740424e-6,43,1,TRUE,WP,FALSE,FALSE
GO:0042742,defense response to bacterium,8.372545827289275e-6,47,0.995,TRUE,GO,FALSE,FALSE
WP3945,TYROBP causal network in microglia,0.00556757091483947,23,0.995,TRUE,WP,FALSE,FALSE
WP5090,Complement system in neuronal development and plasticity,0.00665677166163814,31,0.995,TRUE,WP,FALSE,FALSE
GO:0032757,positive regulation of interleukin-8 production,2.324844096529078e-4,21,0.99,TRUE,GO,FALSE,FALSE
GO:0071260,cellular response to mechanical stimulus,8.275615333243631e-4,26,0.99,TRUE,GO,FALSE,FALSE
WP5491,Transcriptional regulation of memory B cell differentiation,0.00838872332229117,16,0.99,TRUE,WP,FALSE,FALSE
WP2806,Complement system,0.00916719107335639,24,0.985,TRUE,WP,FALSE,FALSE
WP5561,Integrative Analysis of Treg Glial Interactions,0.00972542443948605,32,0.985,TRUE,WP,FALSE,FALSE
WP5193,Cholesterol synthesis disorders,0.01209245727172539,10,0.98,TRUE,WP,FALSE,FALSE
WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,0.00832072049266335,12,0.975,TRUE,WP,FALSE,FALSE
WP2840,Hair follicle development cytodifferentiation stage 3 of 3,0.0101038903561157,23,0.975,TRUE,WP,FALSE,FALSE
GO:0007528,neuromuscular junction development,0.01562614446492455,16,0.97,TRUE,GO,FALSE,FALSE
