ID,Description,p.adjust,k,stability,selected
WP2431,Spinal cord injury,1.6786098961740424e-6,43,1,TRUE
WP558,Complement and coagulation cascades,9.315016390704976e-5,21,1,TRUE
WP75,Toll like receptor signaling,0.00154365033303341,29,1,TRUE
WP2328,Allograft rejection,0.00238783634448924,24,1,TRUE
WP3945,TYROBP causal network in microglia,0.00556757091483947,23,0.995,TRUE
WP5090,Complement system in neuronal development and plasticity,0.00665677166163814,31,0.995,TRUE
WP3612,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,0.00832072049266335,12,0.975,TRUE
WP5491,Transcriptional regulation of memory B cell differentiation,0.00838872332229117,16,0.99,TRUE
WP2806,Complement system,0.00916719107335639,24,0.985,TRUE
WP5561,Integrative Analysis of Treg Glial Interactions,0.00972542443948605,32,0.985,TRUE
WP5095,Overview of proinflammatory and profibrotic mediators,0.00972542443948605,12,0.97,TRUE
WP3611,Photodynamic therapy induced AP 1 survival signaling,0.00972542443948605,19,0.965,TRUE
WP2840,Hair follicle development cytodifferentiation stage 3 of 3,0.0101038903561157,23,0.975,TRUE
WP3937,Microglia pathogen phagocytosis pathway,0.01209245727172539,16,0.96,TRUE
WP5193,Cholesterol synthesis disorders,0.01209245727172539,10,0.98,TRUE
WP477,Cytoplasmic ribosomal proteins,0.01617857367476309,30,0.965,TRUE
WP722,Serotonin HTR1 group and FOS pathway,0.02103007102628553,16,0.955,TRUE
WP176,Folate metabolism,0.02164101778362147,18,0.935,TRUE
WP5473,Cytokine cytokine receptor interaction,0.02695965993946908,34,0.95,TRUE
WP3591,Sleep regulation,0.02695965993946908,12,0.92,TRUE
WP5284,Cell interactions in pancreatic cancer microenvironment,0.02695965993946908,9,0.9,TRUE
WP5198,Inflammatory bowel disease signaling,0.02695965993946908,11,0.945,TRUE
WP2865,IL1 and megakaryocytes in obesity,0.02695965993946908,10,0.885,TRUE
WP5130,Th17 cell differentiation pathway,0.03265033211953775,18,0.955,TRUE
WP5477,Molecular pathway for oxidative stress,0.03613335406337133,17,0.915,TRUE
WP1528,Physiological and pathological hypertrophy of the heart,0.03681239653271216,11,0.885,TRUE
WP3941,Oxidative damage response,0.04020204513153988,15,0.84,TRUE
WP5265,Neurogenesis regulation in the olfactory epithelium,0.04556473401112624,19,0.82,TRUE
WP5272,LDL influence on CD14 and TLR4,0.04897618560476502,10,0.845,TRUE
WP2324,AGE RAGE pathway,0.0492817571141797,21,0.88,TRUE
WP3947,Serotonin and anxiety,0.04945937034694876,9,0.805,TRUE
WP5560,Lupus therapies,0.04945937034694876,8,0.885,TRUE
