original_term_id,kept_term_id,pair_similarity
GO:0043062,GO:0030198,0.735
GO:0045229,GO:0030198,0.735
GO:0030199,GO:0030198,0.794
GO:0022617,GO:0030198,0.794
GO:0051783,GO:0000280,0.661
GO:0140014,GO:0000280,0.649
GO:0002062,GO:0051216,0.797
GO:0061035,GO:0051216,0.76
GO:0048705,GO:0051216,0.606
GO:0060348,GO:0051216,0.69
GO:0044344,GO:0071774,0.655
GO:0007492,GO:0061448,0.639
GO:0045132,GO:1903046,0.669
GO:0140013,GO:1903046,0.745
GO:0038084,GO:0008543,0.677
GO:0060571,GO:0061138,0.673
GO:0001763,GO:0061138,0.685
GO:0048754,GO:0061138,0.757
GO:0048730,GO:0061138,0.636
GO:0043588,GO:0098773,0.693
GO:0060079,GO:0099565,0.851
GO:0007160,GO:0031589,0.837
GO:0042476,GO:0022612,0.713
GO:0060512,GO:0022612,0.672
GO:2000027,GO:0022612,0.6
GO:0045839,GO:0007088,0.784
GO:0035767,GO:0060326,0.797
GO:0071466,GO:0006805,0.78
GO:0140448,GO:0016486,0.707
GO:0048012,GO:0038063,0.719
GO:0038065,GO:0038063,0.788
GO:0036323,GO:0038063,0.638
GO:0031547,GO:0038063,0.719
GO:0007156,GO:0098742,0.841
GO:0098810,GO:0001504,0.788
GO:0001523,GO:0016101,0.866
GO:0006721,GO:0016101,0.872
GO:0009063,GO:1901606,0.816
GO:0031341,GO:0031342,0.771
GO:0001911,GO:0031342,0.606
GO:0045766,GO:1904018,0.755
GO:1901342,GO:1904018,0.82
GO:0051896,GO:0051897,0.771
GO:0002716,GO:0045953,0.823
GO:0036216,GO:0036215,0.63
