ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0030198,extracellular matrix organization,5.303057826980286e-10,91,183,1.994535519125683,ADAM10/ADAMTS2/ADAMTS9/ADAMTSL3/AXIN2/B4GALT1/BMP1/CMA1/COL10A1/COL11A1/COL11A2/COL4A1/COL4A2/COL4A5/COL4A6/COL5A1/COL5A2/COL5A3/COL6A1/COL6A6/COL9A2/COL9A3/COLGALT1/CREB3L1/CSGALNACT1/CTSG/CTSV/CYP1B1/DDR1/ELANE/ELF3/ELN/ENG/EXT1/FAP/FBLN5/FKBP10/FOXC2/FSCN1/GREM1/HPSE2/IBSP/ITGB3/LAMA1/LAMB1/LAMC1/LOXL1/LOXL2/LOXL3/MAD2L2/MATN1/MMP1/MMP10/MMP11/MMP12/MMP13/MMP14/MMP27/MMP28/MMP3/MMP8/MMP9/MYH11/MYO1E/NTN4/P3H4/P4HA1/P4HA3/PDGFRA/PLOD1/PLOD2/PLOD3/POSTN/PRDX4/PXDN/RUNX1/SELENON/SERPINH1/SLC39A8/SMOC2/SMPD3/SOX9/SPINK5/TGFB1/TGFBR1/TGFBR3/TIE1/TMPRSS6/TNFRSF1B/TNXB/VWA1
GO:0000280,nuclear division,6.910609201234948e-5,94,236,1.597597317936301,ACTR2/ACTR3/ANLN/AURKA/AURKB/BIRC5/BMP4/BMP7/BRCA2/BRIP1/BTC/BUB1/BUB1B/CALR/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC25C/CDCA5/CDK1/CDKN1C/CDT1/CENPE/CENPF/CENPS/CHEK1/CKS2/CYP26B1/DAPK3/DLGAP5/ESPL1/FANCD2/FLNA/GPR3/HSPA1B/KAT2B/KIF15/KIF20B/KIF23/KIF2C/KIF4A/KNSTRN/KPNB1/LRP5/MAD2L1/MAD2L2/MKI67/MND1/MSX2/MYBL2/NCAPG2/NCAPH/NEK2/NFIA/NFIB/NPR2/NUP62/P3H4/PDE3A/PDGFB/PIWIL2/PKMYT1/PLK1/PSRC1/PTTG1/RACGAP1/RAD51/RAD54L/RAN/RANBP1/RCC1/SGO1/SHOC1/SMC2/SMC4/SMPD3/SPHK1/STAG3/SUN1/TGFB1/TOM1L2/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/UBE2S/UHRF1/USP44/WNT4/WNT5A
GO:0051216,cartilage development,1.4504047561007198e-4,65,150,1.738095238095238,AXIN2/BBS2/BMP1/BMP3/BMP4/BMP7/BMP8A/BMP8B/CBS/CCN3/CHST11/CHSY1/COL11A1/COL11A2/COL6A1/CSGALNACT1/CYTL1/EXT1/FGF18/FGFR3/FRZB/GATA3/GHR/GREM1/HIF1A/HMGA2/HYAL2/KAT2A/LEP/LOXL2/LTBP3/MATN1/MGP/MMP13/MSX2/NFIA/NFIB/NPR2/OSR1/OSR2/PRKG2/RARG/RUNX1/RUNX2/SERPINH1/SIX2/SLC39A14/SMPD3/SNAI1/SNAI2/SOX5/SOX6/SOX9/STC1/TGFB1/TGFBR1/TIMP1/TYMS/WNT10B/WNT11/WNT2B/WNT5A/WNT5B/ZBTB16/ZNF219
GO:0071774,response to fibroblast growth factor,2.760856161096126e-4,51,111,1.8428868428868428,CREB3L1/CSF1R/CXCL13/DDR1/EGFR/EGR3/ELK1/EPHA4/ERBB2/ERBB4/EXT1/FAM20C/FGF16/FGF18/FGF22/FGFR2/FGFR3/GALNT3/GATA3/GRB2/HYAL2/KDR/KIT/KL/MERTK/MET/MST1R/NGFR/NPR2/NR4A1/NRXN1/NTRK1/NTRK2/NTRK3/PDGFRA/POSTN/RET/RUNX2/SFRP1/SHCBP1/SMOC2/TBX1/TBX2/THBS1/TIE1/TNC/TYRO3/WNT4/WNT5A/ZFP36/ZFP36L2
GO:0061448,connective tissue development,0.00124339196687665,80,207,1.5501406805754632,AXIN2/BBS2/BMP1/BMP3/BMP4/BMP7/BMP8A/BMP8B/CBS/CCN3/CD34/CHST11/CHSY1/COL11A1/COL11A2/COL5A1/COL6A1/CSGALNACT1/CYTL1/DGAT2/EXT1/FGF18/FGFR3/FOXC2/FRZB/GATA3/GDF7/GHR/GPR4/GREM1/HIF1A/HMGA2/HYAL2/ID4/ITGB3/KAT2A/LEP/LOXL2/LRP5/LTBP3/MATN1/MGP/MMP13/MSX2/NFIA/NFIB/NPR2/OSR1/OSR2/PARP1/PDGFB/PDGFD/PPARGC1A/PRKG2/RARG/RORC/RUNX1/RUNX2/SERPINH1/SIX2/SLC39A14/SMPD3/SNAI1/SNAI2/SOX5/SOX6/SOX9/SPI1/STC1/TGFB1/TGFBR1/TIMP1/TYMS/WNT10B/WNT11/WNT2B/WNT5A/WNT5B/ZBTB16/ZNF219
GO:0032963,collagen metabolic process,0.00187958085486762,35,72,1.9497863247863247,ADAMTS2/BMP4/COL5A1/COL6A1/CREB3L1/CTSB/CTSL/ENG/FAP/HIF1A/INHBA/MMP1/MMP10/MMP11/MMP12/MMP13/MMP14/MMP27/MMP28/MMP3/MMP8/MMP9/MYB/P3H1/P3H3/P3H4/PLOD3/RUNX1/SERPINH1/SMPD3/TGFB1/TGFB3/TMPRSS6/TNXB/WNT4
GO:1903046,meiotic cell cycle process,0.00187958085486762,44,98,1.8008522090154744,ACTR2/ACTR3/AURKA/BRCA2/BRIP1/CALR/CCNB2/CCNE1/CCNE2/CDC20/CDC25A/CDC25C/CENPS/CKS2/CYP26B1/EDNRA/ESPL1/FANCD2/GPR3/MND1/MSX2/MYH9/NCAPH/NPR2/P3H4/PDE3A/PIWIL2/PKMYT1/PLK1/PTTG1/RAD51/RAD54L/SGO1/SHOC1/SMC2/SMC4/STAG3/SUN1/TOP2A/TRIP13/TTK/TUBG1/WNT4/WNT5A
GO:0008543,fibroblast growth factor receptor signaling pathway,0.00219841462096274,39,84,1.8622448979591837,CREB3L1/CSF1R/DDR1/EGFR/EPHA4/ERBB2/ERBB4/EXT1/FAM20C/FGF16/FGF18/FGF22/FGFR2/FGFR3/GALNT3/GATA3/GRB2/KDR/KIT/KL/MERTK/MET/MST1R/NGFR/NRXN1/NTRK1/NTRK2/NTRK3/PDGFRA/RET/RUNX2/SHCBP1/SMOC2/TBX2/THBS1/TIE1/TYRO3/WNT4/WNT5A
GO:0061138,morphogenesis of a branching epithelium,0.00219841462096274,58,141,1.6499103733146288,AR/BCL2/BMP4/BMP7/COL4A1/CTNNBIP1/CTSZ/DDR1/EDNRA/ENG/ESR1/EXT1/FGFR2/FOXC2/GDF7/GDNF/GPC3/GRB2/GREB1L/GREM1/HGF/HS3ST3A1/HS3ST3B1/KDR/LAMA1/LEF1/LRP5/MAGED1/MET/MMP14/MSX2/NTN4/PBX1/PDGFA/PGR/PLXNA1/PPP1CA/PROX1/SEMA3E/SFRP1/SIX2/SIX4/SNAI2/SOX10/SOX9/TACSTD2/TBX2/TGFB1/TGM2/TIE1/TIMELESS/TNC/TP63/WNT2/WNT2B/WNT4/WNT5A/WNT6
GO:0098773,skin epidermis development,0.00223044621156374,40,87,1.8441328786156372,ALOX12/BCL2/CDH3/CLDN1/CLDN4/COL6A1/CYP26B1/DLX3/EDA/EGFR/EXT1/FGFR2/FLG/FOXQ1/HDAC1/HPSE/IGFBP5/IL18/INHBA/INTU/KLF4/KRT1/KRT16/KRT17/LGR5/LRP4/MET/MSX2/NGFR/PDGFA/SFN/SLC39A7/SNAI1/SOX9/SPINK5/STMN1/TP63/WNT10A/WNT10B/WNT5A
