ID,NGenes,Direction,PValue,FDR
GO:0000398,94,Up,5.527360045804307e-8,7.519233982907349e-5
GO:0000278,78,Up,1.1940915624835688e-7,7.519233982907349e-5
GO:0006270,24,Up,1.1966950635926814e-7,7.519233982907349e-5
GO:0006260,60,Up,6.256886659055201e-7,2.948557838079764e-4
GO:0051321,33,Up,8.251678079440054e-7,3.1108826359489e-4
GO:0090307,25,Up,1.4143496802571816e-6,4.443415245474646e-4
GO:0007094,16,Up,1.876304814398291e-6,4.454850392645474e-4
GO:0007059,51,Up,1.8906526865338883e-6,4.454850392645474e-4
GO:0007052,33,Up,2.411103383302933e-6,5.049922086140032e-4
GO:0030174,10,Up,4.497642006182006e-6,8.478055181653082e-4
GO:0051301,202,Up,1.0905021818851894e-5,0.0018687241935032566
GO:0006281,172,Up,1.4058636159185134e-5,0.0022083774300053318
GO:0000070,13,Up,1.6242577243340653e-5,0.0023551737002843946
GO:0006913,36,Up,2.619997634199482e-5,0.003527639671761445
GO:0043588,29,Down,3.7594330691314867e-5,0.004540301210992564
GO:0043484,31,Up,4.005694510754111e-5,0.004540301210992564
GO:0006397,81,Up,4.0947013573938244e-5,0.004540301210992564
GO:1903241,18,Up,6.29573140923802e-5,0.006593029836896482
GO:0008380,77,Up,6.741843592855024e-5,0.0066886185118588005
GO:0000076,10,Up,7.269422013887267e-5,0.0068514302480887496
GO:0006261,22,Up,7.986691155393583e-5,0.007169006108531859
GO:0098911,11,Down,8.95116325394601e-5,0.007669519424403741
GO:0003272,12,Down,1.2920481754234557e-4,0.010589177437709625
GO:0008544,32,Down,1.7781930031893504e-4,0.01344088416251917
GO:0002181,83,Up,1.782610631633842e-4,0.01344088416251917
GO:0036297,32,Up,2.60009136422553e-4,0.018850662390635094
GO:0006302,57,Up,3.0231237853147125e-4,0.021105882723400863
GO:0007062,14,Up,3.2510198860962884e-4,0.02188633030461251
GO:0055091,11,Down,3.854167352833073e-4,0.025052087793414973
GO:0007129,12,Up,4.063157227232432e-4,0.025530171244443782
GO:0007080,22,Up,4.5396432435119e-4,0.02760395972264494
GO:0006405,12,Up,4.7062793748884967e-4,0.02772292694270255
GO:0000086,33,Up,5.209297886029041e-4,0.02905261105792873
GO:0007088,11,Up,5.320091902690125e-4,0.02905261105792873
GO:0045109,13,Down,5.469670077021581e-4,0.02905261105792873
GO:0060048,36,Down,5.548509273662781e-4,0.02905261105792873
GO:0048025,15,Up,6.227468000127043e-4,0.03118328326484352
GO:0140588,91,Up,6.480609668644785e-4,0.03118328326484352
GO:0055010,22,Down,6.541155228791841e-4,0.03118328326484352
GO:0006310,33,Up,6.617142337367325e-4,0.03118328326484352
GO:2000042,16,Up,6.971560021832553e-4,0.03205217229549845
GO:0007051,11,Up,7.488814850353738e-4,0.03361051426884951
GO:0006298,22,Up,7.986293945983149e-4,0.0350096839259959
GO:0043001,17,Down,8.68349464034992e-4,0.03535930616665995
GO:0006396,29,Up,8.699915565279667e-4,0.03535930616665995
GO:0086091,34,Down,8.739872767899426e-4,0.03535930616665995
GO:0071168,11,Up,8.816378725904603e-4,0.03535930616665995
GO:0000724,69,Up,9.322722140582677e-4,0.03609228120371131
GO:0045214,32,Down,9.38207840308676e-4,0.03609228120371131
GO:0030198,72,Down,9.807957157894269e-4,0.0369759984852614
GO:0006337,13,Up,0.0012395650105966785,0.04581529499950469
GO:0000375,17,Up,0.0013363520427851355,0.048159107693795215
GO:0007017,14,Up,0.0013644028644684406,0.048159107693795215
GO:0006412,106,Up,0.001401524540977011,0.048159107693795215
GO:0000380,15,Up,0.0014051729035324863,0.048159107693795215
GO:0006364,45,Up,0.0014390092963897279,0.04843808078026137
GO:0006325,91,Up,0.0015892030524821664,0.052555223753138314
GO:0000956,12,Up,0.0017832611737608113,0.05795598814722636
GO:0050714,32,Down,0.0018295011194766882,0.058451010342602666
GO:0042147,21,Down,0.0018969907528795316,0.05959712615296529
GO:0010971,20,Up,0.0020106060335179986,0.06213102251117094
GO:0097284,13,Down,0.0020894648351610064,0.06352647119804028
GO:0006284,25,Up,0.002170102437752421,0.06493084278037005
GO:0050873,23,Down,0.0022385988469893303,0.06593373166523261
GO:0007596,55,Down,0.0023534834315560773,0.06825101951512624
GO:0042391,26,Down,0.0027096088459484143,0.07699063073404405
GO:0072659,83,Down,0.0027432265550179466,0.07699063073404405
GO:0003382,11,Down,0.002793287387787728,0.07699063073404405
GO:0042060,50,Down,0.0028385534178168377,0.07699063073404405
GO:2000736,15,Up,0.002859068515322591,0.07699063073404405
GO:0006401,15,Up,0.0032570137915334044,0.0854506991565312
GO:0035025,20,Down,0.003263899384228247,0.0854506991565312
GO:0061036,17,Down,0.0033128070308053727,0.08554303086394696
GO:0006953,17,Down,0.00359060467819098,0.09134607942965824
GO:0008206,12,Down,0.0036344593937529803,0.09134607942965824
GO:0006334,42,Up,0.0037485458249209595,0.09270763939780194
GO:0001678,16,Down,0.003786996410414191,0.09270763939780194
GO:0006287,12,Up,0.003910520693895102,0.09450425010246497
GO:0071773,20,Down,0.0040494805820645305,0.09608599756569255
GO:0000387,16,Up,0.0040779203210904,0.09608599756569255
GO:0099175,21,Down,0.0041991656140775895,0.09772132324118835
GO:0009653,62,Down,0.004330124474171688,0.09954005650992236
GO:0006275,26,Up,0.0046587070568978785,0.10580316629219881
GO:0030168,39,Down,0.004753750932648622,0.10667643461955538
GO:0030071,27,Up,0.00520295352674181,0.11538314585774484
GO:0006406,24,Up,0.005450279143493265,0.11741756872751724
GO:0051028,45,Up,0.0054986400464753366,0.11741756872751724
GO:0060412,31,Down,0.005550388572326414,0.11741756872751724
GO:0046323,16,Down,0.005554412093051535,0.11741756872751724
GO:0008016,19,Down,0.0056407166010847155,0.11741756872751724
GO:0042311,34,Down,0.005668434352362901,0.11741756872751724
GO:1903078,38,Down,0.005934142092844472,0.12158541135882422
GO:0097242,11,Down,0.006013989354000158,0.12189645088484193
GO:0043279,10,Up,0.006121127314298368,0.12269959091590445
GO:0030539,14,Down,0.006183799011676882,0.12269959091590445
GO:0045785,40,Down,0.006620594000852439,0.12999812178757134
GO:0002009,15,Down,0.006794415228522605,0.13203580109036195
GO:0006813,31,Down,0.007039728466620316,0.1354070220365234
GO:0051592,39,Down,0.007131342290534222,0.13578363856219203
GO:0045740,27,Up,0.007313903286582071,0.13671978216544498
GO:0031507,39,Up,0.00732556923008485,0.13671978216544498
GO:1990403,13,Up,0.007776944793384675,0.1437209895640207
GO:1904871,10,Up,0.007865621095374791,0.143948502570694
GO:0086005,11,Down,0.008071033570525648,0.14628748346577736
GO:0009650,10,Up,0.008196368150534343,0.14714432346435463
GO:0061024,19,Down,0.008561885256531666,0.1509005962462437
GO:0045842,12,Up,0.008565710237850438,0.1509005962462437
GO:0031145,19,Up,0.008646115171201873,0.1509067323862549
GO:0055008,10,Down,0.00889895553906483,0.15149354075301683
GO:0003091,11,Down,0.008956415120298428,0.15149354075301683
GO:0000723,39,Up,0.00900073936059506,0.15149354075301683
GO:0048715,10,Up,0.009001207726439196,0.15149354075301683
GO:0042659,10,Up,0.009324917089318893,0.15555282047226648
GO:2000781,29,Up,0.009407582648677505,0.1555552043224307
GO:0035825,10,Up,0.009588854478311808,0.15645400397002576
GO:0035633,25,Down,0.009704032897787103,0.15645400397002576
GO:0007160,65,Down,0.009710938177449875,0.15645400397002576
GO:0035338,14,Down,0.009949224051286606,0.15893463844640046
GO:0071404,14,Down,0.010111931555266292,0.16017639480400808
GO:0032467,21,Up,0.010577356093744878,0.16615263530590912
GO:0009311,14,Up,0.010967986786495531,0.17086491812019897
GO:1904706,17,Down,0.011687999723523778,0.18058917605608463
GO:0003009,11,Down,0.011888104875365813,0.18218762349645984
GO:0060317,11,Down,0.012031599127817458,0.18289971254787024
GO:0002027,20,Down,0.012309342401923084,0.18562488342100011
GO:0097194,15,Up,0.012598633561580391,0.18767883060754134
GO:0021591,16,Up,0.012644674528996154,0.18767883060754134
GO:0007097,17,Up,0.012837041188688997,0.1890454893803028
GO:0032967,18,Down,0.013255452909738223,0.1923371375493027
GO:0070885,11,Down,0.013316900105852547,0.1923371375493027
GO:0006606,70,Up,0.013379917669399378,0.1923371375493027
GO:0086064,12,Down,0.013594518622141937,0.1923371375493027
GO:0042274,31,Up,0.013646353330640106,0.1923371375493027
GO:0034113,17,Down,0.013672772642762104,0.1923371375493027
GO:0030949,13,Down,0.013776635777932946,0.19236265512150819
GO:0005977,25,Down,0.01412841265330163,0.19582395479024683
GO:0007422,14,Down,0.014289521837860975,0.196611304119474
GO:0055007,19,Down,0.014720345767152563,0.20031446934052444
GO:0008610,13,Down,0.014771199595932571,0.20031446934052444
GO:0045216,17,Down,0.015126391985289336,0.2036660635162171
GO:0060037,18,Down,0.015697266369627375,0.20915564588418697
GO:0048255,24,Up,0.015756022130267666,0.20915564588418697
GO:0042098,32,Down,0.015978986171995595,0.21063209044903283
GO:0031053,11,Up,0.016239533920603795,0.2125800100023483
GO:0045165,42,Down,0.01637910555645174,0.21292837223387262
GO:0042632,57,Down,0.01662830293475801,0.21468733583574556
GO:0007020,16,Up,0.01701886762931322,0.21823513932826816
GO:0055119,14,Down,0.0173880163748073,0.21969804483662908
GO:0009306,26,Down,0.0176906390635813,0.21969804483662908
GO:0006888,36,Down,0.018014199701356332,0.21969804483662908
GO:0047496,11,Down,0.018032407149134358,0.21969804483662908
GO:1903779,15,Down,0.01808577678671041,0.21969804483662908
GO:0045667,10,Up,0.018128081537226337,0.21969804483662908
GO:0000381,27,Up,0.018257847061663085,0.21969804483662908
GO:0048333,10,Down,0.018263648576084722,0.21969804483662908
GO:0032781,17,Down,0.018371847534762602,0.21969804483662908
GO:0007064,13,Up,0.01841462606849642,0.21969804483662908
GO:1905168,27,Up,0.01848746847662876,0.21969804483662908
GO:0071285,10,Down,0.01853155921964139,0.21969804483662908
GO:0003180,33,Down,0.019858699898363537,0.2330273585336556
GO:0045921,18,Down,0.01990313247953239,0.2330273585336556
GO:0043392,11,Up,0.020098752173616174,0.23386511016831166
GO:0048024,10,Up,0.02056423872132085,0.2369144539925374
GO:1902476,45,Down,0.020612185917653122,0.2369144539925374
GO:0032148,13,Down,0.020765871896227927,0.23723435469327056
GO:0032801,12,Down,0.02212979207622969,0.2512931208656203
GO:0030901,16,Up,0.022642721075597082,0.2555780193263503
GO:0008154,14,Down,0.023217952167555456,0.26051095140382163
