ID,Description,NGenes,Direction,PValue,FDR
WP466,DNA replication,41,Up,1.0580294812092947e-12,4.5682273121421547e-10
WP2446,Retinoblastoma gene in cancer,87,Up,1.2886395802939787e-12,4.5682273121421547e-10
WP411,mRNA processing,125,Up,5.955378800907948e-10,1.407454523281245e-7
WP4016,DNA IR damage and cellular response via ATR,81,Up,4.5083120907799745e-8,7.990983180907505e-6
WP531,DNA mismatch repair,23,Up,3.643363593263142e-7,4.441352522969889e-5
WP179,Cell cycle,117,Up,3.931382377997087e-7,4.441352522969889e-5
WP4240,Regulation of sister chromatid separation at the metaphase anaphase transition,14,Up,4.3849742821987615e-7,4.441352522969889e-5
WP5465,Fanconi anemia,47,Up,9.674909059125923e-6,8.574388153650349e-4
WP4752,Base excision repair,31,Up,1.4737291653527943e-5,0.0011609710869279234
WP2361,Gastric cancer network 1,27,Up,6.0572654137815674e-5,0.0042946011783711316
WP5390,Pancreatic cancer subtypes,22,Down,8.021468361889968e-5,0.005170200971436352
WP3896,Dengue 2 interactions with complement and coagulation cascades,43,Down,1.2067098569033985e-4,0.007129644071204247
WP4946,DNA repair pathways full network,120,Up,1.714699978873435e-4,0.008373857913486148
WP45,G1 to S cell cycle control,62,Up,1.7969083920856636e-4,0.008373857913486148
WP383,Striated muscle contraction pathway,30,Down,1.8648288331237465e-4,0.008373857913486148
WP4022,Pyrimidine metabolism,82,Up,1.889728161012389e-4,0.008373857913486148
WP558,Complement and coagulation cascades,42,Down,2.556321540977522e-4,0.010661364544429782
WP1591,Heart development,42,Down,2.941822459491913e-4,0.011310912713804269
WP1601,Fluoropyrimidine activity,27,Up,3.0311331673100295e-4,0.011310912713804269
WP477,Cytoplasmic ribosomal proteins,87,Up,3.774674197936331e-4,0.013381220031684295
WP5117,Cohesin complex Cornelia de Lange syndrome,32,Up,4.074880972436433e-4,0.01375757433074967
WP2363,Gastric cancer network 2,30,Up,4.44455401056179e-4,0.014323585424946859
WP2516,ATM signaling,36,Up,5.23145511175471e-4,0.016126529018409084
WP2406,Cardiac progenitor differentiation,49,Down,0.001460676717339869,0.043150824691415304
WP183,Proteasome degradation,57,Up,0.002040206962764651,0.057860269464005507
WP4724,Omega 9 fatty acid synthesis,13,Down,0.0023471718518586824,0.06400557088337715
WP4718,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,43,Down,0.0027685005284214205,0.07269877313521433
WP4320,Effect of progerin on genes involved in progeria,26,Up,0.0032430770206748195,0.08211934313065883
WP5114,Nucleotide excision repair in xeroderma pigmentosum,66,Up,0.004129472628079939,0.10095848597616126
WP4917,Proximal tubule transport,42,Down,0.004330736789817157,0.1023497461326788
WP5090,Complement system in neuronal development and plasticity,85,Down,0.004619483715826998,0.10565206304907554
WP5123,Mitochondrial fatty acid oxidation disorders,19,Down,0.005267645969939484,0.11437848203568302
WP4753,Nucleotide excision repair,44,Up,0.005323681110264513,0.11437848203568302
WP3,Transcriptional activation by NRF2 in response to phytochemicals,14,Up,0.005801918313713871,0.12098706130656278
WP4721,Eicosanoid metabolism via lipooxygenases LOX,19,Down,0.006210755385322374,0.12581215909124466
WP3878,ATM signaling in development and disease,47,Up,0.0076614816901018614,0.14875303332460008
WP3959,DNA IR double strand breaks and cellular response via ATM,54,Up,0.007762852232736535,0.14875303332460008
WP707,DNA damage response,67,Up,0.008478911374412687,0.1558402850448074
WP5329,Cholesterol biosynthesis pathway in hepatocytes,38,Down,0.008707674931600866,0.1558402850448074
WP5356,Affected pathways in Duchenne muscular dystrophy,62,Down,0.008792117632993365,0.1558402850448074
WP4204,Tumor suppressor activity of SMARCB1,30,Up,0.009124089506406634,0.1577799868303001
WP4584,Biomarkers for pyrimidine metabolism disorders,14,Up,0.009689507264821293,0.16241061429861522
WP2118,Arrhythmogenic right ventricular cardiomyopathy,65,Down,0.00986594690039107,0.16241061429861522
WP2911,miRNA targets in ECM and membrane receptors,22,Down,0.01007907902558402,0.16241061429861522
WP4723,Omega 3 omega 6 fatty acid synthesis,14,Down,0.010992240869278112,0.17121341902695367
WP5283,Chronic hyperglycemia impairment of neuron function,35,Down,0.011148922590952712,0.17121341902695367
WP1530,miRNA regulation of DNA damage response,67,Up,0.011349831726751513,0.17121341902695367
