"original_id","symbol","mapped"
"ENSG00000000003","TSPAN6",TRUE
"ENSG00000000419","DPM1",TRUE
"ENSG00000000457","SCYL3",TRUE
"ENSG00000000460","FIRRM",TRUE
"ENSG00000000971","CFH",TRUE
"ENSG00000001036","FUCA2",TRUE
"ENSG00000001084","GCLC",TRUE
"ENSG00000001167","NFYA",TRUE
"ENSG00000001460","STPG1",TRUE
"ENSG00000001461","NIPAL3",TRUE
"ENSG00000001497","LAS1L",TRUE
"ENSG00000001561","ENPP4",TRUE
"ENSG00000001617","SEMA3F",TRUE
"ENSG00000001626","CFTR",TRUE
"ENSG00000001629","ANKIB1",TRUE
"ENSG00000001630","CYP51A1",TRUE
"ENSG00000001631","KRIT1",TRUE
"ENSG00000002016","RAD52",TRUE
"ENSG00000002330","BAD",TRUE
"ENSG00000002549","LAP3",TRUE
"ENSG00000002586","CD99",TRUE
"ENSG00000002587","HS3ST1",TRUE
"ENSG00000002746","HECW1",TRUE
"ENSG00000002822","MAD1L1",TRUE
"ENSG00000002834","LASP1",TRUE
"ENSG00000002919","SNX11",TRUE
"ENSG00000002933","TMEM176A",TRUE
"ENSG00000003056","M6PR",TRUE
"ENSG00000003096","KLHL13",TRUE
"ENSG00000003137","CYP26B1",TRUE
"ENSG00000003147","ICA1",TRUE
"ENSG00000003249","DBNDD1",TRUE
"ENSG00000003393","ALS2",TRUE
"ENSG00000003400","CASP10",TRUE
"ENSG00000003402","CFLAR",TRUE
"ENSG00000003436","TFPI",TRUE
"ENSG00000003509","NDUFAF7",TRUE
"ENSG00000003756","RBM5",TRUE
"ENSG00000003987","MTMR7",TRUE
"ENSG00000003989","SLC7A2",TRUE
"ENSG00000004059","ARF5",TRUE
"ENSG00000004139","SARM1",TRUE
"ENSG00000004142","POLDIP2",TRUE
"ENSG00000004399","PLXND1",TRUE
"ENSG00000004455","AK2",TRUE
"ENSG00000004478","FKBP4",TRUE
"ENSG00000004487","KDM1A",TRUE
"ENSG00000004534","RBM6",TRUE
"ENSG00000004660","CAMKK1",TRUE
"ENSG00000004700","RECQL",TRUE
"ENSG00000004766","VPS50",TRUE
"ENSG00000004776","HSPB6",TRUE
"ENSG00000004777","ARHGAP33",TRUE
"ENSG00000004779","NDUFAB1",TRUE
"ENSG00000004799","PDK4",TRUE
"ENSG00000004864","SLC25A13",TRUE
"ENSG00000004866","ST7",TRUE
"ENSG00000004897","CDC27",TRUE
"ENSG00000004939","SLC4A1",TRUE
"ENSG00000004948","CALCR",TRUE
"ENSG00000004961","HCCS",TRUE
"ENSG00000004975","DVL2",TRUE
"ENSG00000005001","PRSS22",TRUE
"ENSG00000005007","UPF1",TRUE
"ENSG00000005020","SKAP2",TRUE
"ENSG00000005022","SLC25A5",TRUE
"ENSG00000005059","MCUB",TRUE
"ENSG00000005075","POLR2J",TRUE
"ENSG00000005100","DHX33",TRUE
"ENSG00000005102","MEOX1",TRUE
"ENSG00000005108","THSD7A",TRUE
"ENSG00000005156","LIG3",TRUE
"ENSG00000005175","RPAP3",TRUE
"ENSG00000005187","ACSM3",TRUE
"ENSG00000005189","REXO5",TRUE
"ENSG00000005194","CIAPIN1",TRUE
"ENSG00000005206","SPPL2B",TRUE
"ENSG00000005238","ATOSB",TRUE
