ID,NES,pval,padj,size,leadingEdge
GO:0051301,2.474186433805807,1.7688176967928175e-16,3.334221358454461e-13,202,CCNB1;CDCA5;BUB1B;BIRC5;TACC3;SMC4;TIMELESS;CDK1;MAD2L1;NEK2;UBE2C;KIF2C;CDC6;BUB1;CCNA2;TPX2;CCNB2;CCNE2;TUBA1B;CDC20;CDC25C;CDK4;NCAPG2;CENPF;MAD2L2;CENPE;CDC25A;KNSTRN;SGO1;CKS1B;NCAPH;PTTG1;CDT1;HMGA2;AURKA;CKS2;RCC1;SMC2;BUB3;SMC1A;RUVBL1;KIF20B;CKAP5;TUBB;CENPX;CDC25B;HELLS;TUBA1A;TUBA1C;BCAR1;UBE2S;CCND3;CDC7;LIG1;ANAPC11;VPS4A;PSRC1;RAD21;CDK2;WEE1;SGO2
GO:0000278,2.605164014835102,2.0959490836065e-13,1.9754320112991262e-10,78,MYBL2;CDCA5;BIRC5;NEK2;TPX2;TUBA1B;PLK1;WDHD1;CENPF;CENPE;KIF22;AURKB;PKMYT1;CDT1;KIF15;ABL1;AURKA;POLE;PBK;TUBB;CIT;CDC25B;XRCC2;TUBGCP2;TUBB2B;TUBA1A;TUBA1C;CEP250;TUBB4B;TUBG1;ANAPC11;NLE1;TUBB2A;DCTN3;BAP1;RAN;TUBGCP6;PPP5C
GO:0007094,2.512024163516203,1.5609791674662198e-10,8.141763734414782e-8,16,BUB1B;BIRC5;TTK;MAD2L1;BUB1;TRIP13;CDC20;PLK1;CENPF;MAD2L2;BUB3
GO:0006281,2.2121652160407295,1.727695222156983e-10,8.141763734414782e-8,172,FOXM1;FEN1;RFC2;TIMELESS;CDK1;USP1;WDHD1;CLSPN;KIF22;RPA1;FANCA;RRM1;MDC1;CHAF1A;TOPBP1;PTTG1;POLE2;RFC4;EXO1;BRIP1;SMC1A;RUVBL1;PARP1;ERCC1;UVRAG;TRIM28;XRCC2;RFC5;LIG1;RFC3;TOP3B;XRCC3;UBE2T;BRCA1;TDP1;CDK2;MSH2;CSNK1E;RUVBL2;CHEK1;RAD54L;NABP2;EP400;TOP3A;NONO;POLD1;RECQL4;APEX1;POLA1;XPA;PDS5B;TTF2;FZR1;SMC3;CENPS;FANCC;RAD51;MSH6;RMI2;MRE11;ATRIP;MMS19;MUTYH;MCRS1;RAD9A;RPS3;HDGFL2;RAD18;RPA3;STUB1;PAXIP1;UPF1;FANCG;RFC1;SHLD2;CHD1L
GO:0006260,2.4738150401563206,2.679515525105867e-10,1.0101773529649118e-7,60,MCM4;FEN1;MCM7;CDK1;MCM6;MCM2;DBF4;CHTF18;RPA1;CHAF1A;POLE2;MCM5;POLE;RNASEH2A;POLE3;RBBP4;RFC5;RFC3;CDK2;DSCC1;DHX9;RMI1;CHEK1;POLD1;RECQL4;SET;POLA1;ORC5;POLA2;POLD2;NAP1L1;RMI2
GO:0007059,2.4847978000668074,1.0797328943211057e-9,3.3921608429921404e-7,51,BIRC5;TTK;NEK2;DLGAP5;BUB1;TOP2A;MKI67;CENPF;CENPE;KNSTRN;SGO1;HJURP;RCC1;DIAPH3;UVRAG;CENPX;ESCO2;ERCC2;TOP3B;RAD21;BRCA1;SGO2
GO:0007052,2.489246689760399,1.661280878264974e-9,4.4735920793278226e-7,33,CCNB1;BIRC5;TTK;TACC3;DLGAP5;KIF4A;PLK1;WDR62;CENPE;AURKB;AURKA;RCC1;CKAP5;TUBG1;PCNT;STMN1
GO:0006270,2.4437905459094136,4.585810441200976e-9,9.60472520184871e-7,24,MCM7;ORC1;MCM6;CDC6;MCM2;CCNE2;TOPBP1;CDC45;LRWD1;MCM5;MCM10;MCM3;PRIM1;PRIM2;POLA1;ORC5;POLA2;CCNE1;ORC6
GO:0000398,2.3021664977638583,4.281217865770653e-9,9.60472520184871e-7,94,SNRPA;HNRNPM;RBMX;HNRNPF;SRSF1;SNRPB;TRA2B;HNRNPA2B1;SNRNP200;SNRNP70;RNPS1;SNRPD1;HNRNPA1;DDX41;U2AF2;PRPF38A;PRPF8;EFTUD2;SF3B5;HNRNPK;SF3B4;HNRNPC;SF3B3;LSM7;HNRNPR;PHF5A;SRSF6;SNRPA1;DHX15;HNRNPH1;SNRNP40;DHX8;SF3A1;LSM4;DHX38;HNRNPU;DDX5;SNU13;TXNL4A;XAB2;SNRPD3;SF3A2;SF3A3;AQR;SRSF10;PRPF4;SNRPF;SRSF5;METTL3;EIF4A3;PPIE;SNRPE;SRRM2
GO:0006302,2.31552696296014,4.908958536409187e-8,9.253386841131318e-6,57,CDCA5;FEN1;TRIP13;REC8;PLK1;MAD2L2;H2AX;NSD2;BRIP1;TP53;PARP1;ESCO2;MTA1;PRKDC;RAD21;BRCA1;TDP1;MSH2;BRCA2;BABAM1;CHEK2;PPP5C;XRCC5;KAT5;LIG3
GO:0000076,2.210661459544209,3.0110561617666424e-7,5.1598553317546556e-5,10,TIMELESS;CDC6;CLSPN;MDC1;TOPBP1;CDC45;CDT1
GO:0140588,2.1026052722257402,7.323027565501709e-7,1.1503255800808935e-4,91,MCM4;MCM7;MCM6;MCM2;ATAD2;NSMCE1;BRIP1;MCM5;RUVBL1;MCM8;CHD3;SNRNP200;ERCC2;MCM3;DDX41;VPS4A;ALPL;G3BP1;RAD21;DHX9;RUVBL2;RAD54L;EIF4A1;DHX15;DHX8;RECQL4;PCBP2;DHX38;DDX5;DDX20;SPG7;DDX17;AQR;CTCF;CHD7;UPF1;DDX21;SMC6;MOV10;EIF4A3;CHD1L
GO:0043484,2.2954305010839837,7.95589855287029e-7,1.153605290166192e-4,31,CLK1;AFF2;KHDRBS1;HNRNPF;PTBP1;SRSF1;TRA2B;FUS;SNRNP70;HNRNPA1;SF3B5;SF3B3;HNRNPL;PTBP2;HNRNPH1;CLK4;CDK11B;KAT2A;CELF1
GO:0000086,2.2108745143483945,1.7226520565133587e-6,2.319427947519772e-4,33,CCNB1;FOXM1;BIRC5;CDK1;CCNA2;PLK1;CDC25C;CDC25A;KHDRBS1;PKMYT1;AURKA;CDC25B;CDK2;WEE1;CHEK1;CALM3
GO:0051321,2.1983710317123113,2.3988163270843487e-6,3.0145125177026647e-4,33,NEK2;REC8;H2AX;RPA1;PKMYT1;EXO1;BUB3;SMC1A;XRCC2;TUBGCP2;CDK2;SGO2;RAD54L;TOP3A;TUBGCP6;STAG2;SMC3;RAD51;TUBGCP5;TUBGCP3
GO:0090307,2.2142121956942686,2.7645092684237195e-6,3.2569374818616943e-4,25,MYBL2;UHRF1;BIRC5;NEK2;TPX2;CDC20;AURKB;KIF15;SMC1A;CHEK2;STAG2;AAAS;KPNB1;SMC3;FLNA;STAG1
GO:0009653,-2.0924200808971785,4.179022160089755e-6,4.6337981010406985e-4,62,SFRP5;KRT18;GATA3;F2R;DKK3;PITX2;FGF1;FOXL2;FOXA1;MPZL2;FBN2;FOXQ1;FBN1;FRAS1;FOXA2;MCAM;ONECUT1;CLTCL1;MRPL40;GPC3;FGF18;CST6
GO:0000724,2.111250463518399,4.431116943395664e-6,4.6403641323893485e-4,69,UHRF1;FEN1;REC8;H2AX;RPA1;NSMCE1;TOPBP1;MCM8;RFWD3;XRCC2;XRCC3;PPP4C;BRCA1;RMI1;BRCA2;SFPQ;NABP2;TOP3A;RECQL4;KAT5;LIG3;KDM4D;RAD51;RMI2;MRE11
GO:0030174,2.1273916810561366,7.015168150991142e-6,6.959785244535949e-4,10,MCM4;MCM7;MCM6;MCM2;CDT1;MCM5;MCM3;GMNN
GO:0000070,2.1201358961923433,8.430532963407692e-6,7.94577731801175e-4,13,SMC4;ESPL1;MAD2L1;PLK1;NCAPG2;KNSTRN;SMC1A;TUBG1
GO:0008380,2.023522423526233,9.06772265416015e-6,8.139360572900897e-4,77,AFF2;SRSF7;SRSF2;PTBP1;CCAR2;SNRPB;SRSF3;FUS;PUS1;RNPS1;SNRPD1;PPIL2;PRPF8;PRMT1;THRAP3;YBX1;SF3B4;HNRNPC;SF3B3;SFPQ;KHSRP;SNRPA1;DHX15;SNRNP40;DHX8;NONO;LSM4;TTF2
GO:0045109,-2.1971162271106697,9.834843148941784e-6,8.426672425343303e-4,13,DSP;KRT7;KRT19;SHH;KRT17;KRT6A
GO:0006397,1.9632028532646923,1.1853260638288373e-5,9.714520131814602e-4,81,AFF2;SRSF7;SRSF2;KHDRBS1;PTBP1;SRSF1;CCAR2;SRSF3;SRSF9;PUS1;HNRNPA2B1;PPIL2;U2AF2;PRPF8;THRAP3;YBX1;SF3B4;SFPQ;KHSRP;HNRNPL;HNRNPR;NUDT21;DHX15;NONO;CMTR1;SF3A1;TTF2;ADAR;XRN2;CELF1;PABPN1;SF3A2;CPSF1;SF3A3;PPP1R8;SUGP2;SRSF5;METTL3;PRKACA
GO:0002181,2.012672365405637,1.401078281019887e-5,0.0011004302332177029,83,RPS2;RPL8;RPSA;RACK1;RPS28;RPS15;RPL13;RPS16;RPS19;RPS26;RPS10;SARS1;RPLP1;DRG2;RPLP0;RPS3;RPL10A;RPL36;RPS5;RPL35;RPL23A;RPS9;RPLP2;RPL11;RPL18A;RPL29;RPL3;RPS29;RPS23;RPS18;RPS7;RPL13A;RPS15A;RPS4X;RPL27;RPS12;RPL18;UBA52;RPL14;RPL27A;RPL32;RPL12;RPS11;RPL4;RPL7A;RPL41;RPL19;RPL24;RPS21;RPS17;RPS8;RPL7;RPS20;RPS14;RPL21;RPL36A;RPL9;RPS25;RPL22;RPL6;RPL37;RPL23;RPL10;RPS6;RPS24;FAU
GO:0036297,2.1520651477904504,1.6694738181804586e-05,0.0012587832589080659,32,DCLRE1B;FANCA;FANCI;ERCC1;FAAP20;CENPX;RFWD3;FANCD2;XRCC3;FANCE;NEIL3;HROB;FAAP100;FANCB;CENPS;FANCC;RAD51;DCLRE1A
GO:0010971,2.1693113049689727,1.8443656861329793e-5,0.00133716512244641,20,HSPA2;CCNB1;CDK1;CDC25C;CDK4;CDC25A;RRM1;CDC25B;CDC7
GO:0043588,-2.1831402898939625,2.4032970636559923e-5,0.001677857394441313,29,DSP;ITGB6;ADAMTS2;WNT10A;PDGFA;ITGA3;FRAS1;RIPK4;TNFSF13B;COL5A3;DHCR24;JUP
GO:0006325,1.919288192593546,2.855981448033481e-5,0.0019226875105511111,91,IKZF1;H2AZ1;HMGB2;RPA1;MDC1;TOPBP1;LRWD1;HMGA2;SNAI2;EZH2;SUV39H1;TRIM28;RBL1;HDAC7;H2AZ2;HIRIP3;SOX2;APBB1;ASXL1;EP400;HMGN5;RELA;HDAC3;HNRNPU;SUV39H2;UBN1;MTA2;KANSL3;BUD23;RTF1;EHMT1;ZMYND8;PARP10;CBX2;HMGN1;TP53BP1;H2BC11;SAFB;RNF40;RAD54L2;BANF1;KANSL1
GO:0006261,2.129059653892535,3.3708243384402845e-5,0.002191035819986185,22,RFC2;WDHD1;RPA1;POLE2;RFC4;POLE;POLE3;RFC5;RFC3;POLD3
GO:0042060,-2.025850519097955,5.2229537258930355e-5,0.003281755924436124,50,AQP1;DSP;ITGB6;FN1;ITGB3;PPARA;FGF1;PDGFA;MACF1;ERBB3;PPP3CA;KRT6A;IGF1;ALOX15;YAP1;WNT5A;CDKN1A;CFLAR;NOG
GO:0098609,-1.7822408314662217,9.161463542310866e-5,0.005570760895889026,123,DSP;ITGB6;DSG2;DSC2;DSC3;PERP;KRT18;TJP2;ITGA2;F11R;CD24;CDH1;CTNND2;TNXB;ITGB5;ITGA3;MPZL2;ITGB1;PDLIM5;PKHD1;VEGFA;FNDC3A;TJP3;ROBO2;ITGAV;VEZT;PKP2;JUP;PKD1L1;ITGB4
GO:0007017,2.002940933046784,1.5646778253945829e-4,0.009216930315214965,14,TUBA1B;GTSE1;KIFC3;TUBB;TUBB2B;TUBA1A;TUBA1C;DCTN3
GO:0045987,-2.040836976847223,1.8276620858803934e-4,0.010372574258514799,12,PTGS2;ITGA2;F2R;CHRM3
GO:0007080,2.0189375368289726,1.8709152508726958e-4,0.010372574258514799,22,CCNB1;CDCA5;KIF2C;CENPE;KIF22;NUP62;VPS4A;PSRC1
