ID,Description,NES,pval,padj,size,leadingEdge
WP2446,Retinoblastoma gene in cancer,2.9026307828312223,2.447919191405913e-20,1.7355747067067923e-17,87,CCNB1;MCM4;TTK;RRM2;MCM7;CDK1;ORC1;MCM6;CCNA2;TOP2A;KIF4A;CCNB2;CCNE2;H2AZ1;DHFR;CDK4;PLK4;HMGB2;CDC25A;RPA1;RRM1;CDC45;TYMS;E2F1;POLE2;CDT1;ABL1;RFC4;POLE;SMC2;TP53;SMC1A;SUV39H1;DNMT1;CDC25B;RBBP4;RFC5;PRKDC;CCND3;MCM3;CDC7;PCNA;RFC3;HMGB1;PRIM1;POLD3;STMN1;CDK2;WEE1;ANLN;E2F2;CHEK1;MYC
WP411,mRNA processing,2.5458077889541593,5.619976456552013e-15,1.9922816538476886e-12,125,CLK1;SNRPA;SRSF7;SRSF2;HNRNPM;RBMX;PTBP1;SRSF1;SNRPB;HNRNPD;SMC1A;SRSF3;TRA2B;SRSF9;FUS;HNRNPA2B1;SNRNP70;RNPS1;SNRPD1;HNRNPA1;U2AF2;PRPF8;EFTUD2;HNRNPAB;SF3B5;HNRNPK;PRMT1;DHX9;YBX1;SF3B4;HNRNPC;SF3B3;SFPQ;LSM7;HNRNPL;HNRNPR;NUDT21;CD2BP2;PHF5A;PTBP2;SRSF6;SNRPA1;DHX15;DNAJC8;HNRNPH1;SNRNP40;DHX8;NONO;PSKH1;SF3A1;CLK4;PCBP2;DHX38;HNRNPU;XRN2;CELF1;SNU13;DDX20;TXNL4A;PABPN1;SFSWAP;SNRPD3;SF3A2;CPSF1;SF3A3;SRSF10;PRPF4;PPM1G;RBM17;SUGP2;SNRPF;SRSF5;CSTF2;CPSF3;METTL3;SNRPE
WP4016,DNA IR damage and cellular response via ATR,2.616494773893685,9.323744899704613e-14,2.2035117112968568e-11,81,FOXM1;FEN1;CDK1;MCM2;PLK1;USP1;CDC25C;H2AX;CLSPN;RPA1;FANCA;MDC1;TOPBP1;CDC45;E2F1;EXO1;BRIP1;FANCI;TP53;SMC1A;PARP1;TRIM28;RFWD3;FANCD2;PRKDC;PCNA;BRCA1;TDP1;CDK2;MLH1;MSH2;RMI1;BRCA2;CHEK1;TOP3A;RECQL4;CHEK2;XRCC5;XPA;SMARCC2
WP179,Cell cycle,2.4977878626720758,2.2547938704381685e-13,3.9966221353516536e-11,117,CCNB1;MCM4;TTK;MCM7;CDK1;ESPL1;ORC1;MCM6;CDC6;BUB1;CCNA2;MCM2;CCNB2;CCNE2;CDC20;PLK1;CDC25C;CDK4;DBF4;MAD2L2;CDC25A;CDC45;PKMYT1;PTTG1;E2F1;ABL1;MCM5;BUB3;TP53;SMC1A;RBL1;CDC25B;ZBTB17;PRKDC;CCND3;MCM3;CDC7;PCNA;ANAPC11;RAD21;CDK2;WEE1;E2F5;E2F2;CHEK1;MYC;ANAPC7;CHEK2;STAG2;ORC5;YWHAE;CDKN2C;CCNE1;FZR1;SMC3;ORC6;GADD45B;YWHAQ;GADD45G;ANAPC2
WP466,DNA replication,2.6884110292457435,4.3133436892620733e-13,6.116321351373621e-11,41,MCM4;RFC2;MCM7;ORC1;MCM6;CDC6;MCM2;DBF4;RPA1;CDC45;POLE2;CDT1;RFC4;MCM5;POLE;MCM10;RFC5;MCM3;CDC7;PCNA;RFC3;PRIM1;POLD3;CDK2;GMNN;PRIM2;POLD1;POLA1;ORC5;POLA2;ORC6;POLD2
WP2361,Gastric cancer network 1,2.332403454884902,8.479282098074552e-8,1.0019685012558096e-5,27,MYBL2;MCM4;UBE2C;TOP2A;TPX2;CENPF;KIF15;AURKA;RUVBL1;KIF20B
WP5465,Fanconi anemia,2.310424911555921,1.6927770012764692e-7,1.714541277007167e-5,47,UHRF1;MCM2;USP1;DCLRE1B;MAD2L2;FANCA;BRIP1;FANCI;ERCC1;FAAP20;CENPX;RFWD3;XRCC2;FANCD2;FANCE;UBE2T;SMARCA4;BRCA1;BRCA2;EGFR;FAAP100;FANCB;CENPS;FANCC;RAD51;MRE11
WP4946,DNA repair pathways full network,2.0885532893832606,3.1609764360523204e-7,2.801415366451369e-5,120,FEN1;RFC2;USP1;H2AX;RPA1;FANCA;POLE2;RFC4;EXO1;BRIP1;POLE;FANCI;PARP1;ERCC1;CENPX;FANCD2;POLE3;UNG;ERCC2;RFC5;PRKDC;LIG1;PCNA;RFC3;HMGB1;POLD3;FANCE;BRCA1;MLH1;MSH2;BRCA2;CHEK1;NEIL3;APEX2;POLD1;APEX1;XRCC5;XPA;LIG3;FAAP100;FANCB;XRCC6;CENPS;FANCC;POLD2;RAD51;MSH6
WP45,G1 to S cell cycle control,2.2285557927098925,7.399707785427685e-7,5.8293253554091425e-5,62,CCNB1;MCM4;MCM7;CDK1;ORC1;MCM6;MCM2;CCNE2;CDK4;CDC25A;RPA1;CDC45;E2F1;POLE2;MCM5;POLE;TP53;CCND3;MCM3;PCNA;PRIM1;CDK2;WEE1;E2F2;MYC;PRIM2;ORC5;POLA2;CDKN2C;CCNE1;ORC6
WP531,DNA mismatch repair,2.310971033688486,8.67447709280778e-7,6.150204258800716e-5,23,RFC2;RPA1;POLE2;RFC4;EXO1;POLE;POLE3;RFC5;LIG1;PCNA;RFC3;POLD3;MLH1;MSH2;POLD1;POLD2;MSH6
WP4022,Pyrimidine metabolism,2.1090192589557226,1.2934981660276144e-6,8.337183633759805e-5,82,RRM2;TK1;RRM1;TYMS;POLE2;POLE;POLR3H;NME4;DCTPP1;POLE3;POLR2E;PRIM1;POLD3;DHODH;CAD;POLR2J;DPYD;NME7;PRIM2;POLD1;POLA1;UCK1;POLR2L;DTYMK;POLA2;NT5C;POLD2;POLR3K;NME1;POLR1A;POLR1F;POLR1E;POLR2J2;UMPS;DCK;POLR2G;POLR2C;UCK2;NME1-NME2;TK2;UCKL1;POLR1H;DUT;POLR2D
WP3896,Dengue 2 interactions with complement and coagulation cascades,-2.191106037298696,2.7284806604054077e-6,1.6120773235228617e-4,43,CLU;F2R;FGB;SERPINF2;APOA2;CFB;SERPIND1;LMAN1;SERPINE1;CD46;SERPINA1;SERPINA5;F3;THBD;C3;CD55;C6;F2
