ID,direction,Description,cam_FDR,fg_FDR,cam_stat,fg_NES
GO:0043588,Down,skin development,0.00454030121099256,0.00167785739444131,NA,-2.1831402898939625
GO:0098911,Down,regulation of ventricular cardiac muscle cell action potential,0.00766951942440374,0.01655781936713876,NA,-1.996324450014016
GO:0003272,Down,endocardial cushion formation,0.01058917743770962,0.02038809404044827,NA,-1.9781535906317929
GO:0055091,Down,phospholipid homeostasis,0.02505208779341497,0.01348731155661093,NA,-2.0189881242472083
GO:0045109,Down,intermediate filament organization,0.02905261105792873,8.426672425343303e-4,NA,-2.1971162271106697
GO:0060048,Down,cardiac muscle contraction,0.02905261105792873,0.02657814962549842,NA,-1.934722762202975
GO:0055010,Down,ventricular cardiac muscle tissue morphogenesis,0.03118328326484352,0.03629779166795273,NA,-1.938099461419904
GO:0086091,Down,regulation of heart rate by cardiac conduction,0.03535930616665995,0.01608627466337337,NA,-1.921637731769462
GO:0043001,Down,Golgi to plasma membrane protein transport,0.03535930616665995,0.04394086434725393,NA,-1.86711147212507
GO:0045214,Down,sarcomere organization,0.03609228120371131,0.0439980551270253,NA,-1.8886712968299253
GO:0000278,Up,mitotic cell cycle,7.519233982907349e-5,1.9754320112991262e-10,NA,2.605164014835102
GO:0006270,Up,DNA replication initiation,7.519233982907349e-5,9.60472520184871e-7,NA,2.4437905459094136
GO:0000398,Up,"mRNA splicing, via spliceosome",7.519233982907349e-5,9.60472520184871e-7,NA,2.3021664977638583
GO:0051321,Up,meiotic cell cycle,3.1108826359489e-4,3.0145125177026647e-4,NA,2.1983710317123113
GO:0090307,Up,mitotic spindle assembly,4.443415245474646e-4,3.2569374818616943e-4,NA,2.2142121956942686
GO:0007094,Up,mitotic spindle assembly checkpoint signaling,4.454850392645474e-4,8.141763734414782e-8,NA,2.512024163516203
GO:0007059,Up,chromosome segregation,4.454850392645474e-4,3.3921608429921404e-7,NA,2.4847978000668074
GO:0051301,Up,cell division,0.00186872419350325,3.334221358454461e-13,NA,2.474186433805807
GO:0000070,Up,mitotic sister chromatid segregation,0.00235517370028439,7.94577731801175e-4,NA,2.1201358961923433
GO:0006913,Up,nucleocytoplasmic transport,0.00352763967176144,0.02657814962549842,NA,1.9018576836827177
GO:0043484,Up,regulation of RNA splicing,0.00454030121099256,1.153605290166192e-4,NA,2.2954305010839837
GO:0000076,Up,DNA replication checkpoint signaling,0.00685143024808874,5.159855331754656e-5,NA,2.210661459544209
GO:0002181,Up,cytoplasmic translation,0.01344088416251917,0.0011004302332177,NA,2.012672365405637
GO:0036297,Up,interstrand cross-link repair,0.01885066239063509,0.00125878325890806,NA,2.1520651477904504
GO:0000086,Up,G2/M transition of mitotic cell cycle,0.02905261105792873,2.319427947519772e-4,NA,2.2108745143483945
GO:0140588,Up,chromatin looping,0.03118328326484352,1.1503255800808937e-4,NA,2.10260527222574
GO:0007051,Up,spindle organization,0.03361051426884951,0.01608627466337337,NA,1.9494500399775232
GO:0071168,Up,protein localization to chromatin,0.03535930616665995,0.01348731155661093,NA,1.9619202869926595
GO:0007017,Up,microtubule-based process,0.04815910769379521,0.00921693031521496,NA,2.002940933046784
