ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,cluster
WP5390,Pancreatic cancer subtypes,Down,0.00517020097143635,0.02407945089470506,-1.953098507414206,WP,22,1
WP3896,Dengue 2 interactions with complement and coagulation cascades,Down,0.00712964407120424,1.6120773235228617e-4,-2.191106037298696,WP,43,2
WP558,Complement and coagulation cascades,Down,0.01066136454442978,8.862767441197182e-4,-2.127750534203499,WP,42,2
WP383,Striated muscle contraction pathway,Down,0.00837385791348614,0.00586821692795064,-2.017014803787248,WP,30,3
GO:0060048,cardiac muscle contraction,Down,0.02905261105792873,0.02657814962549842,-1.934722762202975,GO,36,3
GO:0055010,ventricular cardiac muscle tissue morphogenesis,Down,0.03118328326484352,0.03629779166795273,-1.938099461419904,GO,22,3
GO:0045214,sarcomere organization,Down,0.03609228120371131,0.0439980551270253,-1.8886712968299253,GO,32,3
WP1591,Heart development,Down,0.01131091271380426,0.010709592300545,-1.9254034732251648,WP,42,4
GO:0043588,skin development,Down,0.00454030121099256,0.00167785739444131,-2.1831402898939625,GO,29,5
GO:0098911,regulation of ventricular cardiac muscle cell action potential,Down,0.00766951942440374,0.01655781936713876,-1.996324450014016,GO,11,6
GO:0086091,regulation of heart rate by cardiac conduction,Down,0.03535930616665995,0.01608627466337337,-1.921637731769462,GO,34,6
GO:0003272,endocardial cushion formation,Down,0.01058917743770962,0.02038809404044827,-1.9781535906317929,GO,12,7
GO:0055091,phospholipid homeostasis,Down,0.02505208779341497,0.01348731155661093,-2.0189881242472083,GO,11,8
GO:0045109,intermediate filament organization,Down,0.02905261105792873,8.426672425343303e-4,-2.1971162271106697,GO,13,9
GO:0043001,Golgi to plasma membrane protein transport,Down,0.03535930616665995,0.04394086434725393,-1.86711147212507,GO,17,10
