from,to,jaccard,k
WP2446,WP466,0.19626168224299065,21
WP2446,WP179,0.25153374233128833,41
WP2446,WP45,0.30701754385964913,35
WP466,WP531,0.30612244897959184,15
WP466,WP45,0.2875,23
WP466,GO:0006270,0.3829787234042553,18
WP411,GO:0000398,0.3860759493670886,61
WP4016,WP4946,0.17543859649122806,30
WP4016,WP2516,0.19387755102040816,19
WP179,WP45,0.3560606060606061,47
WP179,GO:0051301,0.17279411764705882,47
WP531,WP4752,0.22727272727272727,10
WP531,WP4946,0.19166666666666668,23
WP4240,WP5117,0.15,6
WP4240,GO:0007094,0.30434782608695654,7
WP5465,WP4946,0.21897810218978103,30
WP5465,GO:0036297,0.3620689655172414,21
WP4752,WP4946,0.25833333333333336,31
WP4946,GO:0036297,0.15151515151515152,20
WP45,GO:0006270,0.2463768115942029,17
WP477,GO:0002181,0.8681318681318682,79
