cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES
1,WP5390,Pancreatic cancer subtypes,Down,0.00517020097143635,0.02407945089470506,-1.953098507414206,WP,22,0.02407945089470506,1.953098507414206
2,WP3896,Dengue 2 interactions with complement and coagulation cascades,Down,0.00712964407120424,1.6120773235228617e-4,-2.191106037298696,WP,43,0.00712964407120424,2.191106037298696
3,WP383,Striated muscle contraction pathway,Down,0.00837385791348614,0.00586821692795064,-2.017014803787248,WP,30,0.00837385791348614,2.017014803787248
4,WP1591,Heart development,Down,0.01131091271380426,0.010709592300545,-1.9254034732251648,WP,42,0.01131091271380426,1.9254034732251648
5,GO:0043588,skin development,Down,0.00454030121099256,0.00167785739444131,-2.1831402898939625,GO,29,0.00454030121099256,2.1831402898939625
6,GO:0098911,regulation of ventricular cardiac muscle cell action potential,Down,0.00766951942440374,0.01655781936713876,-1.996324450014016,GO,11,0.01655781936713876,1.996324450014016
7,GO:0003272,endocardial cushion formation,Down,0.01058917743770962,0.02038809404044827,-1.9781535906317929,GO,12,0.02038809404044827,1.9781535906317929
8,GO:0055091,phospholipid homeostasis,Down,0.02505208779341497,0.01348731155661093,-2.0189881242472083,GO,11,0.02505208779341497,2.0189881242472083
9,GO:0045109,intermediate filament organization,Down,0.02905261105792873,8.426672425343303e-4,-2.1971162271106697,GO,13,0.02905261105792873,2.1971162271106697
10,GO:0043001,Golgi to plasma membrane protein transport,Down,0.03535930616665995,0.04394086434725393,-1.86711147212507,GO,17,0.04394086434725393,1.86711147212507
