"original_id","symbol","mapped"
"653635","WASH7P",TRUE
"102466751","MIR6859-1",TRUE
"100996442","WASH9P",TRUE
"729737","LOC729737",TRUE
"102723897","LOC102723897",TRUE
"102465909","MIR6859-2",TRUE
"100132287","LOC100132287",TRUE
"113219467","MIR12136",TRUE
"100133331",NA,FALSE
"107984841",NA,FALSE
"107984847",NA,FALSE
"107984849",NA,FALSE
"100288069","LOC100288069",TRUE
"105378580","LINC01409",TRUE
"400728","FAM87B",TRUE
"79854","LINC00115",TRUE
"643837","LINC01128",TRUE
"284600","LOC284600",TRUE
"148398","SAMD11",TRUE
"26155","NOC2L",TRUE
"339451","KLHL17",TRUE
"57801","HES4",TRUE
"9636","ISG15",TRUE
"375790","AGRN",TRUE
"54991","C1orf159",TRUE
"51150","SDF4",TRUE
"126792","B3GALT6",TRUE
"118424","UBE2J2",TRUE
"101928895","LINC01786",TRUE
"6339","SCNN1D",TRUE
"116983","ACAP3",TRUE
"109623456","SNORD167",TRUE
"126789","PUSL1",TRUE
"54973","INTS11",TRUE
"80772","CPTP",TRUE
"83756","TAS1R3",TRUE
"1855","DVL1",TRUE
"54587","MXRA8",TRUE
"54998","AURKAIP1",TRUE
"81669","CCNL2",TRUE
"148413","MRPL20-AS1",TRUE
"55052","MRPL20",TRUE
"107984868",NA,FALSE
"441869","ANKRD65",TRUE
"105378585","ANKRD65-AS1",TRUE
"102724312","LINC01770",TRUE
"64856","VWA1",TRUE
"219293","ATAD3C",TRUE
"83858","ATAD3B",TRUE
"55210","ATAD3A",TRUE
"29101","SSU72",TRUE
"643988","FNDC10",TRUE
"142678","MIB2",TRUE
"8510","MMP23B",TRUE
"984","CDK11B",TRUE
"728661","SLC35E2B",TRUE
"728642","CDK11A",TRUE
"9906","SLC35E2A",TRUE
"112268218","LOC112268218",TRUE
"65220","NADK",TRUE
"2782","GNB1",TRUE
"163688","CALML6",TRUE
"5590","PRKCZ",TRUE
"100506504","PRKCZ-AS1",TRUE
"199990","FAAP20",TRUE
"112268219","LOC112268219",TRUE
"6497","SKI",TRUE
"79906","MORN1",TRUE
"100129534","LOC100129534",TRUE
"11079","RER1",TRUE
"5192","PEX10",TRUE
"55229","PANK4",TRUE
"8764","TNFRSF14",TRUE
"127281","PRXL2B",TRUE
"79258","MMEL1",TRUE
"100287898","TTC34",TRUE
"127262","TPRG1L",TRUE
"49856","WRAP73",TRUE
"7161","TP73",TRUE
"105378610","TP73-AS3",TRUE
"57212","GFOD3P",TRUE
"57470","LRRC47",TRUE
"9731","CEP104",TRUE
"1677","DFFB",TRUE
"339448","C1orf174",TRUE
"261734","NPHP4",TRUE
"8514","KCNAB2",TRUE
"6146","RPL22",TRUE
"107985733",NA,FALSE
"388591","RNF207",TRUE
"23463","ICMT",TRUE
"148645","ICMT-DT",TRUE
"387509","GPR153",TRUE
"11332","ACOT7",TRUE
"83715","ESPN",TRUE
"8718","TNFRSF25",TRUE
"57449","PLEKHG5",TRUE
"79707","NOL9",TRUE
"80835","TAS1R1",TRUE
"107984912","LOC107984912",TRUE
"3104","ZBTB48",TRUE
"9903","KLHL21",TRUE
"107984913","LOC107984913",TRUE
"148479","PHF13",TRUE
"90326","THAP3",TRUE
"55735","DNAJC11",TRUE
"110841581","CAMTA1-DT",TRUE
"23261","CAMTA1",TRUE
"105376689","LOC105376689",TRUE
"9341","VAMP3",TRUE
"8863","PER3",TRUE
"11315","PARK7",TRUE
"54206","ERRFI1",TRUE
"50651","SLC45A1",TRUE
"473","RERE",TRUE
"2023","ENO1",TRUE
"100505975","ENO1-AS1",TRUE
"80045","GPR157",TRUE
"106614088","MIR34AHG",TRUE
"102724571","LNCTAM34A",TRUE
"9563","H6PD",TRUE
"80176","SPSB1",TRUE
"100506022","LINC02606",TRUE
"84275","SLC25A33",TRUE
"199953","TMEM201",TRUE
"107985734",NA,FALSE
"5293","PIK3CD",TRUE
"22883","CLSTN1",TRUE
"56998","CTNNBIP1",TRUE
"105376717","LOC105376717",TRUE
"84328","LZIC",TRUE
"64802","NMNAT1",TRUE
"10277","UBE4B",TRUE
"23095","KIF1B",TRUE
