ID,Description,direction,cam_FDR,fg_FDR,fgsea_NES,agreement_source,agreement_mode_used,agreement_relaxed_fdr_used,agreement_topn_used
GO:0030308,negative regulation of cell growth,Down,0.04304963762839901,0.4103922190050324,-1.69573760060984,topn,relax_fdr_then_topn,0.2,50
GO:0000398,"mRNA splicing, via spliceosome",Up,0.2835685208374495,0.3805986972076217,1.806856636985967,topn,relax_fdr_then_topn,0.2,50
GO:0007005,mitochondrion organization,Down,0.6457629909718976,0.4914772596677201,-1.54314485155422,topn,relax_fdr_then_topn,0.2,50
GO:0032869,cellular response to insulin stimulus,Down,0.6457629909718976,0.4914772596677201,-1.5675320120331648,topn,relax_fdr_then_topn,0.2,50
GO:0035556,intracellular signal transduction,Down,0.6457629909718976,0.5158903597193059,-1.5401045161514018,topn,relax_fdr_then_topn,0.2,50
GO:0006468,protein phosphorylation,Down,0.6457629909718976,0.8047197640117995,-1.4304669825639,topn,relax_fdr_then_topn,0.2,50
GO:0042127,regulation of cell population proliferation,Down,0.6932218599711389,0.4914772596677201,-1.5547722880000736,topn,relax_fdr_then_topn,0.2,50
GO:0006281,DNA repair,Up,0.6932218599711389,0.4914772596677201,1.6440528767275535,topn,relax_fdr_then_topn,0.2,50
GO:0006974,DNA damage response,Up,0.6932218599711389,0.4914772596677201,1.5623733586666235,topn,relax_fdr_then_topn,0.2,50
GO:0007166,cell surface receptor signaling pathway,Down,0.6932218599711389,0.8093767546322291,-1.4273571410822334,topn,relax_fdr_then_topn,0.2,50
GO:0001501,skeletal system development,Down,0.6932218599711389,0.8093767546322291,-1.424100459406645,topn,relax_fdr_then_topn,0.2,50
GO:0008283,cell population proliferation,Down,0.6932218599711389,0.8093767546322291,-1.3855014283003069,topn,relax_fdr_then_topn,0.2,50
GO:0043065,positive regulation of apoptotic process,Up,0.6932218599711389,0.8093767546322291,1.3833152375770326,topn,relax_fdr_then_topn,0.2,50
GO:0010628,positive regulation of gene expression,Down,0.6932218599711389,0.8641592920353982,-1.2071794052145226,topn,relax_fdr_then_topn,0.2,50
GO:0006364,rRNA processing,Down,0.6932218599711389,0.8641592920353982,-1.3213808637579854,topn,relax_fdr_then_topn,0.2,50
GO:0016477,cell migration,Down,0.6932218599711389,0.8641592920353982,-1.3007717837532398,topn,relax_fdr_then_topn,0.2,50
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,Down,0.6932218599711389,0.8641592920353982,-1.2068424722171769,topn,relax_fdr_then_topn,0.2,50
GO:0034599,cellular response to oxidative stress,Down,0.6932218599711389,0.8641592920353982,-1.166050687811349,topn,relax_fdr_then_topn,0.2,50
GO:0070374,positive regulation of ERK1 and ERK2 cascade,Down,0.6932218599711389,0.8641592920353982,-1.146246658547462,topn,relax_fdr_then_topn,0.2,50
GO:0001525,angiogenesis,Down,0.6932218599711389,0.8641592920353982,-1.2771288625162434,topn,relax_fdr_then_topn,0.2,50
GO:0007411,axon guidance,Down,0.6932218599711389,0.8641592920353982,-1.3458894060026785,topn,relax_fdr_then_topn,0.2,50
GO:0006629,lipid metabolic process,Down,0.6932218599711389,0.8641592920353982,-1.168151172582418,topn,relax_fdr_then_topn,0.2,50
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,Down,0.6932218599711389,0.8641592920353982,-1.2129189455051452,topn,relax_fdr_then_topn,0.2,50
