original_term_id,kept_term_id,pair_similarity,direction
GO:0001558,GO:0030308,0.805,Down
GO:0007166,GO:0035556,0.815,Down
GO:0007399,GO:0001501,0.723,Down
GO:0016525,GO:0001525,0.656,Down
GO:0005975,GO:0006629,0.691,Down
GO:0030336,GO:0030335,0.629,Down
GO:0051897,GO:0070374,0.647,Down
GO:0043123,GO:0070374,0.647,Down
GO:0002181,GO:0006412,0.952,Down
GO:0008380,GO:0000398,0.719,Up
GO:0042981,GO:0043065,0.762,Up
GO:0007165,GO:0007264,0.847,Up
GO:0006366,GO:0006357,0.695,Up
GO:0000122,GO:0006357,0.808,Up
GO:0006355,GO:0006357,0.939,Up
GO:0045892,GO:0006357,0.746,Up
GO:0043433,GO:0006357,0.802,Up
GO:0045893,GO:0006357,0.784,Up
