ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,cluster
WP4666,Hepatitis B infection,Down,0.10275430194542504,0.3073352141431498,-1.6113511094822104,WP,12,1
WP4205,MET in type 1 papillary renal cell carcinoma,Down,0.5933648942956924,0.6530133859724878,-1.2164999554540512,WP,10,1
WP4263,Pancreatic adenocarcinoma pathway,Down,0.6665817325168194,0.6530133859724878,-1.2366985742056156,WP,11,1
WP4262,Breast cancer pathway,Down,0.6665817325168194,0.7376283846872081,-1.0249758068426398,WP,14,1
WP4630,Measles virus infection,Down,0.6665817325168194,0.7406413569204267,-0.9789174627908888,WP,13,1
WP710,DNA damage response only ATM dependent,Down,0.6665817325168194,0.7641142456632206,-0.94958414333644,WP,13,1
WP4217,Ebola virus infection in host,Down,0.6921801967655659,0.713685152057245,-1.105266681409972,WP,10,1
WP2059,Alzheimer 39 s disease and miRNA effects,Down,0.6921801967655659,0.9016135379771744,-0.7197148018006684,WP,24,1
WP5124,Alzheimer 39 s disease,Down,0.6921801967655659,0.9016135379771744,-0.7197148018006684,WP,24,1
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,Down,0.6932218599711389,0.8641592920353982,-1.2068424722171769,GO,12,1
WP4396,Nonalcoholic fatty liver disease,Down,0.9585091577685004,0.9016135379771744,-0.7178546563082091,WP,24,1
GO:0016485,protein processing,Down,0.963122892342642,0.9824729891956784,-0.7161463533491825,GO,10,1
WP5345,1p36 copy number variation syndrome,Down,0.10275430194542504,0.3073352141431498,-1.4897170027946842,WP,50,2
WP5083,Neuroinflammation and glutamatergic signaling,Down,0.2612900261949675,0.3073352141431498,-1.7301750269955332,WP,17,3
GO:0035556,intracellular signal transduction,Down,0.6457629909718976,0.5158903597193059,-1.5401045161514018,GO,19,3
GO:0006468,protein phosphorylation,Down,0.6457629909718976,0.8047197640117995,-1.4304669825639,GO,26,3
WP5355,Metabolic epileptic disorders,Down,0.6532831319260396,0.6733663053772494,-1.1744452283357305,WP,10,3
WP4018,Clear cell renal cell carcinoma pathways,Down,0.6665817325168194,0.6759358288770053,-1.1483660123939046,WP,13,3
WP2525,Trans sulfuration one carbon metabolism and related pathways,Down,0.6665817325168194,0.713685152057245,-1.1004038527962765,WP,10,3
WP4290,Metabolic reprogramming in colon cancer,Down,0.7014585047952667,0.6530133859724878,-1.2291040792804215,WP,10,3
WP4673,Male infertility,Down,0.8345553443466727,0.7641142456632206,-0.882797955662198,WP,10,3
WP481,Insulin signaling,Down,0.2612900261949675,0.3073352141431498,-1.6478853929067034,WP,15,4
WP4321,Thermogenesis,Down,0.5933648942956924,0.6530133859724878,-1.233053094974674,WP,16,4
WP3915,Angiopoietin like protein 8 regulatory pathway,Down,0.5933648942956924,0.6530133859724878,-1.3304323271844745,WP,10,4
GO:0007005,mitochondrion organization,Down,0.6457629909718976,0.4914772596677201,-1.54314485155422,GO,12,4
WP437,EGF EGFR signaling,Down,0.6665817325168194,0.5966461853558628,-1.3928027689328475,WP,21,4
WP2380,Brain derived neurotrophic factor BDNF signaling,Down,0.6921801967655659,0.728380325169788,-1.0730153660284705,WP,15,4
WP1984,Integrated breast cancer pathway,Down,0.6921801967655659,0.7376283846872081,-1.0105309541934044,WP,14,4
GO:0034599,cellular response to oxidative stress,Down,0.6932218599711389,0.8641592920353982,-1.166050687811349,GO,13,4
GO:0042593,glucose homeostasis,Down,0.6932218599711389,0.9093155689266144,-1.0644698515536086,GO,10,4
WP1403,AMP activated protein kinase signaling,Down,0.7014585047952667,0.8029760936737681,-0.8401817145887043,WP,10,4
