from,to,jaccard,k
WP411,WP5546,0.1935483870967742,6
WP411,GO:0000398,0.5517241379310345,16
WP411,GO:0008380,0.3125,10
WP5546,GO:0000398,0.28,7
WP5546,GO:0008380,0.16,4
WP2004,WP2005,0.7708333333333334,37
WP2004,WP2003,0.32608695652173914,15
WP2004,WP2006,0.30434782608695654,14
WP111,GO:0042776,0.5882352941176471,10
WP2005,WP2003,0.2857142857142857,12
WP2005,WP2006,0.2926829268292683,12
WP2003,WP2006,0.2608695652173913,6
GO:0000398,GO:0008380,0.32142857142857145,9
GO:0006281,GO:0006974,0.2,6
GO:0045087,GO:0002250,0.16129032258064516,5
GO:0006357,GO:0000122,0.25252525252525254,25
GO:0006357,GO:0045893,0.15384615384615385,12
GO:0000122,GO:0045892,0.28205128205128205,22
GO:0045892,GO:0043433,0.16666666666666666,7
