cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES
1,WP4666,Hepatitis B infection,Down,0.10275430194542504,0.3073352141431498,-1.6113511094822104,WP,12,0.3073352141431498,1.6113511094822104
2,WP5345,1p36 copy number variation syndrome,Down,0.10275430194542504,0.3073352141431498,-1.4897170027946842,WP,50,0.3073352141431498,1.4897170027946842
3,WP5083,Neuroinflammation and glutamatergic signaling,Down,0.2612900261949675,0.3073352141431498,-1.7301750269955332,WP,17,0.3073352141431498,1.7301750269955332
4,WP481,Insulin signaling,Down,0.2612900261949675,0.3073352141431498,-1.6478853929067034,WP,15,0.3073352141431498,1.6478853929067034
5,WP2884,NRF2 pathway,Down,0.5933648942956924,0.3073352141431498,-1.6951918899313814,WP,17,0.5933648942956924,1.6951918899313814
6,WP35,G protein signaling,Down,0.5933648942956924,0.5966461853558628,-1.419308224697371,WP,10,0.5966461853558628,1.419308224697371
7,WP314,Fas ligand pathway and stress induction of heat shock proteins,Down,0.5933648942956924,0.6530133859724878,-1.257033720149376,WP,10,0.6530133859724878,1.257033720149376
8,WP4803,Ciliopathies,Down,0.6665817325168194,0.6406678592725105,-1.3745110974846997,WP,10,0.6665817325168194,1.3745110974846997
9,WP51,Regulation of actin cytoskeleton,Down,0.6665817325168194,0.6733663053772494,-1.177573378408433,WP,18,0.6733663053772494,1.177573378408433
10,WP5426,HDAC6 interactions in the central nervous system,Down,0.7014585047952667,0.7376283846872081,-1.0282257142132871,WP,10,0.7376283846872081,1.0282257142132871
11,WP5473,Cytokine cytokine receptor interaction,Down,0.7014585047952667,0.7376283846872081,-1.0019922515108743,WP,10,0.7376283846872081,1.0019922515108743
12,WP477,Cytoplasmic ribosomal proteins,Down,0.7014585047952667,0.8047538200339559,-0.8624372114893855,WP,37,0.8047538200339559,0.8624372114893855
13,WP138,Androgen receptor signaling,Down,0.8059448712739847,0.728380325169788,-1.0692841913843651,WP,10,0.8059448712739847,1.0692841913843651
14,WP3888,VEGFA VEGFR2 signaling,Down,0.8867814691917908,0.7376283846872081,-0.9974112067029246,WP,63,0.8867814691917908,0.9974112067029246
15,WP3391,Senescence associated secretory phenotype SASP,Down,0.9585091577685004,0.713685152057245,-1.0978461189566489,WP,12,0.9585091577685004,1.0978461189566489
16,WP4874,CAMKK2 pathway,Down,0.9585091577685004,0.7641142456632206,-0.9105019471250329,WP,10,0.9585091577685004,0.9105019471250329
17,WP5316,Primary ovarian insufficiency,Down,0.9585091577685004,0.8095711869465725,-0.8259132813229625,WP,14,0.9585091577685004,0.8259132813229625
18,WP3594,Circadian rhythm genes,Down,0.9682940011188192,0.7641142456632206,-0.897093878929081,WP,22,0.9682940011188192,0.897093878929081
19,GO:0030308,negative regulation of cell growth,Down,0.04304963762839901,0.4103922190050324,-1.69573760060984,GO,10,0.4103922190050324,1.69573760060984
20,GO:0032869,cellular response to insulin stimulus,Down,0.6457629909718976,0.4914772596677201,-1.5675320120331648,GO,11,0.6457629909718976,1.5675320120331648
21,GO:0042127,regulation of cell population proliferation,Down,0.6932218599711389,0.4914772596677201,-1.5547722880000736,GO,13,0.6932218599711389,1.5547722880000736
22,GO:0001501,skeletal system development,Down,0.6932218599711389,0.8093767546322291,-1.424100459406645,GO,13,0.8093767546322291,1.424100459406645
23,GO:0008283,cell population proliferation,Down,0.6932218599711389,0.8093767546322291,-1.3855014283003069,GO,11,0.8093767546322291,1.3855014283003069
24,GO:0001525,angiogenesis,Down,0.6932218599711389,0.8641592920353982,-1.2771288625162434,GO,16,0.8641592920353982,1.2771288625162434
25,GO:0007411,axon guidance,Down,0.6932218599711389,0.8641592920353982,-1.3458894060026785,GO,13,0.8641592920353982,1.3458894060026785
