cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES
1,WP2446,Retinoblastoma gene in cancer,Up,0.5640456364413733,0.4521413064929939,1.54409590291477,WP,12,0.5640456364413733,1.54409590291477
2,GO:0000398,"mRNA splicing, via spliceosome",Up,0.2835685208374495,0.3805986972076217,1.806856636985967,GO,20,0.3805986972076217,1.806856636985967
3,WP4905,1q21 1 copy number variation syndrome,Up,0.5933648942956924,0.6530133859724878,1.3301401239175692,WP,10,0.6530133859724878,1.3301401239175692
4,WP2004,miR targeted genes in lymphocytes,Up,0.5933648942956924,0.7084091051608452,1.0605232376818805,WP,46,0.7084091051608452,1.0605232376818805
5,WP111,Electron transport chain OXPHOS system in mitochondria,Up,0.5933648942956924,0.7334855403348554,1.0394346653464936,WP,17,0.7334855403348554,1.0394346653464936
6,WP2877,Vitamin D receptor pathway,Up,0.6665817325168194,0.6530133859724878,1.229438735496306,WP,12,0.6665817325168194,1.229438735496306
7,WP4352,Ciliary landscape,Up,0.6901168565520823,0.7388040042149631,0.9851244002913194,WP,17,0.7388040042149631,0.9851244002913194
8,WP536,Calcium regulation in cardiac cells,Up,0.7014585047952667,0.7641142456632206,0.8857375212027349,WP,16,0.7641142456632206,0.8857375212027349
9,WP4963,p53 transcriptional gene network,Up,0.7147528660594391,0.4251516159869812,1.575949195529127,WP,10,0.7147528660594391,1.575949195529127
10,WP2431,Spinal cord injury,Up,0.9682940011188192,0.7334855403348554,1.0468076895998606,WP,10,0.9682940011188192,1.0468076895998606
11,WP5420,ADHD and autism ASD pathways,Up,0.9682940011188192,0.8142496184924826,0.8166122583115619,WP,28,0.9682940011188192,0.8166122583115619
12,GO:0006281,DNA repair,Up,0.6932218599711389,0.4914772596677201,1.6440528767275535,GO,17,0.6932218599711389,1.6440528767275535
13,GO:0043065,positive regulation of apoptotic process,Up,0.6932218599711389,0.8093767546322291,1.3833152375770326,GO,19,0.8093767546322291,1.3833152375770326
14,GO:0007283,spermatogenesis,Up,0.6932218599711389,0.8641592920353982,1.288257246377325,GO,15,0.8641592920353982,1.288257246377325
15,GO:0007264,small GTPase-mediated signal transduction,Up,0.6932218599711389,0.9446554015568636,1.02620053792165,GO,10,0.9446554015568636,1.02620053792165
16,GO:0045087,innate immune response,Up,0.6932218599711389,0.9446554015568636,1.020973435718617,GO,26,0.9446554015568636,1.020973435718617
17,GO:0000122,negative regulation of transcription by RNA polymerase II,Up,0.8040114248745912,0.8641592920353982,1.1870998051095902,GO,63,0.8641592920353982,1.1870998051095902
18,GO:0072659,protein localization to plasma membrane,Up,0.6932218599711389,0.9824729891956784,0.8367103961875451,GO,13,0.9824729891956784,0.8367103961875451
19,GO:0006366,transcription by RNA polymerase II,Up,0.6932218599711389,0.9824729891956784,0.7603904913745984,GO,12,0.9824729891956784,0.7603904913745984
20,GO:0009410,response to xenobiotic stimulus,Up,0.7708227884869439,0.8785341015677343,1.1084442752124404,GO,20,0.8785341015677343,1.1084442752124404
21,GO:0016192,vesicle-mediated transport,Up,0.7708227884869439,0.9824729891956784,0.9010480375422332,GO,10,0.9824729891956784,0.9010480375422332
22,GO:0008284,positive regulation of cell population proliferation,Up,0.8221927748884971,0.9824729891956784,0.8186636529174224,GO,19,0.9824729891956784,0.8186636529174224
23,GO:0008104,protein localization,Up,0.822567512987516,0.9824729891956784,0.6383072359188775,GO,12,0.9824729891956784,0.6383072359188775
24,GO:0007165,signal transduction,Up,0.8233849110717631,0.8845465674733968,1.0561659770404526,GO,64,0.8845465674733968,1.0561659770404526
25,GO:0009615,response to virus,Up,0.8233849110717631,0.9824729891956784,0.9437900028530396,GO,11,0.9824729891956784,0.9437900028530396
26,GO:0006355,regulation of DNA-templated transcription,Up,0.8233849110717631,0.9824729891956784,0.9114626672752584,GO,27,0.9824729891956784,0.9114626672752584
27,GO:0042981,regulation of apoptotic process,Up,0.8233849110717631,0.9824729891956784,0.690669232573913,GO,19,0.9824729891956784,0.690669232573913
28,GO:0015031,protein transport,Up,0.8233849110717631,0.9966329966329966,0.6070571896951078,GO,21,0.9966329966329966,0.6070571896951078
29,GO:0043410,positive regulation of MAPK cascade,Up,0.8486239644218265,0.9093155689266144,1.068460407477874,GO,11,0.9093155689266144,1.068460407477874
30,GO:0010976,positive regulation of neuron projection development,Up,0.9034191418173588,0.9824729891956784,0.8001126595426689,GO,10,0.9824729891956784,0.8001126595426689
31,GO:0006979,response to oxidative stress,Up,0.9034191418173588,0.9966329966329966,0.507048564736952,GO,10,0.9966329966329966,0.507048564736952
32,GO:0071456,cellular response to hypoxia,Up,0.963122892342642,0.8641592920353982,1.2910533407007805,GO,12,0.963122892342642,1.2910533407007805
33,GO:0051301,cell division,Up,0.963122892342642,0.9824729891956784,0.7148803324947952,GO,19,0.9824729891956784,0.7148803324947952
34,GO:0001822,kidney development,Up,0.963122892342642,0.9824729891956784,0.7221301344901156,GO,10,0.9824729891956784,0.7221301344901156
35,GO:0007155,cell adhesion,Up,0.963122892342642,0.9824729891956784,0.7510266560760326,GO,24,0.9824729891956784,0.7510266560760326
