ID,NGenes,Direction,PValue,FDR
GO:0051301,201,Up,9.339523748802138e-8,8.7828164670200815e-05
GO:0030174,10,Up,1.5634554290780719e-7,8.7828164670200815e-05
GO:0007094,16,Up,1.6640512242061052e-7,8.7828164670200815e-05
GO:0090307,25,Up,1.8647168719787858e-7,8.7828164670200815e-05
GO:0006270,24,Up,3.604327095350728e-7,1.3581104495281543e-4
GO:0007059,51,Up,2.5074238445609967e-6,7.87331087192153e-4
GO:0000086,32,Up,4.728826299006564e-6,0.0012727298210469095
GO:0032467,22,Up,5.6494858006356805e-6,0.0013304539060497028
GO:0006302,57,Up,1.7955249961150113e-5,0.003758632325200757
GO:0006260,60,Up,2.1278696478130982e-5,0.004008906416479877
GO:0007131,17,Up,5.4248947683089534e-5,0.008943941760117563
GO:0000070,13,Up,5.696778191157684e-5,0.008943941760117563
GO:0000724,70,Up,9.308862049719867e-5,0.013490689308978638
GO:0032200,12,Down,1.0803839722792926e-4,0.01453888145552991
GO:0000278,80,Up,1.224959474618699e-4,0.015385491001210857
GO:0002026,13,Down,1.6872454411958007e-4,0.018740576826178912
GO:0000076,10,Up,1.6910286945065898e-4,0.018740576826178912
GO:0007052,33,Up,2.1500574473113965e-4,0.02250393461519262
GO:2000147,15,Down,2.4135551331887873e-4,0.02393230458382987
GO:0007051,11,Up,3.1138640767066576e-4,0.02851984395040277
GO:0042776,62,Down,3.357532317609276e-4,0.02851984395040277
GO:0032981,57,Down,3.472708442164553e-4,0.02851984395040277
GO:0009060,63,Down,3.481721926004584e-4,0.02851984395040277
GO:0006091,35,Down,4.539912908867324e-4,0.03563831633460849
GO:1902600,118,Down,4.8087851893473883e-4,0.03623900518692192
GO:0006099,28,Down,5.6625803107177e-4,0.0410319280976621
GO:0001659,13,Down,6.794433754486857e-4,0.04741004886464162
GO:0030071,27,Up,0.0011397842470712027,0.07669119719579093
GO:0061644,10,Down,0.0011815098989909913,0.07675740171375958
GO:0048168,17,Down,0.0012292725936508954,0.07719831888127622
GO:0010667,27,Down,0.0013813383075482696,0.08394972165874
GO:0000077,32,Up,0.001833162915452863,0.1079274666472873
GO:0000281,43,Up,0.00203641084840363,0.11626054661795271
GO:0071168,12,Up,0.002442659153502476,0.1269145526581819
GO:0042744,13,Down,0.0024717046087667388,0.1269145526581819
GO:0006281,170,Up,0.002562838145151766,0.1269145526581819
GO:0022904,16,Down,0.0026380018425046408,0.1269145526581819
GO:0060292,11,Down,0.0026871941930382893,0.1269145526581819
GO:0006120,46,Down,0.0027002875621428986,0.1269145526581819
GO:0007080,22,Up,0.0027372926872102706,0.1269145526581819
GO:0010666,12,Down,0.0027619409017969523,0.1269145526581819
GO:0035195,24,Down,0.0030089365108413287,0.13497229491488244
GO:0035825,10,Up,0.0035308421847916583,0.15470015525924383
GO:2000042,15,Up,0.0037857333779494494,0.16209822009219915
GO:0045842,12,Up,0.00399252603093409,0.16715375649510725
GO:0140588,91,Up,0.004527196776216034,0.18541823318241324
GO:0007095,28,Up,0.00513687748877724,0.20591228061396424
GO:0002028,10,Down,0.0055701254420615996,0.21862742360091778
GO:0000045,49,Down,0.0066152378940469506,0.2543491467833562
GO:0055093,14,Down,0.006774164687588737,0.2552505254283436
GO:0036297,32,Up,0.006990242923611095,0.25605185307132583
GO:2000786,13,Down,0.007127512085454011,0.25605185307132583
GO:0010971,20,Up,0.007203157225467234,0.25605185307132583
GO:0070507,19,Up,0.007499854960167704,0.26166160638807323
GO:0071356,70,Down,0.00807575330259018,0.2766312585832709
GO:0098719,13,Down,0.008365140559597991,0.2814272288264753
GO:0034375,15,Down,0.008793825578772388,0.29065907702468735
GO:0006275,25,Up,0.009364112228363676,0.30040674693186326
GO:0007064,13,Up,0.009462524992721088,0.30040674693186326
GO:0000423,36,Down,0.009567093851333225,0.30040674693186326
GO:0033189,11,Down,0.009824855372515174,0.30344307412817356
GO:0051918,11,Down,0.010438064786348263,0.3143926122632809
GO:0007040,24,Down,0.01059888819451226,0.3143926122632809
GO:1990166,12,Up,0.010726138794654849,0.3143926122632809
GO:0051321,34,Up,0.010846878873202367,0.3143926122632809
GO:0000082,60,Up,0.011112314557430697,0.3172060700939308
GO:0006956,11,Down,0.011688294793620829,0.32866787151017374
GO:0061709,10,Down,0.012627353294961589,0.33759394891904143
GO:0009749,45,Down,0.012705748310439672,0.33759394891904143
