ID,Description,NGenes,Direction,PValue,FDR
WP2446,Retinoblastoma gene in cancer,87,Up,5.58279156216491e-11,3.963782009137086e-8
WP466,DNA replication,41,Up,2.322976635211385e-9,8.246567055000417e-7
WP4963,p53 transcriptional gene network,81,Down,8.297396962083366e-8,1.9637172810263968e-5
WP4240,Regulation of sister chromatid separation at the metaphase anaphase transition,14,Up,1.1719166506949348e-7,2.0801520549835092e-5
WP4016,DNA IR damage and cellular response via ATR,81,Up,8.577493194971983e-6,0.0012180040336860216
WP179,Cell cycle,116,Up,1.5649556806509973e-5,0.0017818095490515476
WP5344,Cardiomyocyte signaling converging on titin,29,Down,1.7567136399099765e-5,0.0017818095490515476
WP5117,Cohesin complex Cornelia de Lange syndrome,33,Up,2.433073052782901e-5,0.0021593523343448246
WP623,Oxidative phosphorylation,59,Down,4.142110714695828e-5,0.003096251684816866
WP111,Electron transport chain OXPHOS system in mitochondria,104,Down,4.360917865939248e-5,0.003096251684816866
WP45,G1 to S cell cycle control,62,Up,9.511757789983206e-5,0.006139407300807342
WP2361,Gastric cancer network 1,27,Up,4.360899598527422e-4,0.025801989291287245
WP4324,Mitochondrial complex I assembly model OXPHOS system,56,Down,4.903071381174247e-4,0.026778312927951655
WP5193,Cholesterol synthesis disorders,17,Up,6.285393887400908e-4,0.03187592614324746
WP5465,Fanconi anemia,47,Up,6.751743103970346e-4,0.03195825069212631
WP78,TCA cycle aka Krebs or citric acid cycle,18,Down,9.206844442103565e-4,0.04038483039011417
WP619,Type II interferon signaling,27,Down,9.669607276506209e-4,0.04038483039011417
WP2363,Gastric cancer network 2,30,Up,0.0015932216600196922,0.0628437432563323
WP5118,SMC1 SMC3 role in DNA damage Cornelia de Lange Syndrome,11,Up,0.0017213279137564767,0.06432330625089992
WP5183,SARS CoV 2 mitochondrial chronic oxidative stress and endothelial dysfunction,22,Down,0.0021892970197664014,0.075846331996319
WP531,DNA mismatch repair,23,Up,0.0022433422139756325,0.075846331996319
WP5342,Pathophysiological roles of DUX4 in FSHD1,11,Down,0.003584714774701378,0.11568852227445356
WP5111,Familial hyperlipidemia type 4,17,Down,0.004773697767776547,0.1473619745704934
WP5149,Lipid metabolism in senescent cells,13,Down,0.0050311217243654135,0.1488373510124768
WP4536,Genes related to primary cilium development based on CRISPR,104,Up,0.005303180762212671,0.15061033364683984
WP4946,DNA repair pathways full network,120,Up,0.005658516564703722,0.15452102926690933
WP197,Cholesterol biosynthesis pathway,15,Up,0.007112681630929322,0.18703718362814142
WP2038,Microtubule cytoskeleton regulation,43,Up,0.00744157776480884,0.1886971504647956
WP5284,Cell interactions in pancreatic cancer microenvironment,15,Down,0.008148826732686576,0.19507850923580056
WP4396,Nonalcoholic fatty liver disease,142,Down,0.0082430440316986,0.19507850923580056
WP4790,FGF23 signaling in hypophosphatemic rickets and related disorders,16,Down,0.00863922749099708,0.19507850923580056
WP5233,Arsenic metabolism and reactive oxygen species generation,10,Down,0.008792270838796645,0.19507850923580056
WP5199,PtdIns 4 5 P2 in cytokinesis pathway,12,Up,0.009181985910530618,0.1975518180750527
WP530,Cytokines and inflammatory response,11,Down,0.01017891328134739,0.2125596596987249
WP3959,DNA IR double strand breaks and cellular response via ATM,55,Up,0.012141554638806113,0.24615487864939334
WP4521,Glycosylation and related congenital defects,25,Down,0.01248109243856079,0.24615487864939334
WP4803,Ciliopathies,166,Up,0.013945411794994995,0.26760114525530937
WP4589,Major receptors targeted by epinephrine and norepinephrine,15,Down,0.015169187486519629,0.27787805289405837
WP4583,Biomarkers for urea cycle disorders,10,Down,0.015263724032208839,0.27787805289405837
WP3613,Photodynamic therapy induced unfolded protein response,27,Up,0.016678594753492725,0.29604505687449584
WP3624,Lung fibrosis,40,Down,0.019370378251285077,0.33543825752225376
WP3657,Hematopoietic stem cell gene regulation by GABP alpha beta complex,18,Up,0.020111192614164344,0.33920906685395275
WP3413,NOTCH1 regulation of endothelial cell calcification,17,Down,0.020693238588741447,0.33920906685395275
WP5123,Mitochondrial fatty acid oxidation disorders,19,Down,0.021763387138624135,0.33920906685395275
WP5110,Familial hyperlipidemia type 3,12,Down,0.02183057826109264,0.33920906685395275
WP4008,NO cGMP PKG mediated neuroprotection,35,Down,0.022739531072447708,0.33920906685395275
WP3981,miRNA regulation of prostate cancer signaling,29,Down,0.023123391260045326,0.33920906685395275
WP5382,TGFB Smad signaling,12,Up,0.02363738853381212,0.33920906685395275
WP1742,TP53 network,17,Down,0.023814903095043378,0.33920906685395275
WP5548,Blood based neuroinflammation markers,14,Down,0.023887962454503715,0.33920906685395275
WP4718,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,45,Up,0.025807347733818303,0.3421555616312369
WP2516,ATM signaling,37,Up,0.025830186597650337,0.3421555616312369
WP2406,Cardiac progenitor differentiation,43,Down,0.02593869288653503,0.3421555616312369
WP4585,Cancer immunotherapy by PD 1 blockade,14,Down,0.02602309905364337,0.3421555616312369
WP2435,Quercetin and Nf kB AP 1 induced apoptosis,14,Down,0.027418846926693122,0.3539523875991294
WP4211,Transcriptional cascade regulating adipogenesis,13,Down,0.028154191305895367,0.3565389741426811
WP3875,ATR signaling,11,Up,0.028623551445257495,0.3565389741426811
WP3391,Senescence associated secretory phenotype SASP,75,Down,0.030092237070133834,0.36837048827232793
WP524,G13 signaling,35,Up,0.03199998414892753,0.37497241471313936
WP5038,Mitochondrial immune response to SARS CoV 2,28,Down,0.03215252018973154,0.37497241471313936
WP143,Fatty acid beta oxidation,31,Down,0.03256885083639341,0.37497241471313936
WP4922,Mitochondrial complex IV assembly,34,Down,0.03281420561079014,0.37497241471313936
WP5401,7q11 23 distal copy number variation,19,Down,0.03327220017877152,0.37497241471313936
WP4932,7q11 23 copy number variation syndrome,98,Down,0.03572411990473797,0.39197602221242445
WP5109,Familial hyperlipidemia type 2,15,Down,0.035885128794095195,0.39197602221242445
WP4329,miRNA role in immune response in sepsis,27,Down,0.03909671279126149,0.4205858497241767
WP5153,N glycan biosynthesis,55,Down,0.04134198418174651,0.43721060671431067
WP3971,OSX and miRNAs in tooth development,14,Down,0.04187369191066637,0.43721060671431067
WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,35,Down,0.04426825761716173,0.4525374897724034
WP5521,SLC25A46 pathway,21,Down,0.04461637223108202,0.4525374897724034
WP368,Mitochondrial long chain fatty acid beta oxidation,17,Down,0.045564830397978956,0.45564830397978956
WP4595,Urea cycle and associated pathways,21,Down,0.04749587741857126,0.46836212454424436
WP186,Homologous recombination,13,Up,0.04925210338586661,0.47902730690363415
WP5333,Enterocyte cholesterol metabolism,33,Up,0.05049150158820862,0.4844454882111908
WP4784,Proteoglycan biosynthesis,18,Down,0.051819692372658446,0.4905597544611666
WP3599,Transcription factor regulation in adipogenesis,19,Down,0.052751399111218976,0.4928091232758615
WP3982,miRNA regulation of p53 pathway in prostate cancer,24,Down,0.054130109506094405,0.4970274137693725
WP5395,Glycosaminoglycan synthesis in fibroblasts,39,Down,0.05462881397965966,0.4970274137693725
WP5496,Targeted therapy in breast cancer,23,Up,0.05616084788190847,0.4970274137693725
WP5472,Phosphoinositide 3 kinase PI3K family,10,Up,0.05625759184336944,0.4970274137693725
WP5474,Catabolism of skeletal muscle in cachexia,37,Down,0.057052754406851564,0.4970274137693725
