ID,Description,direction,cam_FDR,fg_FDR,fgsea_NES,agreement_source,agreement_mode_used,agreement_relaxed_fdr_used,agreement_topn_used
WP2446,Retinoblastoma gene in cancer,Up,3.963782009137086e-8,4.422920167102434e-9,2.504922776138628,strict_intersection,relax_fdr_then_topn,0.2,50
WP466,DNA replication,Up,8.246567055000417e-7,4.662920523650056e-6,2.370159646665855,strict_intersection,relax_fdr_then_topn,0.2,50
WP4963,p53 transcriptional gene network,Down,1.9637172810263968e-5,2.395246417291455e-9,-2.614869617956586,strict_intersection,relax_fdr_then_topn,0.2,50
WP4240,Regulation of sister chromatid separation at the metaphase anaphase transition,Up,2.0801520549835092e-5,3.0465123189075776e-4,2.232327239142548,strict_intersection,relax_fdr_then_topn,0.2,50
WP4016,DNA IR damage and cellular response via ATR,Up,0.00121800403368602,4.4934563629917825e-4,2.051814017505402,strict_intersection,relax_fdr_then_topn,0.2,50
WP179,Cell cycle,Up,0.00178180954905154,4.662920523650056e-6,2.175827356127267,strict_intersection,relax_fdr_then_topn,0.2,50
WP5344,Cardiomyocyte signaling converging on titin,Down,0.00178180954905154,3.2155208768262615e-4,-2.2630786568222345,strict_intersection,relax_fdr_then_topn,0.2,50
WP5117,Cohesin complex Cornelia de Lange syndrome,Up,0.00215935233434482,0.02256512242466734,1.921127190170556,strict_intersection,relax_fdr_then_topn,0.2,50
WP111,Electron transport chain OXPHOS system in mitochondria,Down,0.00309625168481686,8.381053522625083e-4,-1.9966189645258543,strict_intersection,relax_fdr_then_topn,0.2,50
WP623,Oxidative phosphorylation,Down,0.00309625168481686,0.00168357184821645,-2.0616218411884843,strict_intersection,relax_fdr_then_topn,0.2,50
WP2361,Gastric cancer network 1,Up,0.02580198929128724,5.552364198599235e-4,2.1761418351539046,strict_intersection,relax_fdr_then_topn,0.2,50
WP4324,Mitochondrial complex I assembly model OXPHOS system,Down,0.02677831292795165,0.04308022879807553,-1.7851180596459062,strict_intersection,relax_fdr_then_topn,0.2,50
WP5193,Cholesterol synthesis disorders,Up,0.03187592614324746,0.03415144957080813,1.8741059558114712,strict_intersection,relax_fdr_then_topn,0.2,50
WP619,Type II interferon signaling,Down,0.04038483039011417,0.0013107031204213,-2.1480980966437877,strict_intersection,relax_fdr_then_topn,0.2,50
