ID,NGenes,Direction,PValue,FDR
GO:0002181,83,Down,9.752847475526204e-17,1.795499220244374e-13
GO:0006412,107,Down,2.1605618113363484e-12,1.9887971473351085e-9
GO:0007268,144,Up,6.876628751970066e-8,4.21995784412563e-5
GO:0032757,40,Down,2.998830522335702e-7,1.3802117479050068e-4
GO:0098703,17,Up,8.975974323083189e-7,3.30495374575923e-4
GO:0042274,31,Down,1.4354278012563996e-6,4.404370970188386e-4
GO:0032722,30,Down,2.475903719813022e-6,5.79017567244205e-4
GO:0060079,44,Up,2.8206658117295128e-6,5.79017567244205e-4
GO:0070588,69,Up,2.8306127676251195e-6,5.79017567244205e-4
GO:0050778,15,Down,5.9078665642836595e-6,0.0010876382344846218
GO:0014059,13,Up,9.543560338833418e-6,0.0015972449621629386
GO:0002503,11,Down,1.0524055707873e-5,0.0016145655465161827
GO:0007218,48,Up,1.2811635576329818e-5,0.0017598868911895308
GO:0007612,43,Up,1.3383170275205557e-5,0.0017598868911895308
GO:0086002,19,Up,1.690554161447414e-5,0.002074873474149793
GO:0002224,21,Down,2.4308405867141607e-5,0.0026435641584793886
GO:0007159,19,Down,2.514473779157577e-5,0.0026435641584793886
GO:0099170,18,Up,2.5846906492465506e-5,0.0026435641584793886
GO:0071222,97,Down,2.7723238735797863e-5,0.002686235921715993
GO:0006958,19,Down,3.1722930446036846e-5,0.00287296688732962
GO:0035249,35,Up,3.277148540680175e-5,0.00287296688732962
GO:0060078,31,Up,4.250301411153948e-5,0.0035567294990610995
GO:0016082,14,Up,4.813141625455479e-5,0.0035970682251859495
GO:0050804,63,Up,4.884578573412873e-5,0.0035970682251859495
GO:0006695,31,Up,4.884666248215575e-5,0.0035970682251859495
GO:0006956,12,Down,5.4579107504153346e-5,0.00386462065058255
GO:0032729,46,Down,9.834861655407882e-5,0.006705918632446634
GO:0032755,67,Down,1.1542354316397289e-4,0.007589097963031218
GO:0019886,20,Down,1.337872011688492e-4,0.008493180598339704
GO:0071276,14,Down,1.5125280335920272e-4,0.00911996012482953
GO:0007215,17,Up,1.5361716969318026e-4,0.00911996012482953
GO:0002376,20,Down,1.5852184899214827e-4,0.00911996012482953
