ID,NES,pval,padj,size,leadingEdge
GO:0002181,-3.42976232213527,2.891394612729559e-32,5.323057482035118e-29,83,RPL5;RPS24;RPLP0;RPL17;RPS16;RPL23;RPL4;RPL3;RPL7A;RPS4X;RPS3;RPL14;RPL28;RPL13A;RPS23;RPL15;RPS15A;RPS21;RPS19;RPS13;FAU;RPL18;RPL23A;RPS3A;RPS25;RPL7;RPLP2;RPL18A;RPS5;RPS6;RPL22;RPL10;RPL13;RPL39;RPL30;RPL8;RPSA;RPL9;RPS27;RPL19;RACK1;RPL27A;RPS14;RPLP1;RPL37;RPS8;RPS12;RPL11;RPS11;RPS29;RPL32;RPS17;RPS20;RPS15;RPL36A;RPL24;RPS27A;RPS18;RPL34;RPL41;RPL36;RPL29;RPS9;RPS28;RPS2;RPL10A;RPL21;RPL35A;RPL37A;RPS10;RPL38;RPL27;RPL31;RPL26;RPL35;UBA52;RPS7;RPL12
GO:0006412,-3.2618864287088165,2.808593952305067e-28,2.585310733096814e-25,107,RPL5;RPS24;RPLP0;EGFR;EEF1A1;RPL17;RPS16;RPL23;RPL4;RPL3;RPL7A;RPS4X;RPS3;RPL14;RPL28;RPL13A;RPS23;RPL15;RPS15A;RPS21;RPS19;RPS13;FAU;RPL18;RPL23A;RPS3A;RPS25;RPL7;RPLP2;RPL18A;RPS5;RPS6;RPL22;RPL10;RPL13;RPL39;RPL30;RPL8;RPSA;RPL9;RPS27;RPL19;RPL27A;RPS14;RPLP1;RPL37;RPS8;RPS12;RPL11;RPS11;AIMP1;RPS29;RPL32;RPS17;RPS20;RPS15;EIF4EBP2;RPL36A;RPL24;RPS27A;RPS18;RPL34;RPL41;RPL36;RPL29;RPS9;RPS28;RPS2;RPL10A;RPL21;RPL35A;RPL37A;RPS10;RPL38;RPL27;RPL31;RRBP1;RPL26;RPL35;UBA52;RPS7;RPL12
GO:0007268,2.5857518135564312,2.0822987053176528e-13,1.2778373054965996e-10,144,HTR6;PDE7B;HTR1F;CHRNA4;CRH;CACNB3;NTSR1;AKAP9;CHRM4;HOMER1;GRM7;KCNK3;SST;GRIN2A;CACNB1;CACNA1G;GRM2;GABBR2;DOC2A;PRKCG;CDK5;HTR2A;CACNB4;CHRM3;SYT1;HTR1B;CHRM1;LRP8;NPY5R;PAFAH1B1;UNC13B;DLG3;FGF12;HTR7;GABRB2;GJC1;GRIK1;HTR4;TAC1;SLC12A5;GLRB;GRIA1;HCRTR1;SLC1A1;GRIN2B;DLGAP1;CACNA1B;CACNA1A;CHRNB2;GRM3;APBA2;GRIK2;RPS6KA3;NPBWR1;GRIA2;MAPK1;NRXN1;KCND2;ATXN3;DLG1;SNAP25;HRH2;CHRNA6;SNCA;AKAP5;HTR5A;GRIN1;PLP1;SNCG;CACNA1E;GRM5;PNOC;NPTX1
GO:0045087,-2.1038816542546703,7.414856292499655e-10,3.412687608622966e-7,218,CFI;ARID5A;SERPING1;TRIM25;TICAM1;TIFA;C4B;C4A;TLR3;RNASET2;LGALS3;CLU;PARP14;CSF1;MYD88;IRAK4;TLR4;ZC3HAV1;UNC93B1;UBE2L6;F2RL1;HMGB2;S100A9;TRIM5;APOBEC3G;PCBP2;TLR5;GBP1;NONO;MAP3K5;TICAM2;LY96;PARP9;C1R;C1S;IRF7;RELA;NMI;HLA-C;RNF135;DTX3L;HLA-A;APOL1;CD14;TLR2;FCGR1A;IFI16;SEC14L1;TRAF4;RNASE6;UBA7;FCER1G;NQO1;MR1;TRIM28;NCF2;PML;MAVS;C1QC;AXL;MFHAS1;NEDD4;IFIH1;RIPK2;HLA-B;C1QA;C1QB;PPP1R14B;CYBA;BST2;CASP4;SYK;IRF3;PYCARD;G3BP1;PRKD1;C2;CD160;BTK;B2M;IRF5;GSDMD;IFI35
GO:0070588,2.5647611045533196,1.2863566256555647e-9,4.736365095663789e-7,69,CACNA1S;TRPC3;SLC8A3;ATP2B2;P2RX2;CACNA2D2;CACNA2D3;CACNG3;TRPA1;TRPM2;P2RX5;GRIN2A;CACNB1;CACNA1G;CUL5;CACNA1F;CACNB4;MCOLN1;TRPC1;EDNRA;PANX1;ATP2A2;TRPM7;TRPV6;CACNG8;CACNA1A;SLC8A1;GRIN3A;CACNA1D;CACNA1I;CACNG2;PSEN1;GRIN1;P2RX7
GO:0042274,-2.569387995532545,3.3812633306174474e-9,1.0374842986111201e-6,31,RPS24;RPS16;RPS4X;RPS23;RPS15A;RPS19;RPS13;RPS3A;RPS25;RPS5;RPS6;RPS27;RPS14;RPS8;RPS12;AATF;RPS11;RPS17;RPS15;RPS27A;RPS9;RPS28;FBL;RPS7
GO:0071222,-2.2900758811690047,2.556917828648156e-8,6.7246938893446504e-6,97,IL18;VIM;ARID5A;MAP2K3;PLSCR4;CXCL5;TICAM1;TNFAIP3;MYD88;TLR4;CD40;SERPINE1;CAPN2;NR1D1;HMGB2;TLR5;TICAM2;LY96;GSTP1;RELA;CASP7;CD68;CCL2;CD14;TSPO;TNIP2;AXL;HSF1;TBXA2R;XBP1;RHOA;LITAF;CDK4;PYCARD;PLSCR3;ZFP36;NFKB1;CDC73;B2M;IRF8;EDNRB;CD86;CD274;TLR9;TNFRSF1B;NR1H3;HADHB;IL1B;CASP1
GO:0050804,2.425685042033145,4.781109193995436e-8,1.1002527532681996e-5,63,BDNF;PTPRD;PPP3CA;NLGN1;RTN4;GRIK3;RPS6KB1;GRIA3;NTNG1;LRP8;PAFAH1B1;CDKL5;MAPK9;PPP1R9A;GRIK1;LRRC4C;CPLX3;GRIA1;DLGAP2;DLGAP1;CACNA1B;CACNA1A;GRIK2;GRIN3A;GRIA2;DGKE;GRIA4;DNM1;ARC;PRKAR2B;CDH11;NLGN4X
GO:0032757,-2.2256698841019826,1.3709392468164836e-6,2.804332392654607e-4,40,TLR3;CD74;MYD88;TLR4;PRKD2;SERPINE1;F2RL1;F2R;STAT3;TLR5;F3;RELA;HSPA1B;CD14;TLR2;HSPA1A;CHI3L1;RIPK1;MAVS;LGALS9;SYK;PYCARD;PARK7;LAMTOR5;TLR9;IL1B;NOD1;FADD;IL17D
GO:0035249,2.395294975818878,1.7682624197808003e-6,2.910355213076042e-4,35,UNC13A;CDH8;GRIN2A;GRIK3;EXT1;CDK5;ALS2;GRIA3;CACNB4;NR3C1;UNC13B;GRIK1;GRIA1;GRIN2B;GRIK2;GRIN3A;GRIA2;GRIA4;NAPA;PRKN
