ID,Description,NES,pval,padj,size,leadingEdge
WP477,Cytoplasmic ribosomal proteins,-3.2978624031579535,7.529028949992963e-28,5.262791236045081e-25,86,RPL5;RPS24;RPLP0;RPL17;RPS16;RPL23;RPL4;RPL3;RPL7A;RPS4X;RPS3;RPL14;RPL28;RPL13A;RPS23;RPL15;RPS15A;RPS21;RPS19;RPS13;FAU;RPL18;RPL23A;RPS3A;RPS25;RPL7;RPLP2;RPL18A;RPS5;RPS6;RPL22;RPL10;RPL13;RPL39;RPL30;RPL8;RPSA;RPL9;RPS27;RPL19;RPL27A;RPS14;RPLP1;RPL37;RPS8;RPS12;RPL11;RPS11;RPS29;RPL32;RPS17;RPS20;RPS15;RPL36A;RPL24;RPS27A;RPS18;RPL34;RPL41;RPL36;RPL29;RPS9;RPS28;RPS2;RPL10A;RPL21;RPL35A;RPL37A;RPS10;RPL38;RPL27;RPL31;RPL26;RPL35;UBA52;RPS6KA2;RPS7;RPL12
WP3945,TYROBP causal network in microglia,-2.498619289624083,7.704625737930322e-10,1.795177796937765e-7,54,IL18;HCLS1;IL13RA1;TCIRG1;CAPG;STAT5A;CXCL16;SLC1A5;ABCC4;RBM47;CD37;CD4;RNASE6;LHFPL2;NCF2;C1QC;RGS1;NPC2;GPX1;TGFBR1;SPP1;ITGB2;TYROBP;PPP1R18;KCNE3;PYCARD;IGSF6;PLEK;SFT2D2;ZFP36L2;TNFRSF1B;NRROS;ADAP2;GIMAP2;NCKAP1L;BIN2;LYL1;RPS6KA1;SLC7A7;APBB1IP;C3
WP5420,ADHD and autism ASD pathways,1.9699907579235172,7.310445107278997e-10,1.795177796937765e-7,315,CNTNAP4;HTR6;KCNA1;HTR1F;ADRA1D;PRKCD;CNTN6;DRD2;PNMT;CACNG3;STX1A;SCN5A;DAGLA;GRM8;KCNA6;SCN3B;SLC25A32;HOMER1;GRM7;SORBS2;GRIN2A;NLGN1;PRKCB;NRXN3;SCN2A;CNTN2;SCN8A;GRM2;SYP;ATG16L1;KCNA2;PRKCG;HTR2A;GRIA3;KYAT3;SYT1;GABRA1;NGLY1;DLG3;SLC19A1;HOMER2;NOS2;HTR7;RFK;APP;MTOR;GABRB2;PRKAR1B;PIK3R1;ATG10;CNR1;HTR4;ALPL;ADSS2;CTTN;PRKAR1A;GRIA1;DLGAP2;GRIN2B;GPHN;PIK3CB;VAMP2;DLGAP1;GABRB3;CNTN4;CACNG8;SCN3A;PAH;GRM3;GABBR1;GRIN3A;GRIA2;NRXN1;GRIA4;DLG1;SNAP25;CACNG2;BHMT;SLC25A13;CNTNAP1;PIK3CD;SCN1A;AKT3;CALM1;STXBP1;CNTN3;SHANK2;FOLH1;PRKAR2B;PIK3C3;GRIN1;DNMT1;GABRA4;PRKACB;HPRT1;PRKAA2;KMO;ACACA;CNTN1;GRM5;MAP1LC3A;NLGN4X;PIK3R4;PRKAA1;PRKCZ;SCN2B;GRIP1;RB1CC1;DEPTOR;NRXN2;GABRA3;TPH2;FAAH;KCNA4;AKR1C1;MTR;RICTOR;CACNG4;BECN1;GOT2;OPRM1;SLC6A1;TSC1;HTR3B;SLC25A12;NOS1
WP2328,Allograft rejection,-2.380731269350346,1.6334552581710484e-8,2.283570450923126e-6,54,HLA-DPB1;VIM;HLA-DRB5;C4B;C4A;FAS;HLA-DPA1;CD40;HLA-DRA;BHMT2;HLA-DRB1;CASP7;HLA-C;MICA;HLA-A;HLA-DMA;HLA-DQA1;C1QC;TGFB1;HLA-B;C1QA;C1QB;C2;C5;C7;CD86;HLA-DMB;GABPA;HLA-E;IL1B;PECR
WP2806,Complement system,-2.3644647479215157,1.562096701871465e-8,2.283570450923126e-6,60,CFI;SERPING1;C4A;GNAI3;CD40;CD59;CFB;SELL;LAMC1;VSIG4;C1S;GNAI2;RPS19;CFH;C3AR1;TLR2;WAS;FPR1;ICAM1;FCGR3A;ADM;SPP1;C2;C5;PRKCA;C7;MASP1;PROS1;CD93;CALR;PLAUR;CFP;SFTPA2;C3
WP3869,Cannabinoid receptor signaling,2.608814370688465,2.222139898359366e-7,2.5887929815886613e-5,24,MAPK11;CYP1A1;DAGLA;MAPK13;MAPK8;ADCY1;MAPK9;PRKAR1B;ADCY7;CNR1;NAPEPLD;PRKAR1A;MAPK12;MAPK1;PRKAR2B;PRKACB;MAPK10;AHR
WP5333,Enterocyte cholesterol metabolism,2.534236628424734,3.942310644787254e-7,3.936678772437558e-5,30,HMGCS1;HMGCR;SQLE;DHCR24;TM7SF2;SLC27A4;MVD;CYP51A1;FDPS;IDI1;FDFT1;SC5D;MSMO1;ACAT2;MVK;EBP;CD36;DHCR7
WP3896,Dengue 2 interactions with complement and coagulation cascades,-2.3197388846913665,6.023378422908434e-7,4.678157241792217e-5,37,CFI;SERPING1;C4B;CLU;THBD;SERPINE1;F2R;SERPINA1;CFB;C1R;C1S;F3;CFH;C3AR1;LMAN1;C1QC;C1QA;C1QB;C2;C7;MASP1;PROS1;VWF;PLAUR
WP558,Complement and coagulation cascades,-2.3197388846913665,6.023378422908434e-7,4.678157241792217e-5,37,CFI;SERPING1;C4B;CLU;THBD;SERPINE1;F2R;SERPINA1;CFB;C1R;C1S;F3;CFH;C3AR1;LMAN1;C1QC;C1QA;C1QB;C2;C7;MASP1;PROS1;VWF;PLAUR
WP2525,Trans sulfuration one carbon metabolism and related pathways,-2.190272459056654,1.4339513743559029e-6,1.0023320106747762e-4,59,GPX7;AHCYL1;AHCYL2;BHMT2;CHKA;SHMT1;CHPT1;SOD3;PHGDH;MTHFD2;CTH;BCAT2;PSAT1;AMT;ALDH7A1;MTHFD2L;CHDH;CBS;GPX1;PSPH;GCLM;DMGDH;SARDH;ETNK2
