ID,Description,direction,cam_FDR,fg_FDR,fgsea_NES
WP477,Cytoplasmic ribosomal proteins,Down,1.003717330927726e-12,5.262791236045081e-25,-3.2978624031579535
WP3945,TYROBP causal network in microglia,Down,2.1847020558067143e-5,1.795177796937765e-7,-2.498619289624083
WP5193,Cholesterol synthesis disorders,Up,5.483804232776358e-5,1.0179685916450258e-4,2.497606635110071
WP197,Cholesterol biosynthesis pathway,Up,1.3741110408548656e-4,0.00109641804837545,2.317607213994933
WP2328,Allograft rejection,Down,2.473991874758983e-4,2.283570450923126e-6,-2.380731269350346
WP3869,Cannabinoid receptor signaling,Up,2.473991874758983e-4,2.5887929815886613e-5,2.608814370688465
WP5333,Enterocyte cholesterol metabolism,Up,2.473991874758983e-4,3.936678772437558e-5,2.534236628424734
WP2806,Complement system,Down,0.00237887734712231,2.283570450923126e-6,-2.3644647479215157
WP3896,Dengue 2 interactions with complement and coagulation cascades,Down,0.00237887734712231,4.678157241792217e-5,-2.3197388846913665
WP558,Complement and coagulation cascades,Down,0.00237887734712231,4.678157241792217e-5,-2.3197388846913665
WP4875,Disruption of postsynaptic signaling by CNV,Up,0.00237887734712231,0.00295927834710955,2.11298538541378
WP4462,Platelet mediated interactions with vascular and circulating cells,Down,0.00237887734712231,0.003646939817676,-2.0005190880910804
WP4559,Interactions between immune cells and microRNAs in tumor microenvironment,Down,0.00278012180020816,0.00427646546314929,-2.0366826697168965
WP2865,IL1 and megakaryocytes in obesity,Down,0.00278012180020816,0.00956864364349017,-1.9569497521349124
WP2267,Synaptic vesicle pathway,Up,0.00304315571990636,0.00144847767252179,2.0852043299660377
WP545,Complement activation,Down,0.00388827053051607,6.790832777514961e-4,-2.216651852718742
WP5284,Cell interactions in pancreatic cancer microenvironment,Down,0.00512002016294717,0.00383859550439882,-2.05439219240826
WP5491,Transcriptional regulation of memory B cell differentiation,Down,0.00512002016294717,0.00427646546314929,-1.9508420127394197
WP5312,Metabolic pathways of fibroblasts,Down,0.00663193246867652,6.790832777514961e-4,-2.126972517678609
WP5090,Complement system in neuronal development and plasticity,Down,0.0084426052430338,1.7083777058800366e-4,-2.0703197337952868
WP4718,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,Up,0.0084426052430338,5.498865574424611e-4,2.1777984918977755
WP4222,Phosphodiesterases in neuronal function,Up,0.0084426052430338,0.00288007656045155,2.045125476027102
WP5055,Burn wound healing,Down,0.01073351454497748,8.647375958280459e-4,-2.0446034404865414
WP4549,Fragile X syndrome,Up,0.01741625206823395,6.790832777514961e-4,1.9690454682485572
WP5329,Cholesterol biosynthesis pathway in hepatocytes,Up,0.01741625206823395,0.00344125903336431,2.100334021858099
WP1982,Sterol regulatory element binding proteins SREBP signaling,Up,0.01866442087894904,0.00162589553731771,2.030103129414436
WP408,Oxidative stress response,Down,0.02252119163420058,0.02160801613304994,-1.8169547117644151
WP4190,Mevalonate arm of cholesterol biosynthesis pathway,Up,0.02372044891386783,0.00537436906248617,2.1062069740769345
WP3877,MYD88 distinct input output pathway,Down,0.02835131962442824,0.0200591961752169,-1.8698884472661197
WP5420,ADHD and autism ASD pathways,Up,0.03032894231120384,1.795177796937765e-7,1.9699907579235172
WP58,Monoamine GPCRs,Up,0.03636978055038457,0.00537436906248617,2.0552848807303428
WP4136,Fibrin complement receptor 3 signaling,Down,0.03651671081208257,0.00383859550439882,-1.9701381621998764
WP3937,Microglia pathogen phagocytosis pathway,Down,0.03937077295979274,0.0134023292626232,-1.831994671887663
WP176,Folate metabolism,Down,0.03937077295979274,0.02555250516211458,-1.8067090508057275
WP2525,Trans sulfuration one carbon metabolism and related pathways,Down,0.04114948484346351,1.0023320106747762e-4,-2.190272459056654
WP4539,Synaptic signaling associated with autism spectrum disorder,Up,0.04114948484346351,0.01428266746372689,1.8136332772800403
WP4542,Leukocyte intrinsic Hippo pathway functions,Down,0.04114948484346351,0.0202159115302659,-1.862898768767421
WP560,TGF beta receptor signaling,Down,0.04240066330259371,0.00144847767252179,-2.048569372139938
WP5198,Inflammatory bowel disease signaling,Down,0.04240066330259371,0.00392678161549021,-2.0039041715414982
WP4537,Hippo YAP signaling,Down,0.04240066330259371,0.00792307644434607,-1.9636560278664421
WP5398,NRXN1 deletion syndrome,Up,0.04240066330259371,0.02721622690571981,1.901993460211971
WP5473,Cytokine cytokine receptor interaction,Down,0.04473956419067566,0.00400848600723434,-1.8165373928990476
WP4816,TGF beta receptor signaling in skeletal dysplasias,Down,0.04598286030202893,0.00114003824963235,-2.0473989731617346
WP117,GPCRs other,Up,0.04598286030202893,0.00383859550439882,1.9787179445453669
WP1433,Nucleotide binding oligomerization domain NOD pathway,Down,0.04598286030202893,0.0103211482842914,-1.8471053766829224
