original_term_id,kept_term_id,pair_similarity,direction
GO:0006412,GO:0002181,0.952,Down
GO:0032722,GO:0032757,0.733,Down
GO:0032729,GO:0032757,0.733,Down
GO:0032755,GO:0032757,0.733,Down
GO:0032760,GO:0032757,0.634,Down
GO:0006958,GO:0050778,0.647,Down
GO:0006956,GO:0050778,0.786,Down
GO:0035329,GO:0002224,0.645,Down
GO:0006955,GO:0002376,0.63,Down
GO:0045087,GO:0034341,0.807,Down
GO:0099170,GO:0007268,0.62,Up
GO:0035249,GO:0007268,0.85,Up
GO:0050804,GO:0007268,0.653,Up
GO:0099171,GO:0007268,0.62,Up
GO:0035725,GO:0070588,0.656,Up
GO:0007613,GO:0007612,0.735,Up
GO:0007215,GO:0007218,0.645,Up
GO:0016079,GO:0016082,0.851,Up
GO:2000300,GO:0016082,0.647,Up
GO:0051966,GO:0060291,0.61,Up
GO:0048168,GO:0060291,0.717,Up
