ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,cluster
GO:0002181,NA,Down,1.795499220244374e-13,5.323057482035116e-29,-3.42976232213527,GO,83,1
WP477,Cytoplasmic ribosomal proteins,Down,1.003717330927726e-12,5.262791236045081e-25,-3.2978624031579535,WP,86,1
GO:0006412,NA,Down,1.988797147335108e-9,2.585310733096814e-25,-3.2618864287088165,GO,107,1
GO:0042274,NA,Down,4.404370970188386e-4,1.03748429861112e-6,-2.569387995532545,GO,31,1
GO:0006364,NA,Down,0.03684951441502938,0.00280720326772862,-2.117413312314719,GO,44,1
WP3945,TYROBP causal network in microglia,Down,2.1847020558067143e-5,1.795177796937765e-7,-2.498619289624083,WP,54,2
WP2328,Allograft rejection,Down,2.473991874758983e-4,2.283570450923126e-6,-2.380731269350346,WP,54,3
GO:0050778,NA,Down,0.00108763823448462,0.01600950481129012,-1.983580873455319,GO,15,3
GO:0002503,NA,Down,0.00161456554651618,0.01618736715801807,-1.9544767299180792,GO,11,3
GO:0019886,NA,Down,0.0084931805983397,0.00915436457523768,-1.9933004815814028,GO,20,3
WP2806,Complement system,Down,0.00237887734712231,2.283570450923126e-6,-2.3644647479215157,WP,60,4
WP3896,Dengue 2 interactions with complement and coagulation cascades,Down,0.00237887734712231,4.678157241792217e-5,-2.3197388846913665,WP,37,4
WP558,Complement and coagulation cascades,Down,0.00237887734712231,4.678157241792217e-5,-2.3197388846913665,WP,37,4
GO:0006958,NA,Down,0.00287296688732962,7.456018674293909e-4,-2.174169785382478,GO,19,4
GO:0006956,NA,Down,0.00386462065058255,0.01415296890408868,-1.9818645696258232,GO,12,4
WP545,Complement activation,Down,0.00388827053051607,6.790832777514961e-4,-2.216651852718742,WP,17,4
WP5090,Complement system in neuronal development and plasticity,Down,0.0084426052430338,1.7083777058800366e-4,-2.0703197337952868,WP,83,4
WP4462,Platelet mediated interactions with vascular and circulating cells,Down,0.00237887734712231,0.003646939817676,-2.0005190880910804,WP,12,5
GO:0002224,NA,Down,0.00264356415847938,0.0192200453284419,-1.9134030089990597,GO,21,5
WP4559,Interactions between immune cells and microRNAs in tumor microenvironment,Down,0.00278012180020816,0.00427646546314929,-2.0366826697168965,WP,17,5
WP2865,IL1 and megakaryocytes in obesity,Down,0.00278012180020816,0.00956864364349017,-1.9569497521349124,WP,19,5
