ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,cluster
WP5193,Cholesterol synthesis disorders,Up,5.483804232776358e-5,1.0179685916450258e-4,2.497606635110071,WP,17,1
WP197,Cholesterol biosynthesis pathway,Up,1.3741110408548656e-4,0.00109641804837545,2.317607213994933,WP,15,1
WP5333,Enterocyte cholesterol metabolism,Up,2.473991874758983e-4,3.936678772437558e-5,2.534236628424734,WP,30,1
GO:0006695,NA,Up,0.00359706822518594,0.00898441947450352,2.061070097555793,GO,31,1
WP4718,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,Up,0.0084426052430338,5.498865574424611e-4,2.1777984918977755,WP,44,1
WP5329,Cholesterol biosynthesis pathway in hepatocytes,Up,0.01741625206823395,0.00344125903336431,2.100334021858099,WP,40,1
WP1982,Sterol regulatory element binding proteins SREBP signaling,Up,0.01866442087894904,0.00162589553731771,2.030103129414436,WP,65,1
WP4190,Mevalonate arm of cholesterol biosynthesis pathway,Up,0.02372044891386783,0.00537436906248617,2.1062069740769345,WP,13,1
WP3869,Cannabinoid receptor signaling,Up,2.473991874758983e-4,2.5887929815886613e-5,2.608814370688465,WP,24,2
WP4875,Disruption of postsynaptic signaling by CNV,Up,0.00237887734712231,0.00295927834710955,2.11298538541378,WP,33,3
GO:0035418,NA,Up,0.01136961233227523,0.0216964808933761,2.0090024484583813,GO,16,3
WP4549,Fragile X syndrome,Up,0.01741625206823395,6.790832777514961e-4,1.9690454682485572,WP,117,3
GO:0048168,NA,Up,0.03633741228651593,0.02514295742059256,1.911867250944824,GO,21,3
WP4539,Synaptic signaling associated with autism spectrum disorder,Up,0.04114948484346351,0.01428266746372689,1.8136332772800403,WP,49,3
WP2267,Synaptic vesicle pathway,Up,0.00304315571990636,0.00144847767252179,2.0852043299660377,WP,48,4
WP4222,Phosphodiesterases in neuronal function,Up,0.0084426052430338,0.00288007656045155,2.045125476027102,WP,49,5
GO:0019933,NA,Up,0.03944032754649897,0.04489310820384302,1.9680777509403105,GO,24,5
WP5420,ADHD and autism ASD pathways,Up,0.03032894231120384,1.795177796937765e-7,1.9699907579235172,WP,315,6
WP58,Monoamine GPCRs,Up,0.03636978055038457,0.00537436906248617,2.0552848807303428,WP,29,7
GO:0035249,NA,Up,0.00287296688732962,2.910355213076042e-4,2.395294975818878,GO,35,8
GO:0060078,NA,Up,0.00355672949906109,0.0019509664407077,2.240297798664869,GO,31,8
GO:0050804,NA,Up,0.00359706822518594,1.1002527532681996e-5,2.425685042033145,GO,63,8
GO:0007215,NA,Up,0.00911996012482953,0.0029564929731817,2.285494909292774,GO,17,8
GO:0035235,NA,Up,0.03315763473878957,0.00387868714063513,2.1670097364682,GO,20,8
WP5398,NRXN1 deletion syndrome,Up,0.04240066330259371,0.02721622690571981,1.901993460211971,WP,17,8
WP117,GPCRs other,Up,0.04598286030202893,0.00383859550439882,1.9787179445453669,WP,55,9
GO:0007268,NA,Up,4.21995784412563e-5,1.2778373054965996e-10,2.5857518135564312,GO,144,10
GO:0098703,NA,Up,3.30495374575923e-4,4.809442613428147e-4,2.442127301979382,GO,17,11
GO:0070588,NA,Up,5.79017567244205e-4,4.736365095663789e-7,2.5647611045533196,GO,69,11
GO:0060079,NA,Up,5.79017567244205e-4,2.910355213076042e-4,2.336372377693145,GO,44,12
GO:0034220,NA,Up,0.00995268290457295,0.0090695048713761,1.985758345091364,GO,51,12
GO:0014059,NA,Up,0.00159724496216293,7.472306392228792e-4,2.3691409943980366,GO,13,13
GO:0099171,NA,Up,0.01445842821603593,0.00313390053144747,2.133542871333737,GO,29,13
GO:0007612,NA,Up,0.00175988689118953,0.00147124403842275,2.207719798556577,GO,43,14
GO:0007613,NA,Up,0.04473890604847642,0.0244988365921929,1.8674092608020123,GO,51,14
GO:0007218,NA,Up,0.00175988689118953,0.0019509664407077,2.125157364156871,GO,48,15
GO:0086002,NA,Up,0.00207487347414979,0.0019509664407077,2.2702091335566355,GO,19,16
GO:0035725,NA,Up,0.03228856054951103,0.00425445586775836,1.990013017498292,GO,65,16
GO:0099170,NA,Up,0.00264356415847938,3.165021103734992e-4,2.419476127700322,GO,18,17
GO:0016082,NA,Up,0.00359706822518594,0.00731096784028375,2.169135553321862,GO,14,18
GO:1903861,NA,Up,0.01045788657607808,0.0090695048713761,2.180675180158598,GO,12,19
GO:0022038,NA,Up,0.01178359176808233,0.02703048849251761,2.0337409732676273,GO,13,20
GO:0007416,NA,Up,0.01737682426383347,0.00681683503451281,2.0338427332057805,GO,37,21
GO:0060291,NA,Up,0.02509555012215168,0.00231197721258813,2.110693134144751,GO,40,22
GO:0019228,NA,Up,0.02509555012215168,0.01971644623565429,2.008600680894481,GO,23,23
GO:0016079,NA,Up,0.02823102175370183,0.01618736715801807,2.109264086538784,GO,17,24
GO:0051966,NA,Up,0.03228856054951103,0.0261662993073138,1.960170280319154,GO,22,25
GO:2000300,NA,Up,0.03684951441502938,0.01491385220032539,2.032564578461375,GO,25,26
GO:0036092,NA,Up,0.03705988771114831,0.00313390053144747,2.1678409113440664,GO,21,27
GO:0061003,NA,Up,0.03705988771114831,0.01802522088545375,2.0879758374064905,GO,13,28
GO:0007026,NA,Up,0.03944032754649897,0.02745011645508003,1.9334171279136072,GO,20,29
GO:0050808,NA,Up,0.04726702345883797,0.04966780644973519,1.7785484224361656,GO,38,30
