from,to,jaccard,k
WP5193,WP197,0.7777777777777778,14
WP5193,WP5333,0.5666666666666667,17
WP5193,WP4718,0.38636363636363635,17
WP5193,WP5329,0.35714285714285715,15
WP5193,WP4190,0.36363636363636365,8
WP5193,GO:0006695,0.45454545454545453,15
WP197,WP5333,0.5,15
WP197,WP4718,0.3409090909090909,15
WP197,WP5329,0.30952380952380953,13
WP197,WP4190,0.4,8
WP197,GO:0006695,0.3939393939393939,13
WP5333,WP4718,0.4230769230769231,22
WP5333,WP5329,0.4,20
WP5333,WP4190,0.2647058823529412,9
WP5333,GO:0006695,0.4186046511627907,18
WP4875,WP4539,0.17142857142857143,12
WP4875,WP5398,0.25,10
WP4875,GO:0035418,0.16666666666666666,7
WP4875,GO:0048168,0.22727272727272727,10
WP4718,WP5329,0.7872340425531915,37
WP4718,WP4190,0.2127659574468085,10
WP4718,GO:0006695,0.3392857142857143,19
WP4222,GO:0019933,0.35185185185185186,19
WP4549,WP4539,0.16901408450704225,24
WP5329,WP4190,0.2619047619047619,11
WP5329,GO:0006695,0.39215686274509803,20
WP1982,GO:0006695,0.17073170731707318,14
WP4190,GO:0006695,0.2571428571428571,9
WP5398,GO:0035249,0.23809523809523808,10
WP5398,GO:0007215,0.1724137931034483,5
WP5398,GO:0035235,0.4230769230769231,11
WP5398,GO:0048168,0.15151515151515152,5
GO:0098703,GO:0070588,0.1780821917808219,13
GO:0060079,GO:0034220,0.15853658536585366,13
GO:0014059,GO:0099171,0.16666666666666666,6
GO:0007612,GO:0007613,0.16049382716049382,13
GO:0086002,GO:0035725,0.1506849315068493,11
GO:0035249,GO:0060078,0.17857142857142858,10
GO:0035249,GO:0007215,0.23809523809523808,10
GO:0035249,GO:0035235,0.375,15
GO:0060078,GO:0035235,0.21428571428571427,9
GO:0050804,GO:0035235,0.1527777777777778,11
GO:0007215,GO:0035235,0.32142857142857145,9
