cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES
1,GO:0002181,NA,Down,1.795499220244374e-13,5.323057482035116e-29,-3.42976232213527,GO,83,1.795499220244374e-13,3.42976232213527
2,WP3945,TYROBP causal network in microglia,Down,2.1847020558067143e-5,1.795177796937765e-7,-2.498619289624083,WP,54,2.1847020558067143e-5,2.498619289624083
3,WP2328,Allograft rejection,Down,2.473991874758983e-4,2.283570450923126e-6,-2.380731269350346,WP,54,2.473991874758983e-4,2.380731269350346
4,WP2806,Complement system,Down,0.00237887734712231,2.283570450923126e-6,-2.3644647479215157,WP,60,0.00237887734712231,2.3644647479215157
5,WP4462,Platelet mediated interactions with vascular and circulating cells,Down,0.00237887734712231,0.003646939817676,-2.0005190880910804,WP,12,0.003646939817676,2.0005190880910804
6,WP5284,Cell interactions in pancreatic cancer microenvironment,Down,0.00512002016294717,0.00383859550439882,-2.05439219240826,WP,16,0.00512002016294717,2.05439219240826
7,WP5312,Metabolic pathways of fibroblasts,Down,0.00663193246867652,6.790832777514961e-4,-2.126972517678609,WP,30,0.00663193246867652,2.126972517678609
8,WP5055,Burn wound healing,Down,0.01073351454497748,8.647375958280459e-4,-2.0446034404865414,WP,56,0.01073351454497748,2.0446034404865414
9,WP408,Oxidative stress response,Down,0.02252119163420058,0.02160801613304994,-1.8169547117644151,WP,27,0.02252119163420058,1.8169547117644151
10,WP4136,Fibrin complement receptor 3 signaling,Down,0.03651671081208257,0.00383859550439882,-1.9701381621998764,WP,33,0.03651671081208257,1.9701381621998764
11,WP3937,Microglia pathogen phagocytosis pathway,Down,0.03937077295979274,0.0134023292626232,-1.831994671887663,WP,35,0.03937077295979274,1.831994671887663
12,WP176,Folate metabolism,Down,0.03937077295979274,0.02555250516211458,-1.8067090508057275,WP,44,0.03937077295979274,1.8067090508057275
13,GO:0035329,NA,Down,0.03655668747244404,6.80057789967816e-4,-2.2129957078926874,GO,16,0.03655668747244404,2.2129957078926874
14,WP560,TGF beta receptor signaling,Down,0.04240066330259371,0.00144847767252179,-2.048569372139938,WP,47,0.04240066330259371,2.048569372139938
15,WP5473,Cytokine cytokine receptor interaction,Down,0.04473956419067566,0.00400848600723434,-1.8165373928990476,WP,105,0.04473956419067566,1.8165373928990476
16,WP1433,Nucleotide binding oligomerization domain NOD pathway,Down,0.04598286030202893,0.0103211482842914,-1.8471053766829224,WP,32,0.04598286030202893,1.8471053766829224
17,GO:0032757,NA,Down,1.3802117479050068e-4,2.804332392654607e-4,-2.225669884101982,GO,40,2.804332392654607e-4,2.225669884101982
18,GO:0007159,NA,Down,0.00264356415847938,0.0019509664407077,-2.105976723208058,GO,19,0.00264356415847938,2.105976723208058
19,GO:0071222,NA,Down,0.00268623592171599,6.7246938893446504e-6,-2.2900758811690047,GO,97,0.00268623592171599,2.2900758811690047
20,GO:0071276,NA,Down,0.00911996012482953,0.00425445586775836,-2.054273793331353,GO,14,0.00911996012482953,2.054273793331353
21,GO:0002376,NA,Down,0.00911996012482953,0.00915436457523768,-1.993373402905638,GO,20,0.00915436457523768,1.993373402905638
22,GO:0045766,NA,Down,0.01045788657607808,3.1750159271412066e-4,-2.06660854656893,GO,94,0.01045788657607808,2.06660854656893
23,GO:0034341,NA,Down,0.01226511611944585,0.00731096784028375,-2.014774570168943,GO,14,0.01226511611944585,2.014774570168943
24,GO:0045087,NA,Down,0.02823102175370183,3.412687608622966e-7,-2.1038816542546703,GO,218,0.02823102175370183,2.1038816542546703
25,GO:0001570,NA,Down,0.02850548703043163,0.0019509664407077,-2.058415826295988,GO,40,0.02850548703043163,2.058415826295988
26,GO:0006955,NA,Down,0.03296685983527277,2.910355213076042e-4,-1.987716395870759,GO,140,0.03296685983527277,1.987716395870759
27,GO:0034097,NA,Down,0.03549250483970976,0.00313390053144747,-2.03824334468723,GO,34,0.03549250483970976,2.03824334468723
28,GO:0045669,NA,Down,0.03684951441502938,0.02516619263469836,-1.8716579446802617,GO,50,0.03684951441502938,1.8716579446802617
29,GO:1900182,NA,Down,0.03810235345273468,0.02474784780485208,-1.8914205236144568,GO,31,0.03810235345273468,1.8914205236144568
30,GO:0010718,NA,Down,0.03944032754649897,0.04044166299356291,-1.8360135853565944,GO,37,0.04044166299356291,1.8360135853565944
31,GO:0042742,NA,Down,0.04046752504160132,0.01521174176531589,-1.82768956255474,GO,53,0.04046752504160132,1.82768956255474
32,GO:1902895,NA,Down,0.04432086945894142,0.00321836256414131,-1.981384048679791,GO,40,0.04432086945894142,1.981384048679791
33,GO:0071260,NA,Down,0.04896231074252587,0.02932929575891607,-1.7660824129189254,GO,59,0.04896231074252587,1.7660824129189254
