cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES,in_consensus,solo_high_conf,keep_final
10,GO:0007268,chemical synaptic transmission,UP,4.21995784412563e-5,1.2778373054965996e-10,2.5857518135564312,GO,144,4.21995784412563e-5,2.5857518135564312,FALSE,TRUE,TRUE
1,WP5193,Cholesterol synthesis disorders,UP,5.483804232776358e-5,1.0179685916450258e-4,2.497606635110071,WP,17,1.0179685916450258e-4,2.497606635110071,FALSE,TRUE,TRUE
2,WP3869,Cannabinoid receptor signaling,UP,2.473991874758983e-4,2.5887929815886613e-5,2.608814370688465,WP,24,2.473991874758983e-4,2.608814370688465,FALSE,TRUE,TRUE
11,GO:0098703,calcium ion import across plasma membrane,UP,3.30495374575923e-4,4.809442613428147e-4,2.442127301979382,GO,17,4.809442613428147e-4,2.442127301979382,FALSE,TRUE,TRUE
12,GO:0060079,excitatory postsynaptic potential,UP,5.79017567244205e-4,2.910355213076042e-4,2.336372377693145,GO,44,5.79017567244205e-4,2.336372377693145,FALSE,TRUE,TRUE
1,GO:0002181,cytoplasmic translation,DOWN,1.795499220244374e-13,5.323057482035115e-29,-3.42976232213527,GO,83,1.795499220244374e-13,3.42976232213527,FALSE,TRUE,TRUE
2,WP3945,TYROBP causal network in microglia,DOWN,2.1847020558067143e-5,1.795177796937765e-7,-2.498619289624083,WP,54,2.1847020558067143e-5,2.498619289624083,FALSE,TRUE,TRUE
3,WP2328,Allograft rejection,DOWN,2.473991874758983e-4,2.283570450923126e-6,-2.380731269350346,WP,54,2.473991874758983e-4,2.380731269350346,FALSE,TRUE,TRUE
17,GO:0032757,positive regulation of interleukin-8 production,DOWN,1.3802117479050068e-4,2.804332392654607e-4,-2.225669884101982,GO,40,2.804332392654607e-4,2.225669884101982,FALSE,TRUE,TRUE
4,WP2806,Complement system,DOWN,0.00237887734712231,2.283570450923126e-6,-2.3644647479215157,WP,60,0.00237887734712231,2.3644647479215157,FALSE,TRUE,TRUE
