ID,Description,NGenes,Direction,PValue,FDR
WP2446,Retinoblastoma gene in cancer,87,Down,2.0448774263082245e-10,1.4723117469419215e-7
WP183,Proteasome degradation,60,Down,2.914224344813335e-9,1.0491207641328006e-6
WP466,DNA replication,41,Down,1.2395372405668252e-7,2.9748893773603807e-5
WP5153,N glycan biosynthesis,55,Down,2.5747425403243334e-6,4.6345365725838e-4
WP179,Cell cycle,116,Down,1.2005946496645274e-5,0.0017288562955169195
WP2006,miR targeted genes in squamous cell,122,Down,1.734759395687604e-5,0.002081711274825125
WP716,Vitamin A and carotenoid metabolism,30,Up,2.735682487053402e-5,0.002259533889185635
WP4784,Proteoglycan biosynthesis,18,Down,2.924453868207829e-5,0.002259533889185635
WP4240,Regulation of sister chromatid separation at the metaphase anaphase transition,14,Down,3.112334064990059e-5,0.002259533889185635
WP4016,DNA IR damage and cellular response via ATR,81,Down,3.138241512757827e-5,0.002259533889185635
WP2003,miR targeted genes in leukocytes,126,Down,4.490777336918536e-5,0.002805034903631979
WP531,DNA mismatch repair,23,Down,4.7476480563534574e-5,0.002805034903631979
WP4290,Metabolic reprogramming in colon cancer,41,Down,5.064646353779961e-5,0.002805034903631979
WP3945,TYROBP causal network in microglia,59,Down,7.101291182284111e-5,0.003652092608031829
WP2361,Gastric cancer network 1,26,Down,9.210561010035338e-5,0.004421069284816962
WP5395,Glycosaminoglycan synthesis in fibroblasts,39,Down,9.851786487543038e-5,0.0044333039193943675
WP4786,Type I collagen synthesis in the context of osteogenesis imperfecta,30,Down,1.0900884387614447e-4,0.004616845152401412
WP4521,Glycosylation and related congenital defects,25,Down,1.3207467582085106e-4,0.005282987032834042
WP5390,Pancreatic cancer subtypes,20,Up,2.316900718645099e-4,0.00877983430223406
WP4149,White fat cell differentiation,31,Up,2.451056414388582e-4,0.008823803091798896
WP3959,DNA IR double strand breaks and cellular response via ATM,55,Down,3.781967587942412e-4,0.012966746015802555
WP5465,Fanconi anemia,47,Down,4.0532744920190194e-4,0.013265261973880426
WP5234,Bardet Biedl syndrome,82,Up,4.8422486400351983e-4,0.015158343568805839
WP5546,22q11 2 distal CNV,95,Down,6.141891055684479e-4,0.01795532499438418
WP4792,Purine metabolism,11,Down,6.234487845272285e-4,0.01795532499438418
WP5049,Glycolysis in senescence,11,Down,6.490033506434559e-4,0.01797240047935724
