from,to,jaccard,k
WP2446,WP466,0.19626168224299065,21
WP2446,WP179,0.25308641975308643,41
WP2446,WP45,0.30973451327433627,35
WP2446,WP707,0.17557251908396945,23
WP183,WP2359,0.19047619047619047,20
WP466,WP531,0.30612244897959184,15
WP466,WP45,0.2911392405063291,23
WP466,GO:0006270,0.3829787234042553,18
WP466,GO:0030174,0.18604651162790697,8
WP5153,WP4521,0.42857142857142855,24
WP5153,GO:0006487,0.5625,36
WP5153,GO:0018279,0.23333333333333334,14
WP179,WP45,0.3511450381679389,46
WP179,WP707,0.2119205298013245,32
WP179,GO:0051301,0.17037037037037037,46
WP2006,WP2003,0.20388349514563106,42
WP2006,WP2004,0.28536585365853656,117
WP2006,WP2005,0.26685393258426965,95
WP4016,WP3959,0.27102803738317754,29
WP4016,WP707,0.21311475409836064,26
WP4016,WP4946,0.17543859649122806,30
WP4016,GO:0006302,0.21052631578947367,24
WP4240,GO:0007094,0.30434782608695654,7
WP4784,WP5395,0.26666666666666666,12
WP4784,GO:0030206,0.2413793103448276,7
WP2003,WP2004,0.2982885085574572,122
WP2003,WP2005,0.26740947075208915,96
WP531,WP4946,0.19166666666666668,23
WP5395,GO:0030206,0.3902439024390244,16
WP4786,GO:0030199,0.1875,12
WP4521,GO:0006487,0.34615384615384615,18
WP3959,WP707,0.28421052631578947,27
WP3959,GO:0006302,0.15463917525773196,15
WP5465,WP4946,0.21897810218978103,30
WP5546,GO:1903241,0.18947368421052632,18
WP2004,WP2005,0.6912442396313364,300
WP45,WP707,0.20754716981132076,22
WP45,GO:0006270,0.25,17
GO:0006487,GO:0018279,0.2549019607843137,13
GO:0006457,GO:0061077,0.24719101123595505,22
GO:0006270,GO:0030174,0.1724137931034483,5
GO:0061077,GO:1904871,0.25,8
