cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES
1,WP716,Vitamin A and carotenoid metabolism,Up,0.00225953388918563,0.00106868520548806,2.1979046393628976,WP,30,0.00225953388918563,2.1979046393628976
2,WP5390,Pancreatic cancer subtypes,Up,0.00877983430223406,0.00475340025656879,2.073313884482452,WP,20,0.00877983430223406,2.073313884482452
3,WP4149,White fat cell differentiation,Up,0.00882380309179889,0.0021675312008489,2.1092504848236167,WP,31,0.00882380309179889,2.1092504848236167
4,WP5234,Bardet Biedl syndrome,Up,0.01515834356880583,0.00134837297375018,1.8661180283114795,WP,82,0.01515834356880583,1.8661180283114795
5,WP2895,Differentiation of white and brown adipocyte,Up,0.0239862392654448,0.0310292386428608,1.8572343029841252,WP,25,0.0310292386428608,1.8572343029841252
6,WP43,Oxidation by cytochrome P450,Up,0.02514130446055831,0.00468816610897551,1.9738746047911364,WP,33,0.02514130446055831,1.9738746047911364
7,WP4589,Major receptors targeted by epinephrine and norepinephrine,Up,0.0273054901847713,0.02295809422449104,1.9916709948556304,WP,13,0.0273054901847713,1.9916709948556304
8,WP2858,Ectoderm differentiation,Up,0.03700870761417427,0.00154242363669931,1.791557281873606,WP,125,0.03700870761417427,1.791557281873606
9,WP170,Nuclear receptors,Up,0.04142083643667758,0.01077677679817478,1.8996217065504988,WP,32,0.04142083643667758,1.8996217065504988
10,WP2840,Hair follicle development cytodifferentiation stage 3 of 3,Up,0.04160405025383594,0.023545312543021,1.7127700359970517,WP,64,0.04160405025383594,1.7127700359970517
11,WP5417,Cell lineage map for neuronal differentiation,Up,0.04434517911153116,0.00488634837237528,1.6923468156831885,WP,89,0.04434517911153116,1.6923468156831885
12,GO:0045494,NA,Up,0.01973218270391456,0.01859135795817132,1.9600588015118727,GO,27,0.01973218270391456,1.9600588015118727
13,GO:0035725,NA,Up,0.0271820227202381,0.00293700488272248,2.0035004033400465,GO,57,0.0271820227202381,2.0035004033400465
14,GO:0008589,NA,Up,0.04047072068238466,0.02163583445121694,2.0558985499124,GO,21,0.04047072068238466,2.0558985499124
